Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24),COX(47),CHOX(50),CH4OX(57)
6.369420934404697e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14446938206240181,0.097240797070417676,0.077085296435142586,6.6456732997073451e-07,0.00010420948817834395,3.5289940594563863e-13,1.7110121482169261e-07,2.6625718224576162e-10,6.7998403330784504e-30,1.0225866035646033e-11,3.2673453767943304e-31,1.7408804092213256e-18,7.9097276358073699e-22,5.2161923498326273e-10,2.3313849552635312e-26,4.6338911775191853e-26,4.7523741355035542e-13,1.940512735759123e-25,0.0027026308616987784,0.045659055338770974,3.1916452878770601e-08,1.2070877980182459e-07,3.2352788378108485e-09,3.0377289163102004e-14,8.7414018746218502e-12,5.6166238623624326e-09,8.8228580910598399e-06,5.5697405163113751e-05,1.8479531084737741e-10,1.6293904429641655e-10,1.1973761636989091e-14,4.0221289983713828e-11
6.393304662882558e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14435619213822684,0.097242544411276249,0.077027328394005654,6.7303679753268803e-07,0.00010484907058121592,3.5290994616211064e-13,1.7237812495756398e-07,2.6820946400137948e-10,6.860776455817304e-30,1.0269446007095028e-11,3.3505891675929824e-31,1.7405150944327822e-18,8.0423134552368539e-22,5.2598246960758626e-10,2.3524785723680163e-26,4.6868657447326088e-26,4.7767672647114705e-13,1.9810898803845582e-25,0.0027005424753179024,0.04577395974544881,3.1956292282168617e-08,1.2107069462806089e-07,3.2323565551501145e-09,3.0447082494471793e-14,8.7407253319163008e-12,5.6121913065744959e-09,8.8651121433140126e-06,5.6028657570924544e-05,1.8638342590206552e-10,1.6402782396117831e-10,1.2043503911754443e-14,4.0563525225781985e-11
6.417188391360419e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14424326713883537,0.097244286346202011,0.07696949457098573,6.8157857777838682e-07,0.0001054898123346416,3.5292009139171502e-13,1.736589879281059e-07,2.7016660361123523e-10,6.9220114497513622e-30,1.0312975098163185e-11,3.4355850804232705e-31,1.7401529352765212e-18,8.17655265014223e-22,5.3036433306338044e-10,2.3736684691606919e-26,4.740214460179073e-26,4.8011888807432875e-13,2.022345753007018e-25,0.0026984589085737622,0.04588859388427359,3.1995877652962586e-08,1.2143232353963938e-07,3.2294449182487052e-09,3.0516674380742263e-14,8.7400590625494597e-12,5.6077697924006354e-09,8.9073799013918504e-06,5.6360420213953161e-05,1.8797805601510132e-10,1.6511876694617222e-10,1.2113353914175632e-14,4.0907081167461803e-11
6.44107211983828e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14413060603945127,0.097246022896363055,0.076911794446702736,6.9019296268349107e-07,0.00010613170836578373,3.529298486282391e-13,1.7494379508988251e-07,2.7212857608061943e-10,6.9835454221876318e-30,1.035645306373199e-11,3.5223619949253336e-31,1.739793908789915e-18,8.3124583711295975e-22,5.3476481474005939e-10,2.3949545726565655e-26,4.7939381397953534e-26,4.8256388173169744e-13,2.0642887985821339e-25,0.0026963801429831656,0.046002958801772575,3.203521069820723e-08,1.2179366582123303e-07,3.2265438456728771e-09,3.058606564640061e-14,8.739402932660328e-12,5.6033592682171733e-09,8.9496610662922866e-06,5.6692690122408505e-05,1.895791907841639e-10,1.6621186170449907e-10,1.2183311073000866e-14,4.1251954738812652e-11
6.464955848316141e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14401820782084249,0.097247754082813678,0.076854227504585634,6.9888024372007902e-07,0.00010677475362806961,3.5293922475550443e-13,1.7623253781791611e-07,2.7409535650872321e-10,7.0453784779657345e-30,1.0399879663322995e-11,3.6109491274520908e-31,1.7394379920384253e-18,8.4500438056997816e-22,5.3918390388305276e-10,2.4163368091800656e-26,4.8480375942276425e-26,4.8501169086897853e-13,2.1069275290622746e-25,0.0026943061601623539,0.046117055538812242,3.2074293111084742e-08,1.221547207691846e-07,3.2236532571303411e-09,3.06552571114826e-14,8.7387568112639284e-12,5.598959682999333e-09,8.9919553415317615e-06,5.7025464341381606e-05,1.9118681976259548e-10,1.673070967456291e-10,1.2253374788441646e-14,4.1598142862963157e-11
6.488839576794002e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14390607146928228,0.097249479926495117,0.076796793230852936,7.0764071185473553e-07,0.00010741894310102098,3.5294822654920519e-13,1.7752520750564059e-07,2.7606692008869743e-10,7.1075107194736179e-30,1.0443254661039345e-11,3.7013760331742199e-31,1.7390851621212774e-18,8.5893221780062605e-22,5.4362158959541529e-10,2.4378151043810588e-26,4.9025136289114743e-26,4.8746229896590573e-13,2.1502705235839809e-25,0.0026922369418263094,0.046230885130637549,3.2113126571040183e-08,1.2251548769215239e-07,3.2207730731822114e-09,3.072424959133327e-14,8.738120568358572e-12,5.5945709858527907e-09,9.0342624331219258e-06,5.7358739930752e-05,1.9280093246060848e-10,1.6840446063506696e-10,1.2323544505550221e-14,4.1945642456310914e-11
6.512723305271863e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14379419597651105,0.097251200448236319,0.076739491114493269,7.1647465754667074e-07,0.00010806427179008504,3.5295686067875458e-13,1.7882179556485468e-07,2.7804324210770259e-10,7.1699422466683522e-30,1.0486577825507881e-11,3.7936726081828842e-31,1.7387353961771722e-18,8.7303067486132965e-22,5.480778608394169e-10,2.45938938323946e-26,4.9573670440660598e-26,4.8991568955627874e-13,2.1943264286544129e-25,0.0026901724697880711,0.046344448606911108,3.2151712743916569e-08,1.2287596591008788e-07,3.2179032154611956e-09,3.079304389697572e-14,8.7374940766478347e-12,5.5901931264601672e-09,9.0765820495479592e-06,5.769251396509351e-05,1.9442151834603705e-10,1.6950394199401018e-10,1.2393819640358187e-14,4.2294450428720261e-11
6.536607033749724e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14368258033969863,0.097252915668754797,0.076682320647246213,7.2538237074589305e-07,0.00010871073472646732,3.5296513370905703e-13,1.801222934256752e-07,2.8002429794694336e-10,7.2326731570988583e-30,1.0529848929822289e-11,3.8878690915888698e-31,1.738388671389507e-18,8.8730108142543751e-22,5.5255270643811075e-10,2.4810595700668183e-26,5.0125986346662174e-26,4.9237184622800603e-13,2.2391039583360416e-25,0.002688112725958057,0.046457746991751897,3.2190053282086144e-08,1.2323615475498615e-07,3.2150436064559656e-09,3.0861640834912985e-14,8.7368772103365174e-12,5.5858260547914167e-09,9.1189139017466176e-06,5.8026783533582074e-05,1.960485668448829e-10,1.7060552949901378e-10,1.2464199622394094e-14,4.2644563683716777e-11
6.560490762227585e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14357122356140639,0.0972546256086574,0.076625281323583247,7.3436414089142727e-07,0.00010935832696696612,3.52973052102276e-13,1.8142669253648962e-07,2.8201006308169131e-10,7.2957035459217558e-30,1.0573067751487157e-11,3.9839960676182467e-31,1.7380449649915986e-18,9.0174477075910252e-22,5.5704611507688201e-10,2.502825588516156e-26,5.0682091904784917e-26,4.9483075262314416e-13,2.2846118944297964e-25,0.0026860576923433983,0.046570781303773415,3.2228149824579858e-08,1.2359605356997056e-07,3.2121941696961001e-09,3.0930041207226394e-14,8.7362698458601248e-12,5.5814697213388739e-09,9.1612577030852821e-06,5.8361545739903815e-05,1.9768206734229824e-10,1.7170921188166083e-10,1.2534683887554401e-14,4.2995979118678639e-11
6.584374490705446e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14346012464955046,0.097256330288440912,0.076568372640689011,7.4342025690955928e-07,0.00011000704359380826,3.5298062221952868e-13,1.8273498436390901e-07,2.8400051308129896e-10,7.3590335059191209e-30,1.0616234072362658e-11,4.0820844677052399e-31,1.7377042542713962e-18,9.1636307969718511e-22,5.6155807530499439e-10,2.5246873615914005e-26,5.1241994960942789e-26,4.972923924379451e-13,2.3308590866570891e-25,0.0026840073510472711,0.046683552556121687,3.2266003997216981e-08,1.2395566171011162e-07,3.2093548295205406e-09,3.0998245811634279e-14,8.735671861183008e-12,5.5771240768338258e-09,9.2036131693404972e-06,5.8696797702164457e-05,1.9932200918309142e-10,1.7281497792823331e-10,1.2605271867415244e-14,4.334869362502611e-11
6.608258219183307e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1433492826173646,0.09725802972849297,0.076511594098442548,7.5255100721210981e-07,0.00011065687971448573,3.529878503225945e-13,1.8404716039272043e-07,2.8599562360920628e-10,7.4226631275154415e-30,1.0659347678609769e-11,4.1821655725824018e-31,1.7373665165762956e-18,9.311573486191837e-22,5.6608857553712055e-10,2.5466448116551245e-26,5.1805703309518928e-26,4.9975674942289665e-13,2.3778544528408294e-25,0.0026819616842682381,0.04679606175651288,3.2303617412732093e-08,1.2431497854123736e-07,3.2065255112959362e-09,3.1066255441477182e-14,8.735083136484905e-12,5.5727890725372408e-09,9.2459800186774097e-06,5.9032536552798455e-05,2.0096838167270023e-10,1.7392281647938288e-10,1.2675963000309409e-14,4.3702704088409063e-11
6.632141947661168e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14323869648336388,0.0972597239490927,0.076454945199398758,7.6175667969473815e-07,0.00011130783046159382,3.5299474257554404e-13,1.8536321212583952e-07,2.8799537042294013e-10,7.4865924987970708e-30,1.0702408360636129e-11,4.2842710143677695e-31,1.7370317293174098e-18,9.4612892142519323e-22,5.7063760405486549e-10,2.5686978604359078e-26,5.2373224693544478e-26,5.0222380738276673e-13,2.4256069790852439e-25,0.0026799206742995968,0.046908309907270733,3.2340991670901312e-08,1.2467400344112044e-07,3.2037061411422029e-09,3.1134070885774507e-14,8.7345035532791512e-12,5.5684646599338724e-09,9.2883579716284578e-06,5.9368759438479732e-05,2.0262117407761998e-10,1.750327164298052e-10,1.2746756727145252e-14,4.4058007388892523e-11
6.656025676139029e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14312836527130784,0.097261412970411631,0.076398425448770069,7.710375617352841e-07,0.00011195989099267035,3.5300130504639759e-13,1.8668313108426247e-07,2.8999972937410223e-10,7.5508217055290546e-30,1.0745415913042667e-11,4.388432778648664e-31,1.7366998699740694e-18,9.6127914551189748e-22,5.7520514900826869e-10,2.5908464290344518e-26,5.2944566804811174e-26,5.0469355017662818e-13,2.4741257199543937e-25,0.0026778843035287275,0.047020298005363621,3.2378128358666283e-08,1.2503273579778939e-07,3.2008966462205917e-09,3.1201692929249792e-14,8.7339329954189565e-12,5.5641507910613882e-09,9.3307467510734735e-06,5.9705463520032339e-05,2.0428037562647879e-10,1.7614466672791728e-10,1.2817652489126028e-14,4.4414600401139665e-11
