Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),COX(58)
1.0850206967677878e-06,0.09977366400000001,0.80000000000000004,0.0,0.22472021402680209,0.095702427470100951,0.068766135935280054,3.4241458703024752e-13,0.00042401458124558406,0.0013502111853258812,0.00092229157584845691,1.9258387035787333e-09,1.3235924111600326e-10,3.0727115012518555e-07,6.8992064415141253e-19,8.0636541579648957e-09,5.2460781212193646e-14,6.7206638867770059e-10,5.0027892450135908e-15,9.1945353270849038e-19,7.2178634921991794e-10,2.9707558268290988e-15,0.0033745873419056662,0.06112073782835372,1.1197314333338806e-07,5.3165126599490135e-07,0.0001127474123721033,8.2378368920527352e-12,7.7802366287522675e-08,5.9197140036249505e-08,1.3240042557565931e-07,1.4407392588098682e-05,1.8262278732870648e-08,3.031202753657249e-10
1.0860451060735047e-06,0.09977366400000001,0.80000000000000004,0.0,0.22468439099350973,0.095701622485922538,0.068746644628249698,3.4379261242764516e-13,0.00042526138712678562,0.0013516910677580354,0.00092366618229594024,1.9300987204296788e-09,1.3261922296844756e-10,3.0759323893338029e-07,6.9368259656273343e-19,8.0668131244571139e-09,5.2630193497087518e-14,6.7385290865320091e-10,5.017216373587598e-15,9.2179087980670033e-19,7.227629128331018e-10,2.9836971203720249e-15,0.003374017165459479,0.061157098324684189,1.1203337390437762e-07,5.321392435189701e-07,0.00011276583491762134,8.2416695370173758e-12,7.7810656515809201e-08,5.9184333214436005e-08,1.3256582439102587e-07,1.4420925357080845e-05,1.8310874755650788e-08,3.0352366163777705e-10
1.0870695153792215e-06,0.09977366400000001,0.80000000000000004,0.0,0.22464859378050434,0.095700816612820025,0.068727165055305961,3.4517455628609437e-13,0.00042651031218280755,0.0013531699189588027,0.00092504130850726914,1.934363322901158e-09,1.3287940339901679e-10,3.0791522258410243e-07,6.9746064349232202e-19,8.0699665081011188e-09,5.2799946866186373e-14,6.7564202699152147e-10,5.0316676882266995e-15,9.2413180855827538e-19,7.2373926844981026e-10,2.9966801802516115e-15,0.0033734473583400971,0.061193432714164782,1.1209355082492157e-07,5.3262687033126363e-07,0.00011278418943949664,8.2454945174395563e-12,7.7818899595063616e-08,5.9171535204395829e-08,1.3273124176608847e-07,1.4434443742495554e-05,1.8359538200819917e-08,3.0392710957645546e-10
1.0891183339906554e-06,0.09977366400000001,0.80000000000000004,0.0,0.2245770767152766,0.095699202204132208,0.068688241062470776,3.4795022309818538e-13,0.00042901452019877628,0.0013561245211988159,0.0009277931172820531,1.942906278252216e-09,1.3340035919930478e-10,3.0855887405520542e-07,7.0506521545470892e-19,8.0762565533251508e-09,5.314047763105037e-14,6.792280576384228e-10,5.0606428902870629e-15,9.2882441791292397e-19,7.2569135070075559e-10,3.0227719351878764e-15,0.0033723088507317703,0.061266023273552614,1.1221374396232888e-07,5.3360107115671055e-07,0.00011282069489739559,8.2531215177701445e-12,7.7835244687647823e-08,5.9145965596030302e-08,1.3306213191276305e-07,1.4461437329494254e-05,1.8457067238436717e-08,3.0473418964915397e-10
1.0911671526020893e-06,0.09977366400000001,0.80000000000000004,0.0,0.22450566263127897,0.095697584252600623,0.06864936385853683,3.5074163486925123e-13,0.00043152720600432977,0.0013590749791828308,0.00093054699630572193,1.9514675567062884e-09,1.3392210692734614e-10,3.0920210382782467e-07,7.127347499054574e-19,8.0825243465539524e-09,5.3482375049454755e-14,6.8282447834389407e-10,5.0897148799261653e-15,9.3353137454219391e-19,7.2764258602166403e-10,3.0490317644475917e-15,0.0033711718163846644,0.06133850970815103,1.1233372324011578e-07,5.3457386715900661e-07,0.00011285692971430206,8.2607179593494932e-12,7.7851402326059459e-08,5.9120431163896201e-08,1.3339309545240571e-07,1.4488373283589717e-05,1.8554865604617464e-08,3.0554151397972626e-10
1.0932159712135232e-06,0.09977366400000001,0.80000000000000004,0.0,0.22443435132917552,0.095695962766763523,0.068610533345549812,3.5354883896758222e-13,0.00043404837023355332,0.0013620212801620896,0.00093330293972991867,1.9600471453081989e-09,1.344446449951136e-10,3.0984491119953132e-07,7.2046963794268577e-19,8.0887699406336014e-09,5.3825640655385014e-14,6.8643128677266957e-10,5.1188836851692464e-15,9.382526921950125e-19,7.2959296451734563e-10,3.0754603415982523e-15,0.0033700362526090564,0.061410892219085036,1.124534891515011e-07,5.3554525705045018e-07,0.00011289289485607881,8.2682839086109831e-12,7.7867373268912892e-08,5.909493186088125e-08,1.3372413182466912e-07,1.4515251540475178e-05,1.8652933056145467e-08,3.0634908097202001e-10
1.0952647898249571e-06,0.09977366400000001,0.80000000000000004,0.0,0.22436314261013215,0.095694337755134085,0.068571749425837616,3.5637188272661574e-13,0.00043657801344404451,0.0013649634115017717,0.00093606094172495025,1.9686450310735268e-09,1.3496797181608323e-10,3.1048729547607916e-07,7.2827027189448043e-19,8.0949933883393162e-09,5.417027597415672e-14,6.9004848052903635e-10,5.1481493333372855e-15,9.4298838459954648e-19,7.3154247634836923e-10,3.1020583409608638e-15,0.0033689021567214969,0.06148317100697287,1.125730421884189e-07,5.3651523956774499e-07,0.0001129285912859549,8.2758194320917205e-12,7.7883158272319584e-08,5.9069467639747294e-08,1.3405524047206847e-07,1.4542072037036027e-05,1.8751269347704851e-08,3.0715688903778464e-10
1.097313608436391e-06,0.09977366400000001,0.80000000000000004,0.0,0.22429203627581512,0.095692709226200642,0.068533012002009633,3.5921081344452697e-13,0.00043911613611718054,0.0013679013606805988,0.00093882099647972397,1.9772612009889124e-09,1.3549208580524401e-10,3.111292559713479e-07,7.3613704531761598e-19,8.1011947423755083e-09,5.4516282522429355e-14,6.9367605715714541e-10,5.1775118510489725e-15,9.4773846546326729e-19,7.3349111173092051e-10,3.1288264376056867e-15,0.0033677695260447959,0.061555346271927748,1.1269238284152179e-07,5.3748381347186224e-07,0.00011296401996453079,8.2833245964399335e-12,7.7898758090057321e-08,5.9044038453278122e-08,1.3438642083999179e-07,1.4568834711343658e-05,1.8849874231894407e-08,3.0796493659663498e-10
1.099362427047825e-06,0.09977366400000001,0.80000000000000004,0.0,0.22422103212838895,0.095691077188426857,0.068494320976955403,3.6206567838382112e-13,0.00044166273865838625,0.0013708351152904401,0.00094158309820167982,1.9858956420123703e-09,1.36016985379107e-10,3.117707920072846e-07,7.4407035299626124e-19,8.1073740553758405e-09,5.486366180822035e-14,6.9731401414132019e-10,5.206971264222718e-15,9.5250294847302105e-19,7.3543886093666136e-10,3.1557653073479684e-15,0.0033666383579079914,0.061627418213559583,1.1281151160018416e-07,5.3845097754790671e-07,0.00011299918184978289,8.2907994684162836e-12,7.7914173473597599e-08,5.901864425426773e-08,1.3471767237669284e-07,1.4595539502649354e-05,1.8948747459241374e-08,3.0877322207601166e-10
1.1034600642706928e-06,0.09977366400000001,0.80000000000000004,0.0,0.22407932960534885,0.095687802620089094,0.068417077736122031,3.6782339979581113e-13,0.00044678138458855983,0.0013766899917340095,0.00094711341946918104,2.00321928507423e-09,1.3706913495465103e-10,3.130525880289477e-07,7.6013815638584866e-19,8.1196667684500069e-09,5.5562544581300893e-14,7.0462105881786612e-10,5.2661808771405257e-15,9.6207517557528827e-19,7.393316621808796e-10,3.2101580730853589e-15,0.003364380398601275,0.061771252922789011,1.1304913538531082e-07,5.4038107147607105e-07,0.00011306870905913303,8.3056586028156901e-12,7.7944453932200987e-08,5.8967960629774736e-08,1.3538038676362472e-07,1.464877519912281e-05,1.9147297935242017e-08,3.1039050054501194e-10
1.1075577014935606e-06,0.09977366400000001,0.80000000000000004,0.0,0.22393803346822835,0.095684514117337305,0.06834001893202192,3.7364542433391823e-13,0.00045193395296914881,0.0013825279438153706,0.00095265185955519351,2.0206158553621747e-09,1.381244079055971e-10,3.1433267827584243e-07,7.7647686483451621e-19,8.1318719472173125e-09,5.6266936185230062e-14,7.1196959324840155e-10,5.3257783655080381e-15,9.7170517499115942e-19,7.4322080335841077e-10,3.2652420594333709e-15,0.0033621282575575151,0.061914676721545783,1.1328591743334075e-07,5.4230551211070992e-07,0.00011313718052553115,8.3203973714420612e-12,7.7974005613048922e-08,5.8917416388524667e-08,1.3604337927547038e-07,1.4701778663832296e-05,1.9346918739019062e-08,3.1200871201940061e-10
1.1116553387164284e-06,0.09977366400000001,0.80000000000000004,0.0,0.22379714215210444,0.095681211746997077,0.068263143797760134,3.7953212877311254e-13,0.00045712044433677054,0.0013883488763024702,0.00095819837277986476,2.0380852475405464e-09,1.3918279161976253e-10,3.1561105760821399e-07,7.9308968066693852e-19,8.1439900102032366e-09,5.697684837447058e-14,7.1935959518507912e-10,5.3857639116660193e-15,9.8139305547971134e-19,7.4710620862511249e-10,3.3210226993006649e-15,0.0033598819136312478,0.06205769118877847,1.1352186161355471e-07,5.4422429058794678e-07,0.00011320460381883977,8.3350163120343398e-12,7.8002834443842479e-08,5.8867011152732786e-08,1.3670664559965008e-07,1.4754549452642072e-05,1.9547607801622255e-08,3.136278441966047e-10
1.1157529759392962e-06,0.09977366400000001,0.80000000000000004,0.0,0.22365665409985855,0.095677895575505836,0.068186451570830559,3.8548388927941697e-13,0.00046234085803877588,0.0013941526957356361,0.00096375291375370607,2.0556273558444461e-09,1.4024427351017841e-10,3.1688772101000988e-07,8.0997982571751378e-19,8.1560213748039815e-09,5.7692292766575656e-14,7.267910414522563e-10,5.4461376869431216e-15,9.9113892547638645e-19,7.5098780301070988e-10,3.3775054371091225e-15,0.0033576413457746999,0.062200297895556353,1.1375697177506849e-07,5.4613739841734963e-07,0.00011327098646741527,8.3495159638453837e-12,7.8030946315245078e-08,5.8816744544608874e-08,1.3737018146795972e-07,1.4807087139711143e-05,1.9749363022277579e-08,3.1524788489567398e-10
1.1239482503850316e-06,0.09977366400000001,0.80000000000000004,0.0,0.22337688159721905,0.095671222092895414,0.068033612810700736,3.9758408003876367e-13,0.00047288344394158657,0.0014057086303872392,0.00097488589883063036,2.0909292956787739e-09,1.4237648159956184e-10,3.1943588056578354e-07,8.4460508808949572e-19,8.1798256727905904e-09,5.9139823947845396e-14,7.4177816969487263e-10,5.5680505554979607e-15,1.0108050661300628e-18,7.587392635990303e-10,3.4925990409969862e-15,0.0033531774545642041,0.062484294272962877,1.1422470533820506e-07,5.4994657001305868e-07,0.00011340065973719718,8.3781595652693212e-12,7.8085042558151495e-08,5.8716625700125841e-08,1.3869804498337875e-07,1.4911461595581741e-05,2.0156063378154907e-08,3.1849064373669304e-10
1.132143524830767e-06,0.09977366400000001,0.80000000000000004,0.0,0.22309870365736237,0.095664494193344052,0.06788149663817615,4.0994899329346094e-13,0.00048356168200416362,0.0014171950350581552,0.00098605045740055887,2.1265208205137335e-09,1.4452093199241776e-10,3.2197711922306968e-07,8.8037881510828018e-19,8.2032881577750816e-09,6.060961994902613e-14,7.5693077438431792e-10,5.6915181240253531e-15,1.0307044580411808e-18,7.6647460266237072e-10,3.6105666516324463e-15,0.003348736417472757,0.06276667826684923,1.1468914851600457e-07,5.5373296628501815e-07,0.00011352625973752073,8.4063325172752769e-12,7.8136340731779115e-08,5.8617056832672893e-08,1.4002693654693404e-07,1.5014898983308128e-05,2.0567002380557638e-08,3.2173689348291637e-10
1.1403387992765024e-06,0.09977366400000001,0.80000000000000004,0.0,0.22282210809872718,0.095657712394649319,0.067730097108040815,4.2258161520310762e-13,0.00049437552508787273,0.0014286112245817722,0.00099724623659542665,2.1624010697171513e-09,1.4667752492753253e-10,3.2451140113164828e-07,9.1732747915988511e-19,8.2264121282999855e-09,6.2101768829690483e-14,7.7224863770333327e-10,5.8165413733507516e-15,1.0508379572507364e-18,7.7419325142383446e-10,3.7314522251923297e-15,0.0033443180695685213,0.063047462167760374,1.151503313851792e-07,5.574965323307314e-07,0.00011364784521684197,8.4340391810978444e-12,7.8184886643087946e-08,5.851803492017438e-08,1.4135682356609261e-07,1.5117396535228701e-05,2.0982162122015719e-08,3.2498654094664568e-10
