Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),C2H4X(65),CH4OX(60),H2X(49)
2.3656674363562052e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33245071973468782,0.11400100682629045,0.022597619975464601,0.0,6.9371281134005439e-10,7.7382796242815644e-10,0.0,2.2452568421083397e-13,0.0,4.9602003547457386e-07,1.0731362580196132e-27,2.0726982121954174e-09,3.7751152922874801e-21,2.6091061392447443e-13,0.0,0.0,1.014013573570616e-09,1.3875210289777357e-21,0.004668461564789235,0.0004478887604693442,1.5326126609650569e-09,4.7955348892235549e-09,4.8680251379809472e-07,1.3458846741909028e-13,8.5526626616618833e-11,5.0143287295913856e-16,5.3370471819562304e-25,4.1937870143335611e-28,4.4959547658930296e-18,9.2568094254664617e-12
2.3799725788646708e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33243705264499646,0.11399000306832288,0.022596288199012229,0.0,7.1421491321544927e-10,7.92612239525311e-10,0.0,2.3015477665677866e-13,0.0,5.009057699858966e-07,1.1220118575933993e-27,2.0839110768360085e-09,3.8878662283985022e-21,2.6765193944175482e-13,0.0,0.0,1.0351870214118989e-09,1.4366074001424903e-21,0.0046794604287347724,0.00045055219597319178,1.5400375137752063e-09,4.8695606921347123e-09,4.9151106605427426e-07,1.3802813126484732e-13,8.6371303677799643e-11,5.1444134310056699e-16,5.5270890861713187e-25,4.3419729491310333e-28,4.6119618708467187e-18,9.4924677008168608e-12
2.39284720712229e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33242484623133134,0.1139801933281319,0.022595089761204085,0.0,7.3310056490892929e-10,8.0982198157555638e-10,0.0,2.3531538957591684e-13,0.0,5.0532202695918722e-07,1.1676655605296659e-27,2.0939949323179424e-09,3.9917008863609328e-21,2.7383642923363884e-13,0.0,0.0,1.0545175673873293e-09,1.4820342993630724e-21,0.00468926574520426,0.00045294896459349335,1.5467220209223437e-09,4.9368042069762091e-09,4.9576549412001913e-07,1.4118880357263668e-13,8.7134774909909805e-11,5.2637482239297646e-16,5.7029937145086773e-25,4.479106463833655e-28,4.7183836003863603e-18,9.7085706445147974e-12
2.4057218353799093e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.332412728015821,0.11397047147945238,0.022593891475240428,0.0,7.5240482469336631e-10,8.2732325907417183e-10,0.0,2.405666602131563e-13,0.0,5.0975637295966154e-07,1.2149479420402312e-27,2.104071546104731e-09,4.0978108273603109e-21,2.8013359594071585e-13,0.0,0.0,1.0741104086907932e-09,1.5286715780239918e-21,0.0046989831520678647,0.00045534542824770261,1.553408563735438e-09,5.0046375557059178e-09,5.0003574351951266e-07,1.4441207026529527e-13,8.7901335500475629e-11,5.3852523623133e-16,5.8836147697054638e-25,4.6198889302409624e-28,4.8267412425102589e-18,9.9285237984466606e-12
2.4185964636375285e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33240069721189403,0.11396083673697747,0.022592693340470815,0.0,7.7213519996795141e-10,8.4511960468172062e-10,0.0,2.4590975368296692e-13,0.0,5.1420880624201431e-07,1.2639091947990509e-27,2.1141409897492563e-09,4.2062357680607786e-21,2.8654495103570337e-13,0.0,0.0,1.0939677671861856e-09,1.5765457004265181e-21,0.0047086134346341225,0.0004577415882249167,1.5600971504264775e-09,5.0730628388958591e-09,5.0432178594225821e-07,1.4769898122793154e-13,8.8670984643666059e-11,5.5089546964443649e-16,6.069055984834075e-25,4.7644004546988869e-28,4.9370607229270726e-18,1.0152376524972522e-11
2.4314710918951477e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33238875304001092,0.11395128832242019,0.022591495356250629,0.0,7.922993004442775e-10,8.6321457579999405e-10,0.0,2.513458447857815e-13,0.0,5.1867932508670565e-07,1.3146008257368051e-27,2.1242033344873621e-09,4.3170159679036271e-21,2.9307201905467008e-13,0.0,0.0,1.1140918716203989e-09,1.62568359196283e-21,0.0047181573711917923,0.00046013744580242335,1.5667877890705195e-09,5.1420821574280947e-09,5.0862359284169623e-07,1.5105057992866551e-13,8.9443721538428443e-11,5.6348843247375292e-16,6.2594229095337973e-25,4.9127219936982572e-28,5.0493681898523465e-18,1.038017855978755e-11
2.444345720152767e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3323768947276004,0.11394182546445017,0.022590297521941041,0.0,8.1290483905124483e-10,8.8161175457947263e-10,0.0,2.5687611804684392e-13,0.0,5.2316792779955118e-07,1.3670756846855617e-27,2.1342586512387055e-09,4.4301922352248546e-21,2.9971633763766137e-13,0.0,0.0,1.1344849575852823e-09,1.6761126453912664e-21,0.0047276157330728152,0.00046253300224582147,1.5734804876073819e-09,5.2116975971738226e-09,5.1294113544836696e-07,1.5446788298389591e-13,9.0219545388413502e-11,5.7630705947625249e-16,6.4548229348132263e-25,5.0649354294964654e-28,5.1636900154055367e-18,1.0611980012282385e-11
2.4559328855846243e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33236629502331699,0.1139333814112118,0.022589219598712629,0.0,8.3183371192598624e-10,8.984305836263455e-10,0.0,2.6193487660451457e-13,0.0,5.2722313056825127e-07,1.4158725034375444e-27,2.1433024857471799e-09,4.5341336888271741e-21,3.0579775504613438e-13,0.0,0.0,1.153070567362239e-09,1.7226257586660941e-21,0.0047360557243660961,0.00046468874661189546,1.579505683956634e-09,5.2748628914609618e-09,5.1684035386177262e-07,1.5760054036715519e-13,9.0920425545664581e-11,5.8803921238231086e-16,6.6350765209763636e-25,5.2053249549162601e-28,5.2683239144371192e-18,1.0824062538453247e-11
2.4675200510164816e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33235576369150382,0.11392500548698961,0.022588141795941378,0.0,8.5113225127003009e-10,9.1549976873251963e-10,0.0,2.670717673826604e-13,0.0,5.3129297871790441e-07,1.4661981369357012e-27,2.1523407360325333e-09,4.6400799968327296e-21,3.1197654103460508e-13,0.0,0.0,1.1718775078224108e-09,1.7702279258146308e-21,0.0047444275719934212,0.00046684424898144977,1.5855325607510941e-09,5.3385142354926381e-09,5.207522734063785e-07,1.6078811790509787e-13,9.1623804921289366e-11,5.9995872543492024e-16,6.8195763513081272e-25,5.3489978678033537e-28,5.3746305331269615e-18,1.1039462541348275e-11
2.479107216448339e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33234530018318853,0.11391669714369126,0.022587064113173422,0.0,8.7080629786605856e-10,9.3282197272085468e-10,0.0,2.722876742596512e-13,0.0,5.3537747106453005e-07,1.5180940210319067e-27,2.1613734531415073e-09,4.7480620738522263e-21,3.182538439530449e-13,0.0,0.0,1.190907422768033e-09,1.8189401127423622e-21,0.0047527318240482321,0.00046899951025321945,1.591561123508644e-09,5.4026531351739546e-09,5.2467687262088753e-07,1.6403134326812766e-13,9.23296829442294e-11,6.1206779024729469e-16,7.0084046406033808e-25,5.4960159766251317e-28,5.4826295651984138e-18,1.125821732838533e-11
