Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22)
1.5605784669093217e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028775529844122,0.099964261218749031,0.0999750949796437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738781250891774e-05,4.9810040712609396e-05,0.0
1.5675453969343127e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028753304210061,0.099964261236944144,0.099974983842375825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738763055798983e-05,5.0032315248367461e-05,0.0
1.581479256984295e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028708853510889,0.099964261276724961,0.099974761568989545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738723274953359e-05,5.0476862020924154e-05,0.0
1.594019731029279e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028668848500579,0.099964261316096481,0.099974561524252298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738683903469049e-05,5.0876951495449365e-05,0.0
1.6065602050742629e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028628844046452,0.099964261358546899,0.099974361480756418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738641453017624e-05,5.1277038487175033e-05,0.0
1.6191006791192469e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028588840121965,0.099964261403810942,0.099974161438501935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738596188982862e-05,5.16771229961392e-05,0.0
1.6316411531642309e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028548836702849,0.099964261451646039,0.09997396139748882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573854835386972e-05,5.2077205022378892e-05,0.0
1.6441816272092149e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028508833766952,0.099964261501830645,0.099973761357717059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738498169280712e-05,5.2477284565930118e-05,0.0
1.6567221012541988e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028468831294018,0.099964261554162201,0.099973561319186596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738445837719786e-05,5.2877361626827992e-05,0.0
1.6692625752991828e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902842882926554,0.09996426160845566,0.09997336128189746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738391544241815e-05,5.3277436205106803e-05,0.0
1.6818030493441668e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028388827664594,0.099964261664541934,0.099973161245849623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738335457955538e-05,5.367750830080014e-05,0.0
1.6943435233891508e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028348826475741,0.099964261722266495,0.099972961211043043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573827773339643e-05,5.4077577913940875e-05,0.0
1.7068839974341348e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028308825684837,0.099964261781488123,0.099972761177477734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738218511782144e-05,5.447764504456129e-05,0.0
1.7194244714791188e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028268825278985,0.099964261842077753,0.099972561145153668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573815792216054e-05,5.4877709692693037e-05,0.0
1.7319649455241028e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028228825246388,0.099964261903917426,0.099972361114070832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738096082459055e-05,5.5277771858367314e-05,0.0
1.7445054195690867e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028188825576264,0.099964261966899448,0.099972161084229211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738033100443104e-05,5.5677831541614824e-05,0.0
1.7570458936140707e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028148826258762,0.099964262030925316,0.099971961055628791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737969074591508e-05,5.607788874246583e-05,0.0
1.7695863676590547e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028108827284887,0.099964262095905004,0.09997176102826956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737904094896597e-05,5.6477943460950188e-05,0.0
1.7821268417040387e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028068828646399,0.099964262161756301,0.099971561002151474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737838243595555e-05,5.6877995697097415e-05,0.0
1.7946673157490227e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028028830335791,0.099964262228404058,0.099971360977274562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737771595838797e-05,5.7278045450936684e-05,0.0
1.8072077897940067e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027988832346188,0.099964262295779607,0.099971160953638769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737704220300733e-05,5.7678092722496868e-05,0.0
1.8197482638389907e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027948834671318,0.099964262363820153,0.099970960931244121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737636179737816e-05,5.807813751180655e-05,0.0
1.8322887378839747e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027908837305432,0.099964262432468379,0.09997076091009055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737567531498447e-05,5.8478179818894094e-05,0.0
1.8448292119289586e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027868840243292,0.099964262501671911,0.099970560890178112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573749832798909e-05,5.8878219643787602e-05,0.0
1.8573696859739426e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027828843480107,0.099964262571382773,0.099970360871506736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737428617100037e-05,5.9278256986514965e-05,0.0
1.8699101600189264e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027788847011501,0.099964262641557292,0.099970160854076451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737358442594704e-05,5.9678291847103904e-05,0.0
1.88245063406391e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027748850833462,0.099964262712155416,0.099969960837887201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737287844465149e-05,6.0078324225581953e-05,0.0
1.894991108108894e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027708854942341,0.099964262783140606,0.099969760822939013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737216859257209e-05,6.0478354121976472e-05,0.0
1.9075315821538777e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027668859334795,0.099964262854479513,0.099969560809231833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737145520367336e-05,6.0878381536314683e-05,0.0
1.9200720561988615e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902762886400777,0.099964262926141578,0.099969360796765702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737073858314098e-05,6.1278406468623684e-05,0.0
1.9326125302438453e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027588868958475,0.099964262998098879,0.099969160785540537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5737001900986096e-05,6.1678428918930458e-05,0.0
1.945153004288829e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027548874184355,0.09996426307032602,0.099968960775556379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736929673868682e-05,6.2078448887261804e-05,0.0
1.957693478333813e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027508879683083,0.099964263142799617,0.099968760766813172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736857200250965e-05,6.2478466373644517e-05,0.0
1.9702339523787966e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027468885452517,0.099964263215498464,0.099968560759310945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736784501415176e-05,6.2878481378105241e-05,0.0
1.9827744264237804e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027428891490716,0.099964263288403063,0.09996836075304967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736711596809524e-05,6.3278493900670551e-05,0.0
1.995314900468764e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902738889779591,0.099964263361495664,0.099968160748029306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736638504206292e-05,6.3678503941366903e-05,0.0
2.007855374513748e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19027348904366459,0.099964263434760031,0.099967960744249879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5736565239846232e-05,6.4078511500220765e-05,0.0
