Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52)
1.6269638856647811e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31099075413772204,0.11268763524223815,0.012254683184040676,0.0,1.872807001987827e-05,0.00023981747791251441,0.0,2.3423767434180683e-05,0.0,0.00051933777942556752,1.6869873064195104e-12,7.8492424184338776e-08,6.5792239826963148e-11,6.5870308739489051e-08,0.0,0.0,3.0534802897289916e-09,1.8660426809995574e-09,0.0054155586145869326,0.021114757062349349,3.5092141946933644e-07,1.1542535736675136e-07,4.2515196514323364e-05,8.3043271850562834e-10,3.4525889447178743e-06,4.935303942919235e-08,5.8422673801221976e-08
1.6316271564414446e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31095044139649419,0.11268703474496318,0.012234098753523165,0.0,1.8877279327687698e-05,0.00024031830317710809,0.0,2.3621039664884526e-05,0.0,0.00052027750243367819,1.7156546406724335e-12,7.8555494257528426e-08,6.6471593363626477e-11,6.6378237953899243e-08,0.0,0.0,3.0630956805807553e-09,1.8936798698314244e-09,0.0054148229804223671,0.021155775879434187,3.5124456857555239e-07,1.1572346754447995e-07,4.2536861176061168e-05,8.36840310102491e-10,3.4593699823895649e-06,4.9359329428087157e-08,5.8907615102989082e-08
1.636290427218108e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31091020775455569,0.11268643740280664,0.0122135542177067,0.0,1.9027102050274223e-05,0.00024081630571083998,0.0,2.3819022782683014e-05,0.0,0.000521211097165584,1.7446693151611043e-12,7.8618188996558486e-08,6.7154247634448639e-11,6.6887940985617481e-08,0.0,0.0,3.072693074599534e-09,1.9216016692098587e-09,0.0054140888955688578,0.021196714294076425,3.5156482818021605e-07,1.1602086200224129e-07,4.25583232909198e-05,8.4327249227579467e-10,3.4661093243319282e-06,4.936489994891408e-08,5.9394221846959867e-08
1.6397460395627202e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31088044442832968,0.11268599678250389,0.012198355828154636,0.0,1.9138520143391763e-05,0.0002411835237886156,0.0,2.3966190318914508e-05,0.0,0.00052189897840025493,1.7663953181312353e-12,7.8664406725785831e-08,6.7662233628109858e-11,6.7266786306899989e-08,0.0,0.0,3.0797934018326637e-09,1.9424768997026939e-09,0.0054135459154344987,0.021226999037108698,3.5180029762931348e-07,1.1624077838585571e-07,4.2574097563394446e-05,8.4805475851132769e-10,3.4710765536848131e-06,4.9368567166350423e-08,5.9755880024401574e-08
1.6432016519073323e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31085072435562822,0.11268555788080376,0.012183179253999352,0.0,1.925027446093286e-05,0.00024154920051344144,0.0,2.4113744983173185e-05,0.0,0.00052258351879433959,1.7883141068832611e-12,7.8710420480280396e-08,6.8172017678612709e-11,6.7646600903497581e-08,0.0,0.0,3.0868838512793237e-09,1.9635097298633049e-09,0.0054130037821376849,0.021257239813321272,3.5203420012157591e-07,1.1646030269270194e-07,4.2589762086125937e-05,8.5285049379378501e-10,3.4760210298208869e-06,4.9371844851330233e-08,6.0118444320326995e-08
1.6466572642519445e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31082104745945094,0.11268512069171206,0.01216802445638193,0.0,1.9362364737757888e-05,0.00024191333961020637,0.0,2.4261685395547955e-05,0.0,0.00052326472876644959,1.8104265513875351e-12,7.8756231159868745e-08,6.8683593582467929e-11,6.8027382743385457e-08,0.0,0.0,3.0939644253100075e-09,1.9847007156152445e-09,0.0054124624940111834,0.021287436700694041,3.5226654401501332e-07,1.1667943532942969e-07,4.2605317480438467e-05,8.576596834551348e-10,3.4809428139592404e-06,4.937473535660794e-08,6.04819111503503e-08
1.6501128765965566e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31079141366297575,0.11268468520920048,0.012152891396532802,0.0,1.9474790706790185e-05,0.00024227594482343078,0.0,2.441001017465307e-05,0.0,0.00052394261877074255,1.8327335191556774e-12,7.8801839660568535e-08,6.9196955105674932e-11,6.840912979278531e-08,0.0,0.0,3.1010351265155785e-09,2.0060504109559289e-09,0.00541192204938929,0.02131758977703015,3.5249733764064775e-07,1.1689817670789582e-07,4.262076436433117e-05,8.6248231277149486e-10,3.4858419675623804e-06,4.9377241029534451e-08,6.0846276928124622e-08
1.6535684889411688e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3107618228895585,0.11268425142720753,0.01213778003577148,0.0,1.9587552099034158e-05,0.00024263701991684235,0.0,2.45587179377144e-05,0.0,0.00052461719929594488,1.8552358752131445e-12,7.8847246874605719e-08,6.9712095984430554e-11,6.8791840016257633e-08,0.0,0.0,3.1080959577041737e-09,2.0275593679473822e-09,0.0054113824466078654,0.021347699119956546,3.5272658930282272e-07,1.1711652724442959e-07,4.2636103352498837e-05,8.6731836695679398e-10,3.4907185523300856e-06,4.9379364212007018e-08,6.1211538065554101e-08
1.657024101285781e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31073227506273193,0.11268381933963909,0.01212269033550629,0.0,1.9700648643593604e-05,0.0002429965686729564,0.0,2.4707807300655093e-05,0.0,0.00052528848086437463,1.8779344820721144e-12,7.8892453690432654e-08,7.0229009925835048e-11,6.917551137679359e-08,0.0,0.0,3.1151469218981395e-09,2.0492281367071387e-09,0.0054108436840043656,0.021377764806924403,3.5295430728056521e-07,1.1733448735974599e-07,4.2651335056344969e-05,8.7216783116317233e-10,3.4955726301933264e-06,4.9381107240380276e-08,6.1577690973003817e-08
1.660479713630393e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31070277010620578,0.11268338894036922,0.012107622257234109,0.0,1.9814080067691128e-05,0.0002433545948926588,0.0,2.4857276878180633e-05,0.0,0.0005259564740309761,1.9008301997046899e-12,7.8937460992746028e-08,7.0747690608594723e-11,6.9560141835906485e-08,0.0,0.0,3.1221880223310196e-09,2.071057265399308e-09,0.0054103057599178671,0.021407786915209715,3.5318049982675323e-07,1.1755205747888982e-07,4.2666460083991434e-05,8.7703069048219924e-10,3.5004042633082568e-06,4.9382472445374202e-08,6.1944732059508297e-08
