Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24),H2OX(23)
1.622282415333541e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32889249038430002,0.11291395017122717,0.02135989582418843,7.4610727936416501e-13,1.7705460698399143e-11,1.7551858772456127e-05,1.514598396045503e-05,3.0207784439580716e-13,5.4479027809892897e-19,4.3508669324373821e-08,3.8413894130709792e-27,3.1936139892989081e-08,1.780555414026886e-20,2.380790287183556e-18,5.9310005370169065e-16,1.4492290928733122e-18,3.8030478329637297e-15,5.9165447853257798e-20,0.0057406151024610459,0.0029081965169516482,5.165605812186372e-09,5.1315025388841063e-11,2.5789624484976544e-05,5.1015135813549608e-13,1.1118154078007083e-08,1.9381172534624025e-07,1.1540132713855072e-09,2.6025818969706081e-07,1.2274217527986354e-11,1.3341525873689811e-14,1.2900400252241274e-16,1.4100995059976145e-15
1.631660744673402e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32887665725574133,0.11291404987866231,0.021351819720903175,7.6105906175789252e-13,1.8027618852813039e-11,1.7827243288930835e-05,1.5313854594910494e-05,3.0709567731738965e-13,5.5836452643414831e-19,4.3881916121474711e-08,3.973217305460449e-27,3.2156151694327815e-08,1.8159542645703756e-20,2.4333123521744548e-18,6.0401189869225171e-16,1.4739390434393947e-18,3.8719122876652682e-15,6.0676437809931817e-20,0.0057403471138031984,0.0029241808415562624,5.1929358194992932e-09,5.1824762675916179e-11,2.5902247523221602e-05,5.1335597901487958e-13,1.1164545775816794e-08,1.937648473794177e-07,1.1643471797226681e-09,2.643899371673359e-07,1.2409664127305989e-11,1.3520431025942571e-14,1.3088088638898081e-16,1.4313276630739331e-15
1.641039074013263e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32886083323158072,0.11291414888719602,0.021343747448079552,7.7622740904983687e-13,1.8353389905092636e-11,1.8104562529209511e-05,1.5482602384882588e-05,3.1216844362097127e-13,5.7218008409068332e-19,4.4256269603952477e-08,4.1088086203128945e-27,3.2375639988856828e-08,1.851851903755984e-20,2.4866349994362354e-18,6.1504418657577309e-16,1.4989229519581372e-18,3.9415042173493602e-15,6.2217381728889318e-20,0.0057400789454572316,0.0029401566280351185,5.2202513149259551e-09,5.2336021097462828e-11,2.6014454416408468e-05,5.165604222607691e-13,1.1210766113796623e-08,1.9371844083928389e-07,1.1747218039087316e-09,2.6855091699364391e-07,1.2545808776469877e-11,1.3700652284370067e-14,1.3277486329551534e-16,1.4527462562236878e-15
1.650417403353124e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32884501827985646,0.11291424717949251,0.021335679003198597,7.9161428079097993e-13,1.8682790256879855e-11,1.838381118682989e-05,1.5652226783932198e-05,3.1729643562435371e-13,5.8623965155558472e-19,4.4631724565687437e-08,4.2482488745956198e-27,3.2594603154413694e-08,1.8882523625639855e-20,2.5407651605689912e-18,6.2619727204304157e-16,1.5241822621513874e-18,4.0118250069121267e-15,6.3788700421355014e-20,0.0057398106153151414,0.0029561238819725785,5.2475523059543857e-09,5.2848802670944235e-11,2.6126253742048247e-05,5.1976472949979963e-13,1.1256818769299656e-08,1.9367249760259334e-07,1.1851371123592033e-09,2.7274104140836391e-07,1.26826509402115e-11,1.3882194350975855e-14,1.3468599703035867e-16,1.4743560694601492e-15
1.659795732692985e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32882921236997414,0.11291434473935899,0.021327614383744874,8.072216437178997e-13,1.901583634929516e-11,1.8664984063283083e-05,1.5822727245894922e-05,3.2247994553576109e-13,6.0054594732264246e-19,4.5008275816107013e-08,4.3916250178735677e-27,3.2813039775314522e-08,1.9251596793467011e-20,2.5957097899121581e-18,6.3747150817404122e-16,1.5497184170713199e-18,4.0828760182582587e-15,6.5390818088763745e-20,0.0057395421401253977,0.0029720826089456964,5.2748388000999987e-09,5.3363109361500431e-11,2.623765385969984e-05,5.2296894165148251e-13,1.1302707323411972e-08,1.9362700973536563e-07,1.1955930735276559e-09,2.7696022435481832e-07,1.2820190083689645e-11,1.4065061921054098e-14,1.3661435124710783e-16,1.4961578882182228e-15
1.669174062032846e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32881341547262932,0.11291444155167323,0.0213195535872064,8.2305147173652344e-13,1.9352544662825707e-11,1.8948076066144322e-05,1.5994103224886114e-05,3.2771926545337736e-13,6.1510170796238951e-19,4.5385918180410924e-08,4.5390254473982031e-27,3.3030948634797324e-08,1.9625778998533505e-20,2.6514758645099316e-18,6.4886724650509813e-16,1.5755328591016578e-18,4.154658590657304e-15,6.7024162328964688e-20,0.0057392735355655837,0.0029880328145243541,5.3021108049038177e-09,5.3878943077337422e-11,2.6348662914773309e-05,5.2617309890482351e-13,1.134843526274668e-08,1.9358196948719875e-07,1.2060896559054324e-09,2.8120838146005898e-07,1.2958425672491542e-11,1.4249259681723194e-14,1.3855998946447261e-16,1.5181524992627085e-15
1.678552391372707e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32879762755973635,0.1129145376023155,0.021311496611074537,8.3910574590590441e-13,1.9692931717165934e-11,1.9233082207157131e-05,1.6166354175305475e-05,3.330146873648791e-13,6.2990968818845785e-19,4.5764646499785391e-08,4.6905400232583515e-27,3.3248328707656223e-08,2.0005110772547567e-20,2.7080703840704497e-18,6.6038483709315516e-16,1.6016270299588806e-18,4.2271740410885362e-15,6.8689164142447061e-20,0.0057390048163103802,0.0030039745042713894,5.3293683279307593e-09,5.4396305665599721e-11,2.6459288842427534e-05,5.2937724069804749e-13,1.1394005981269725e-08,1.9353736928579793e-07,1.2166268280213686e-09,2.8548543000673575e-07,1.3097357172635728e-11,1.4434792310537594e-14,1.4052297506601067e-16,1.54034069060125e-15
1.687930720712568e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32878184860436016,0.1129146328781049,0.021303443452844011,8.5538645442202266e-13,2.0037014071015492e-11,1.9519997600279573e-05,1.6339479551841471e-05,3.3836650314695825e-13,6.4497266092050824e-19,4.6144455631606458e-08,4.8462600835913544e-27,3.3465179153061616e-08,2.038963272167813e-20,2.7655003709192442e-18,6.7202462857720552e-16,1.6280023706934214e-18,4.3004236645751746e-15,7.0386257938586198e-20,0.0057387359960952662,0.0030199076837427188,5.3566113767681054e-09,5.4915198908535832e-11,2.6569539371544935e-05,5.3258140570355789e-13,1.1439422782131051e-08,1.9349320173173274e-07,1.2272045584404683e-09,2.8979128890418778e-07,1.3236984050574501e-11,1.4621664474279656e-14,1.4250337130115554e-16,1.5627232513990567e-15
1.697309050052429e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32876607858065265,0.1129147273667398,0.021295394110012768,8.7189559260160536e-13,2.0384808321836138e-11,1.9808817459696956e-05,1.6513478809475381e-05,3.4377500456483995e-13,6.6029341734378505e-19,4.6525340449632919e-08,5.0062784598558609e-27,3.3681499307569673e-08,2.0779385526796831e-20,2.8237728699470585e-18,6.8378696823698745e-16,1.6546603216908506e-18,4.3744087345079325e-15,7.2115881541910351e-20,0.005738467087776089,0.0030358323584874477,5.3838399590239986e-09,5.5435624520187662e-11,2.6679422028774052e-05,5.357856318134567e-13,1.148468887954334e-08,1.9344945959336458e-07,1.2378228157637017e-09,2.9412587865883777e-07,1.3377305773196376e-11,1.480988082777816e-14,1.4450124128512882e-16,1.5853009719001813e-15
1.70668737939229e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32875031746379285,0.11291482105674192,0.021287348580081984,8.8863516286597509e-13,2.0736331105572053e-11,2.0099537097808942e-05,1.668835140348508e-05,3.4924048327179189e-13,6.758747669654851e-19,4.6907295844188917e-08,5.1706894921650692e-27,3.3897288678316605e-08,2.1174409943716632e-20,2.8828949485525367e-18,6.9567220204909994e-16,1.6816023226730521e-18,4.4491305029585933e-15,7.3878476198387642e-20,0.0057381981033848501,0.0030517485340479833,5.4110540823260019e-09,5.5957584143537932e-11,2.6788944142623988e-05,5.3898995612709722e-13,1.1529807400680053e-08,1.9340613580195864e-07,1.2484815686280787e-09,2.9848912134402758e-07,1.3518321807828377e-11,1.4999446012773877e-14,1.4651664799841674e-16,1.6080746433541814e-15
1.716065708732151e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32873456522993016,0.11291491393740428,0.021279306860555958,9.0560717472492074e-13,2.1091599096336728e-11,2.039215192319713e-05,1.6864096789448618e-05,3.5476323080862876e-13,6.9171953766809586e-19,4.729031672233677e-08,5.3395890446802144e-27,3.4112546936396674e-08,2.1574746803426597e-20,2.9428736965800621e-18,7.07680674740651e-16,1.7088298126993856e-18,4.5245902009839087e-15,7.5674486581733126e-20,0.0057379290541819733,0.0030676562159601367,5.438253754319798e-09,5.64810793478252e-11,2.6898112847598388e-05,5.4219441494417609e-13,1.1574781387552837e-08,1.9336322344700043e-07,1.2591807857052243e-09,3.0288094056939719e-07,1.3660031622237886e-11,1.5190364656980174e-14,1.4854965428799227e-16,1.6310450579427291e-15
1.725444038072012e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32871882185613166,0.1129150059987421,0.021271268948942098,9.228136447605892e-13,2.1450629006069546e-11,2.0686657438578931e-05,1.704071442324756e-05,3.603435386032085e-13,7.0783057575985964e-19,4.7674398008040409e-08,5.5130745210639393e-27,3.4327273910421146e-08,2.1980437012322445e-20,3.0037162262530548e-18,7.1981272984051299e-16,1.7363442301678424e-18,4.6007890389203111e-15,7.7504360799735011e-20,0.0057376599507052983,0.003083555409753217,5.4654389826679636e-09,5.7006111626318409e-11,2.7006935088357212e-05,5.4539904375759935e-13,1.1619613798923444e-08,1.9332071577165147e-07,1.2699204357011744e-09,3.0730126144990846e-07,1.3802434684634603e-11,1.5382641373158021e-14,1.5060032286732109e-16,1.6542130087124346e-15
1.734822367411873e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32870308732033143,0.11291509723144678,0.021263234842750871,9.4025659661140568e-13,2.1813437584164568e-11,2.0983049238752157e-05,1.7218203761070039e-05,3.6598169796992434e-13,7.2421074602245596e-19,4.8059534642319356e-08,5.6912448799935776e-27,3.4541469580256928e-08,2.2391521552432277e-20,3.0654296721030367e-18,7.320687097282471e-16,1.7641470128161847e-18,4.6777282066696698e-15,7.9368550400600334e-20,0.0057373908028159658,0.0030994461209501263,5.4926097750487044e-09,5.753268239455271e-11,2.7115417623896962e-05,5.4860387724726385e-13,1.1664307512229069e-08,1.9327860616836322e-07,1.2807004873568408e-09,3.1175001057458772e-07,1.394553046367233e-11,1.5576280758202185e-14,1.5266871631553611e-16,1.6775792895145013e-15
