Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47),C2H6X(49)
1.252859712631824e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050936834592935784,0.097079032419885525,0.02665481478181848,0.00091642018714042548,0.0038397989579505524,6.2347441176186259e-06,1.1336712556227879e-05,1.4121551346632006e-07,2.9306143088970526e-20,2.2010087579609433e-10,2.5893678032080446e-25,7.5330023852704613e-15,1.0175332048366057e-18,4.0777124351016356e-11,1.2253710604255495e-20,5.7188672847670051e-19,1.083223514348796e-15,6.6214202699045284e-21,0.00094730252346619576,0.13986248446847011,1.3563037403956786e-07,6.1792872644374803e-07,5.0622439765064163e-06,9.8792668046340176e-14,8.888366327788093e-09,1.6992644851779832e-09,0.001045466562882582,9.7805534435705532e-05,9.9814225904795189e-10,1.7818025902517979e-08,7.5223890608414098e-09,3.8133617917995096e-09,1.7508381315837911e-10
1.2572720499130263e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050868864499847503,0.09707451140744805,0.02660882930898071,0.00092200620369592998,0.0038512952728818784,6.2420662407792359e-06,1.1355245995916878e-05,1.4186541814398092e-07,2.9452570295913091e-20,2.2047091873169684e-10,2.6317627374592493e-25,7.5370942319115516e-15,1.0281876932437057e-18,4.099522494877908e-11,1.2282214810314768e-20,5.7534242806634419e-19,1.0856838365320365e-15,6.7175566339650762e-21,0.0009459925504572838,0.13993138471156968,1.3564698261350555e-07,6.1857156587946708e-07,5.058255643998643e-06,9.8794901016383766e-14,8.8780946401900744e-09,1.6963710170748894e-09,0.0010456916807706465,9.7963571323752004e-05,9.9890355779880732e-10,1.7815146070686582e-08,7.5330695843822719e-09,3.8144997565359262e-09,1.7565501979862793e-10
1.2616843871942287e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050801286092066307,0.097069990028838857,0.026563045227220493,0.00092759734460304039,0.0038627778568194162,6.2493717929212457e-06,1.1373605097873947e-05,1.4251548102372772e-07,2.959899294941918e-20,2.2083949900316659e-10,2.6746724678525832e-25,7.5411765153247605e-15,1.0389085559206395e-18,4.1213578368917102e-11,1.2310529302743283e-20,5.788011591036014e-19,1.0881394036530536e-15,6.8146975151311147e-21,0.00094468999246980856,0.13999989819212474,1.3566328977293313e-07,6.1921225747197463e-07,5.0542925998107969e-06,9.8796997936412614e-14,8.8678804290440801e-09,1.6934938046949124e-09,0.001045904799871276,9.8121246431215553e-05,9.9965238006654173e-10,1.7812300498155466e-08,7.5436458453169104e-09,3.8155920099262243e-09,1.7622563006699961e-10
1.265655490747311e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050740797679318196,0.097065920501918618,0.026522010396202729,0.00093263368153465162,0.0038731004891974351,6.2559327513115061e-06,1.1389979960646378e-05,1.4310067051397266e-07,2.9730768400138181e-20,2.2116997658790159e-10,2.7137346494460185e-25,7.5448424696098145e-15,1.0486141653372378e-18,4.1410311632223649e-11,1.2335850713029083e-20,5.8191656756569848e-19,1.0903453700453693e-15,6.9029883300806608e-21,0.00094352397849933075,0.14006123233334394,1.3567771115097035e-07,6.1978705806737527e-07,5.0507473307435926e-06,9.8798770263462149e-14,8.8587364316228059e-09,1.6909180984137786e-09,0.0010460864432959302,9.8262847253709968e-05,1.0003157371555934e-09,1.7809768737252174e-08,7.5530759229856097e-09,3.8165363041960505e-09,1.7673867168151472e-10
1.2696265943003932e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050680621462778457,0.097061850728115351,0.026481136197522719,0.00093767403706026848,0.0038834120864538724,6.2624805274035883e-06,1.1406214969123898e-05,1.4368598376658168e-07,2.9862538229272618e-20,2.2149928039932949e-10,2.7532199190249041e-25,7.5485008179231439e-15,1.0583736919185907e-18,4.1607247867504465e-11,1.2361019523872521e-20,5.850343547751204e-19,1.0925475248185378e-15,6.9921024184974782e-21,0.00094236387507420081,0.14012225818026033,1.3569189327561873e-07,6.2036014589373948e-07,5.0472222656093855e-06,9.8800435015870603e-14,8.8496383416423503e-09,1.6883553485060476e-09,0.0010462585443830337,9.8404159754583546e-05,1.0009691451145611e-09,1.7807264655325036e-08,7.5624226399311573e-09,3.8174442208089373e-09,1.7725123445201368e-10
1.2735976978534754e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050620755079650498,0.097057780730437471,0.026440421468600411,0.0009427183492455196,0.0038937126894715312,6.269015233212901e-06,1.1422310767660507e-05,1.4427141873624563e-07,2.9994301536906325e-20,2.2182741559020824e-10,2.7931311782973752e-25,7.5521516254897043e-15,1.0681872078201589e-18,4.1804386225164649e-11,1.2386036245688117e-20,5.8815448479917165e-19,1.0947458866727175e-15,7.0820443442816888e-21,0.00094120963761876294,0.14018297805530142,1.3570583842485784e-07,6.2093153352864257e-07,5.0437172736832396e-06,9.8801993433281732e-14,8.8405858560032392e-09,1.6858054566967471e-09,0.0010464211859911514,9.8545186135420797e-05,1.001612677556588e-09,1.7804788217287368e-08,7.5716865101520084e-09,3.8183160642455487e-09,1.7776332036176549e-10
1.2775688014065576e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050561196191150667,0.097053710531554788,0.026399865058774136,0.00094776655657176541,0.003904002338930135,6.2755369796389617e-06,1.1438268000852679e-05,1.4485697339657627e-07,3.0126057433132906e-20,2.2215438728143787e-10,2.8334713357950375e-25,7.555794956778462e-15,1.0780547846929266e-18,4.2001725861751461e-11,1.2410901391492392e-20,5.9127692196598657e-19,1.0969404741579602e-15,7.1728186774157693e-21,0.00094006122200868461,0.14024339425697979,1.357195488494736e-07,6.2150123342410085e-07,5.0402322253250971e-06,9.8803446716128514e-14,8.8315786742282473e-09,1.6832683257584179e-09,0.0010465744504501908,9.8685928576154074e-05,1.0022464077840911e-09,1.7802339386849527e-08,7.5808680468601187e-09,3.8191521369615274e-09,1.7827493138521279e-10
1.2815399049596398e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050501942482199157,0.097049640153803518,0.026359465829144259,0.00095281859793453633,0.0039142810753072426,6.2820458764790727e-06,1.145408731348881e-05,1.4544264573990411e-07,3.0257805037966719e-20,2.2248020056234964e-10,2.874243306834322e-25,7.5594308755127333e-15,1.0879764936859034e-18,4.2199265939895813e-11,1.2435615476829243e-20,5.9440163086328636e-19,1.0991313056757843e-15,7.2644299939219619e-21,0.00093891858456517064,0.14030350906020553,1.3573302677263341e-07,6.2206925790649616e-07,5.0367669919694275e-06,9.8804796043720565e-14,8.8226164982637868e-09,1.6807438594310134e-09,0.0010467184195636393,9.8826389235403436e-05,1.0028704087284251e-09,1.7799918126329542e-08,7.5899677616523569e-09,3.8199527394852426e-09,1.7878606948640281e-10
1.285511008512722e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.0504429916611163,0.097045569619191557,0.0263192226524195,0.0009578744126419492,0.0039245489388793639,6.2885420324407892e-06,1.1469769350499067e-05,1.4602843377707514e-07,3.0389543481254559e-20,2.2280486049099033e-10,2.9154500134779169e-25,7.5630594446808809e-15,1.0979524054486092e-18,4.2397005628254668e-11,1.2460179019694825e-20,5.9752857633711593e-19,1.1013183994807351e-15,7.3568828758199167e-21,0.00093778168204927399,0.1403633247165931,1.357462743959141e-07,6.2263561917589689e-07,5.0333214461153479e-06,9.8806042618561313e-14,8.8136990326202649e-09,1.6782319623810112e-09,0.0010468531746108244,9.8966570250590171e-05,1.0034847528172198e-09,1.779752439755352e-08,7.5989861632503801e-09,3.8207181708212521e-09,1.7929673662062978e-10
1.2894821120658042e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050384341459323551,0.097041498949403296,0.026279134412765796,0.0009629339404131161,0.003934805969722956,6.2950255551555037e-06,1.1485314756906795e-05,1.4661433553725401e-07,3.0521271902588071e-20,2.2312837209441421e-10,2.9570943844962667e-25,7.5666807265465224e-15,1.1079825901335536e-18,4.2594944101454577e-11,1.2484592540464083e-20,6.006577234905922e-19,1.1035017736819161e-15,7.4501819110845495e-21,0.00093665047165629705,0.14042284345476361,1.3575929389552322e-07,6.2320032931173486e-07,5.0298954613120099e-06,9.8807187600794868e-14,8.804825984405633e-09,1.675732540302425e-09,0.0010469787963491755,9.910647373819598e-05,1.0040895121832405e-09,1.7795158161376898e-08,7.6079237597213565e-09,3.8214487279801294e-09,1.7980693473483494e-10
1.2934532156188864e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.050325989631049207,0.097037428165804573,0.026239200005657524,0.00096799712137656435,0.0039450522077152895,6.3014965511918585e-06,1.1500724177780376e-05,1.472003490677293e-07,3.0652989451217297e-20,2.2345074036895869e-10,2.9991793553291491e-25,7.5702947826581726e-15,1.1180671173986986e-18,4.2793080540034921e-11,1.2508856561820254e-20,6.0378903768266921e-19,1.1056814462444939e-15,7.5443316936040986e-21,0.00093552491101028248,0.14048206748064193,1.3577208741923735e-07,6.2376340027276469e-07,5.0264889121460095e-06,9.8808232112489243e-14,8.7959970630057142e-09,1.6732454998305171e-09,0.001047095365016483,9.9246101794135504e-05,1.004684758643084e-09,1.7792819377153329e-08,7.6167810578686649e-09,3.8221447059505389e-09,1.8031666576558369e-10
