Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
1.8900145678222458e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32841245627854648,0.11291689765398787,0.021130951633503436,2.4136278250332205e-13,1.6301020493369579e-12,2.6277926020181077e-05,4.2047556836709444e-06,2.4268991551425796e-17,9.4648798952354468e-14,2.6562253769085483e-09,7.1746590485170452e-27,3.2444824007163279e-08,7.0964893786782224e-19,1.4376647287717166e-20,5.3559619623405639e-17,5.3192405734372319e-20,7.9666166192194296e-14,2.5342197307142737e-20,0.0057324743465397721,0.0033769188273011065,3.4591865342107179e-10,6.6948586228393456e-11,2.8935882478040848e-05,7.7919528686088934e-14,6.0499273983430599e-08,1.6217305040848271e-05,1.0846339704062408e-07,3.9118099348381637e-07,4.7412091548069696e-17,8.1556684002489265e-14,3.4024887939803729e-12
1.8996784097395702e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32839614211667617,0.11291697900975704,0.021122742930640304,2.4703813060544249e-13,1.6605250515041903e-12,2.6618487196490285e-05,4.2710167692280666e-06,2.4700727963282643e-17,9.6213513886727639e-14,2.6863271738876295e-09,7.5070784345271077e-27,3.2655092201924217e-08,7.2999800760059979e-19,1.4652619265171473e-20,5.4783462332993548e-17,5.4339166936979552e-20,8.0890985934153991e-14,2.6210191436759185e-20,0.0057321931561577786,0.0033932685560475987,3.4753830094571828e-10,6.7524645278833928e-11,2.9042850186179345e-05,7.8877382213182193e-14,6.1217980706106007e-08,1.6348712858142626e-05,1.0987861581188445e-07,3.9629279682832102e-07,4.826566313417241e-17,8.2930372933230733e-14,3.4559366529696555e-12
1.9093422516568947e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32837983649523844,0.11291705939182867,0.021114538231456963,2.5281523619717822e-13,1.6913226778888332e-12,2.6960992722864032e-05,4.337911887061393e-06,2.5138646951340514e-17,9.7795280138748265e-14,2.7165657467185809e-09,7.8528625397484578e-27,3.2864902608045518e-08,7.5080410480819088e-19,1.4932298622820259e-20,5.6027860290586392e-17,5.5503944367225863e-20,8.2127037680498512e-14,2.7102999500069098e-20,0.0057319120160519649,0.0034096096331465557,3.4915708807754377e-10,6.8102381278886555e-11,2.9149560411729167e-05,7.9843264272896317e-14,6.1940867617140244e-08,1.6480395494920425e-05,1.113040874428351e-07,4.0143376782393205e-07,4.912971012958655e-17,8.4319087008464964e-14,3.5098923060750945e-12
1.9190060935742191e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32836353940540747,0.11291713879780929,0.021106337533298398,2.5869534125736533e-13,1.7224973538958079e-12,2.7305439348112328e-05,4.4054425888361004e-06,2.5582816622815229e-17,9.9394163903634255e-14,2.7469401531546688e-09,8.2124614612378625e-27,3.3074256006982031e-08,7.7207429509421798e-19,1.5215715020274161e-20,5.7293032617683538e-17,5.6686909800488498e-20,8.337432800525907e-14,2.8021176884777439e-20,0.0057316309291978477,0.0034259420623492711,3.5077501513062172e-10,6.8681794026267047e-11,2.9256017441247396e-05,8.0817208267444421e-14,6.2667934622924376e-08,1.6612350811406715e-05,1.1273981902333667e-07,4.0660385134293139e-07,5.0004297510628528e-17,8.5722902999364419e-14,3.5643569365373393e-12
1.9286699354915436e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32834725083863947,0.11291721722550258,0.021098140833512108,2.6467969538267653e-13,1.7540515107627592e-12,2.765182388062366e-05,4.4736104065019844e-06,2.6033305506648247e-17,1.0101023074215915e-13,2.7774494550024744e-09,8.586337281018359e-27,3.3283153263764399e-08,7.9381569360766958e-19,1.5502898214460027e-20,5.8579199332996168e-17,5.7888235428961224e-20,8.4632862803591201e-14,2.8965287528957942e-20,0.0057313498983734609,0.003442265847421847,3.5239208242110825e-10,6.9262883238134188e-11,2.9362225441469008e-05,8.1799247500254508e-14,6.3399181567608867e-08,1.6744576688091463e-05,1.1418581747888665e-07,4.118029932273739e-07,5.0889490185728788e-17,8.7141897520017842e-14,3.619331711473356e-12
1.938333777408868e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32833097078665596,0.11291729467289648,0.02108994812944812,2.7076955577878116e-13,1.7859875855056417e-12,2.8000143186555203e-05,4.5424168524686452e-06,2.6490182551377982e-17,1.0264354558399183e-13,2.8080927181967521e-09,8.9749642912407855e-27,3.349159532319184e-08,8.1603546469707957e-19,1.579387805923194e-20,5.9886581346194288e-17,5.9108093856335777e-20,8.5902647299142103e-14,2.993590398059196e-20,0.0057310689261722645,0.0034585809921450525,3.5400829026720041e-10,6.9845648552847589e-11,2.946818846299176e-05,8.2789415174765284e-14,6.4134608233777896e-08,1.6877071025552313e-05,1.1564208957305244e-07,4.1703114026019892e-07,5.1785352994736666e-17,8.857614702634642e-14,3.6748177820223565e-12
1.9479976193261925e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3283146992414277,0.11291737113815106,0.021081759418458964,2.7696618725142374e-13,1.8183080208642208e-12,2.8350394188066968e-05,4.6118634197803793e-06,2.6953517122991563e-17,1.0429417273107318e-13,2.8388690128709781e-09,9.3788292214637926e-27,3.3699583206159766e-08,8.3874082156254446e-19,1.6088684504980294e-20,6.1215400451654153e-17,6.0346658092530847e-20,8.7183686051408203e-14,3.0933607456688982e-20,0.0057307880150152535,0.0034748875003141719,3.5562363898909558e-10,7.0430089531771632e-11,2.9573910443871735e-05,8.3787744393401934e-14,6.4874214343198518e-08,1.7009831744277641e-05,1.1710864190986814e-07,4.2228824013700872e-07,5.2691950708240282e-17,9.0025727815151104e-14,3.730816283491437e-12
1.957661461243517e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32829843619516141,0.11291744661958725,0.021073574697899663,2.8327086219742326e-13,1.8510152652475794e-12,2.8702573861599754e-05,4.6819515822907552e-06,2.7423379002757859e-17,1.0596217586102672e-13,2.8697774134237471e-09,9.7984314680404056e-27,3.3907118006117972e-08,8.6193902590569566e-19,1.6387347598239123e-20,6.2565879322208579e-17,6.1604101548468367e-20,8.8475982963080479e-14,3.1958987901986247e-20,0.0057305071671622538,0.0034911853757388649,3.5723812890895347e-10,7.1016205661116431e-11,2.9679395213129477e-05,8.4794268156724598e-14,6.5617999557637016e-08,1.7142856784489879e-05,1.1858548093619336e-07,4.275742414385154e-07,5.3609348026904559e-17,9.149071602328944e-14,3.7873283355009242e-12
1.9673253031608414e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32828218164028544,0.11291752111567623,0.021065393965127709,2.8968486059559613e-13,1.8841117726797175e-12,2.9056679236197077e-05,4.7526827948367994e-06,2.7899838385042604e-17,1.0764761803060095e-13,2.9008169985811679e-09,1.0234283325599036e-26,3.4114200885656082e-08,8.8563738757772999e-19,1.6689897481292171e-20,6.3938241502901983e-17,6.2880598030896649e-20,8.9779541287375563e-14,3.3012644047225186e-20,0.0057302263847224888,0.0035074746222430132,3.5885176035085728e-10,7.1603996353809999e-11,2.978464649416667e-05,8.5809019362739962e-14,6.6365963479737238e-08,1.7276144105969123e-05,1.200726129440352e-07,4.3288909360366143e-07,5.4537609580822229e-17,9.2971187626969786e-14,3.8443550421293611e-12
1.976989145078166e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32826593556943723,0.11291759462502954,0.021057217217503046,2.962094699976039e-13,1.9176000027453323e-12,2.9412707391870814e-05,4.8240584934127644e-06,2.8382965875106409e-17,1.0935056167914091e-13,2.93198685145541e-09,1.068691022060655e-26,3.4320833073212019e-08,9.098432642256079e-19,1.6996364391778053e-20,6.5332711404752112e-17,6.4176321737260933e-20,9.1094363635350375e-14,3.4095183467002087e-20,0.0057299456696644404,0.0035237552436645707,3.6046453364077837e-10,7.2193460951393561e-11,2.9889667908093637e-05,8.6832030806366001e-14,6.7118105653954185e-08,1.74096916878772e-05,1.2157004407283472e-07,4.3823274690341414e-07,5.5476799928883974e-17,9.4467218441165724e-14,3.9018974920580878e-12
1.9866529869954903e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32824969797545073,0.11291766714639004,0.021049044452388078,3.0284598551872696e-13,1.9514824205358414e-12,2.9770655458010453e-05,4.8960800953434387e-06,2.8872832486886374e-17,1.1107106863208703e-13,2.9632860595995505e-09,1.1156850947000636e-26,3.452701585990003e-08,9.3456406093652693e-19,1.7306778662294727e-20,6.6749514298520528e-17,6.5491447250620571e-20,9.2420451983198329e-14,3.5207222637191348e-20,0.0057296650238250939,0.0035400272438554188,3.6207644910654098e-10,7.2784598725934634e-11,2.9994462976968111e-05,8.7863335179043724e-14,6.7874425567537283e-08,1.7543497528582031e-05,1.2307778031171737e-07,4.4360515241523162e-07,5.6426983558161058e-17,9.5978884119137608e-14,3.9599567587154174e-12
1.9963168289128148e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3282334688513458,0.11291773867862293,0.02104087566714765,3.0959570982856782e-13,1.9857614965957324e-12,3.0130520611835588e-05,4.9687489994569581e-06,2.936950964076216e-17,1.1280920010449848e-13,2.9947137150588444e-09,1.164465790387859e-26,3.4732750596454632e-08,9.5980722988076688e-19,1.7621170720003696e-20,6.8188876308493651e-17,6.6826149534613212e-20,9.3757807679524803e-14,3.6349386991938698e-20,0.0057293844489185418,0.0035562906266812101,3.6368750707778657e-10,7.3377408881950903e-11,3.0099035126945783e-05,8.8902965068482361e-14,6.86349226515579e-08,1.7677559645482589e-05,1.2459582750170748e-07,4.4900626199820076e-07,5.7388224883302986e-17,9.7506260152058339e-14,4.0185339004203779e-12
2.0059806708301393e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32821724819031645,0.11291780922070811,0.021032710859149002,3.1645995314168308e-13,2.0204397068692871e-12,3.0492300076891367e-05,5.0420665862570882e-06,2.9873069161307153e-17,1.145650167045993e-13,3.0262689144185809e-09,1.2150897335229406e-26,3.4938038690286712e-08,9.8558026995300939e-19,1.7939571086234143e-20,6.965102440627589e-17,6.8180603928465393e-20,9.5106431452600832e-14,3.7522310980223066e-20,0.0057291039465440586,0.0035725453960212213,3.6529770788594282e-10,7.3971890558340913e-11,3.0203387691343522e-05,8.9950952958537392e-14,6.939959628197608e-08,1.7811876074834255e-05,1.2612419133790916e-07,4.5443602826884183e-07,5.8360588245951019e-17,9.9049421868740533e-14,4.0776299605259297e-12
2.0156445127474637e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32820103598572126,0.11291787877173226,0.02102455002576183,3.2344003320814931e-13,2.0555195326477511e-12,3.0855991121586382e-05,5.1160342180949321e-06,3.0383583275025551e-17,1.163385784373455e-13,3.0579507588486327e-09,1.2676149571695818e-26,3.5142881602648455e-08,1.0118907264122299e-18,1.82620103760873e-20,7.1136186404596663e-17,6.9554986142049892e-20,9.6466323417592208e-14,3.8726638121984886e-20,0.0057288235181936183,0.0035887915557681967,3.6690705186419013e-10,7.456804283031475e-11,3.0307523913615971e-05,9.1007331229204687e-14,7.0168445780741194e-08,1.7946444871574817e-05,1.2766287737165156e-07,4.598944045775741e-07,5.9344137914164536e-17,1.0060844443545578e-13,4.1372459675617266e-12
