Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CHOX(53),HOCOX(217),C2H4X(209)
2.863412568490715e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44317425186261661,0.10781509149165415,0.022594109734216862,0.0,0.00015877583023527338,0.0028184303664708274,8.7892527411416764e-05,2.0598161386337371e-05,3.6407895115551602e-15,0.0018031622997987198,7.9086939520463856e-12,0.00038653631887232989,9.591237874239437e-10,1.1698052586646572e-05,6.1525241214121526e-12,2.1231017281358052e-13,0.00019327753162095833,2.3672529215554945e-07,0.0077538885881831485,3.2075817687569238e-06,0.00016414051001963661,1.7554994377420215e-08,3.820298555877856e-10,1.110979731081284e-05,0.0011446270134164631,1.0135493528941057e-08,5.5968433938801596e-05,3.1152020075295028e-08,3.7435963537551175e-07,7.1368359603833909e-09,5.554961584910061e-09,2.7250529895109324e-10,3.4598283142193101e-13,1.370240873785155e-14,2.0959038702979313e-08
2.869785413894509e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44317020030227483,0.10780841460365634,0.022593259820047156,0.0,0.0001595138827223901,0.0028278767843183021,8.8413993261218535e-05,2.0681770380439539e-05,3.6780919581981575e-15,0.001805396115781282,7.9667199656879627e-12,0.00038658683101781312,9.6327414470452683e-10,1.1764784308680604e-05,6.1899073815288476e-12,2.139600449056128e-13,0.00019365174466614998,2.3841570500780453e-07,0.0077533411925942639,3.2068229651657598e-06,0.00016432559786772432,1.7575351091376534e-08,3.8425618231871466e-10,1.1162973171484354e-05,0.0011487997593652964,1.0147668424110786e-08,5.6156853087777898e-05,3.1187797905862654e-08,3.7703362412883858e-07,7.1699394743456058e-09,5.5841135636171171e-09,2.741195975390484e-10,3.4819388790273909e-13,1.3790263540631878e-14,2.1122733389403308e-08
2.8761582592983034e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44316614487039435,0.10780173742665825,0.022592408504842031,0.0,0.00016025339595123833,0.0028373307759245936,8.893723373107393e-05,2.0765415955250216e-05,3.7156930193728521e-15,0.0018076242358156381,8.0249708628049824e-12,0.00038663727335804069,9.6742791046372472e-10,1.1831692499006717e-05,6.2274238440467334e-12,2.1561837908652705e-13,0.00019402534800854924,2.4011334898214081e-07,0.0077527937061340913,3.2060640846655877e-06,0.00016451048564147385,1.7595649161043133e-08,3.8649003825265271e-10,1.1216265701212487e-05,0.0011529764012749683,1.0159809729398089e-08,5.6345421341733594e-05,3.1223508762317984e-08,3.7971905549660136e-07,7.203107953137595e-09,5.6133495570339123e-09,2.7573936639249046e-10,3.5041390180412782e-13,1.3878463336686387e-14,2.1287218169871115e-08
2.8825311047020976e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44316208558224135,0.10779505996157383,0.022591555789161135,0.0,0.00016099436781934581,0.0028467923196528783,8.9462249677386206e-05,2.0849097292885479e-05,3.7535944053409105e-15,0.0018098466755379905,8.0834463251727686e-12,0.00038668764730842949,9.715850446730822e-10,1.1898776823711328e-05,6.2650736215196773e-12,2.1728519322981023e-13,0.0001943983421078957,2.4181822953280015e-07,0.0077522461292008921,3.2053051279954349e-06,0.00016469517398479312,1.7615888752774619e-08,3.8873142607902097e-10,1.126967477452882e-05,0.0011571569234055702,1.0171917534009627e-08,5.6534138255619814e-05,3.1259152782329481e-08,3.8241593812170332e-07,7.2363413000014607e-09,5.6426695780538869e-09,2.7736460798176406e-10,3.5264288588947127e-13,1.3967008305271285e-14,2.1452493975285002e-08
2.888903950105892e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44315802245303676,0.10778838220931473,0.022590701673565378,0.0,0.00016173679622570968,0.0028562613939380342,8.9989041948147127e-05,2.0932813578579163e-05,3.791797832007215e-15,0.0018120634505428103,8.1421460299036779e-12,0.00038673795426193651,9.7574550741437746e-10,1.1966036947761552e-05,6.3028568259797775e-12,2.189605051566277e-13,0.00019477072742941559,2.4353035204353841e-07,0.0077516984621910662,3.2045460958944105e-06,0.00016487966353785828,1.7636070032187721e-08,3.9098034898619548e-10,1.1323200265859465e-05,0.001161341310066901,1.0183991926677837e-08,5.6723003385874614e-05,3.1294730103771333e-08,3.8512428053549593e-07,7.2696394182430854e-09,5.6720736392700461e-09,2.7899532475091465e-10,3.5488085322843689e-13,1.4055898693994702e-14,2.1618561727782751e-08
2.895276795509686e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44315395549795616,0.10778170417079022,0.022589846158616981,0.0,0.00016248067907081656,0.0028657379772862716,9.0517611382969019e-05,2.1016564000685544e-05,3.8303050209262811e-15,0.0018142745763828614,8.2010696494762688e-12,0.00038678819558939559,9.799092588800448e-10,1.2033472535018045e-05,6.3407735689383129e-12,2.2064433263575256e-13,0.00019514250444375826,2.452497218278495e-07,0.0077511507054991895,3.2037869891024506e-06,0.00016506395493714345,1.7656193168674543e-08,3.9323681419526815e-10,1.1376842049508623e-05,0.0011655295456183355,1.0196032997055228e-08,5.691201629041536e-05,3.133024086368592e-08,3.878440911580703e-07,7.3030022107950668e-09,5.7015617522941917e-09,2.8063151912141915e-10,3.571278185075429e-13,1.41451351625893e-14,2.1785422340754663e-08
2.90164964091348e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314988473212957,0.10777502584690737,0.022588989244879433,0.0,0.00016322601425665983,0.002875222048274772,9.1047958813113999e-05,2.1100347750681849e-05,3.869117699302107e-15,0.0018164800685692261,8.260216851764604e-12,0.00038683837263985064,9.8407625937361093e-10,1.21010832482478e-05,6.3788239613867861e-12,2.2233669338349666e-13,0.00019551367362693372,2.4697634412915149e-07,0.0077506028595180285,3.2030278083601768e-06,0.00016524804881544683,1.7676258327496172e-08,3.9550082424653362e-10,1.1430599999706593e-05,0.0011697216144686529,1.0208040833751789e-08,5.710117652863111e-05,3.1365685198530699e-08,3.9057537829859014e-07,7.3364295811021192e-09,5.7311339290964435e-09,2.8227319348527908e-10,3.5938379434230216e-13,1.423471787427043e-14,2.1953076718860652e-08
2.9073852017768946e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314621779716651,0.10776901511217932,0.022588216827017681,0.0,0.00016389805594247555,0.002883764096447789,9.1526792366579716e-05,2.1175780955298764e-05,3.9043117354107049e-15,0.0018184602075493963,8.3136402188566268e-12,0.00038688347812610617,9.8782930501738692e-10,1.2162082343267357e-05,6.4131836762207696e-12,2.2386712860133892e-13,0.00019584720659383581,2.4853650937971139e-07,0.00775010972211584,3.2023444830765768e-06,0.00016541356494555596,1.7694267534709207e-08,3.9754488618181042e-10,1.1479081373257892e-05,0.0011734977410580542,1.0218819544546271e-08,5.7271546350332557e-05,3.1397528419656249e-08,3.930433559262989e-07,7.3665693486811217e-09,5.7578207725169152e-09,2.8375538776241352e-10,3.6142188716163756e-13,1.4315638502995891e-14,2.2104645069025487e-08
2.913120762640309e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314254779868428,0.10776300414770201,0.022587443277006812,0.0,0.00016457127079885425,0.0028923121767961257,9.200706735713265e-05,2.1251239918125474e-05,3.9397558886786508e-15,0.0018204358070492374,8.3672441666744116e-12,0.00038692853357675524,9.9158492152854188e-10,1.2223222768933447e-05,6.4476518168072899e-12,2.2540450291557672e-13,0.00019618024796178647,2.5010255708373806e-07,0.0077496165129898875,3.2016610990332255e-06,0.00016557892204949149,1.7712230035051862e-08,3.995950666998717e-10,1.1527656647924083e-05,0.0011772769487339201,1.0229571471993407e-08,5.7442034837454519e-05,3.1429318046599344e-08,3.9552064207615296e-07,7.3967612755483426e-09,5.7845757249903668e-09,2.8524202445962489e-10,3.6346729952530276e-13,1.4396840218854951e-14,2.2256857741899909e-08
2.9188563235037236e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44313887474761904,0.10775699295413217,0.022586668595260272,0.0,0.00016524565729955529,0.0029008662738485634,9.2488784373538017e-05,2.1326724056246135e-05,3.9754514299779112e-15,0.0018224068782898412,8.4210284436484428e-12,0.00038697353993127079,9.9534308020077335e-10,1.2284504277181354e-05,6.4822284629833439e-12,2.2694882913213936e-13,0.00019651279808868745,2.5167449091890265e-07,0.0077491232324228597,3.200977656771086e-06,0.00016574412058105358,1.7730145949868654e-08,4.0165136883970642e-10,1.1576325731816388e-05,0.0011810592262323685,1.0240296680761886e-08,5.7612641671819713e-05,3.1461054177679425e-08,3.9800724257632344e-07,7.427005291302311e-09,5.8113987943650542e-09,2.8673310526832698e-10,3.6552004099661136e-13,1.4478323254782632e-14,2.2409715378911651e-08
2.924591884367138e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44313519865487733,0.10775098153212508,0.022585892782192377,0.0,0.0001659212139193724,0.0029094263721795573,9.297194399915848e-05,2.1402232788799118e-05,4.0113996338876877e-15,0.0018243734324650286,8.4749927952614272e-12,0.00038701849811562903,9.9910375240167171e-10,1.2345926619260256e-05,6.5169136942474953e-12,2.2850012002237241e-13,0.00019684485733580315,2.5325231451738006e-07,0.0077486298806963352,3.2002941568307162e-06,0.00016590916099171134,1.7748015395299817e-08,4.037137921687476e-10,1.1625088533004747e-05,0.0011848445623215788,1.0250995233817874e-08,5.7783366536197978e-05,3.1492736912232631e-08,4.0050316318302238e-07,7.4573013260486788e-09,5.8382899890137028e-09,2.8822863185918665e-10,3.6758011994687209e-13,1.4560087518457998e-14,2.2563218615804138e-08
