Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H4X(205),C2H4X(65),acetyl(43)
3.880930628272848e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835551622578671,0.08517276391770362,0.0075222007087197632,0.0,0.00021883444359469174,0.033662657398092849,0.01344985506767913,0.0011246142222630395,5.4817304763892383e-11,0.0099445810442942151,5.721775504442904e-09,0.00038797065550418784,6.1676441267907469e-08,8.5422595205746825e-07,9.490049029117457e-10,1.5486939008908464e-10,5.0009145513618449e-07,0.00035827810102095453,0.0059141338916431354,0.016928143974572096,0.00041154526038403365,4.5732446661021955e-07,1.8610236217321994e-08,6.1922963914336666e-07,0.00065192261439372718,0.00056697388272976832,3.0006889231723518e-06,7.1614967874547786e-09,1.466208568805533e-06,1.0783208804035416e-06,2.0858304617316737e-10,4.0307900223814262e-08,9.6105960454050715e-09,3.9335674370124496e-05,9.7796269611106172e-11,3.3470603964457286e-10
3.885926702367885e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835567144302117,0.085151694632523339,0.0075116690120251755,0.0,0.00021943207584707478,0.033704679631680522,0.013470143707083045,0.0011244072845544659,5.5033491893369067e-11,0.0099434283903250854,5.7229093158273485e-09,0.00038807043731527147,6.1692637037573576e-08,8.5541111487388259e-07,9.5068035530005718e-10,1.5511671050283671e-10,5.0063590986202823e-07,0.00035898581709302815,0.0059126685298839313,0.016928319059601377,0.0004117874992950556,4.5759819415197061e-07,1.8582026332879437e-08,6.191590900686215e-07,0.00065273715785516039,0.00056809387148465537,3.0001389743468871e-06,7.1672796508559239e-09,1.4665895784278829e-06,1.0779670057170019e-06,2.0889311434417798e-10,4.0368718029806228e-08,9.6366414519143519e-09,3.9414177979263969e-05,9.7989484646348244e-11,3.3517207874016629e-10
3.890922776462922e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835584915245911,0.085130643941987716,0.0075011520523050748,0.0,0.00022003018883503102,0.033746681816776605,0.013490425889042467,0.0011241981363497014,5.5250171517953666e-11,0.0099422669543123027,5.7240271771536612e-09,0.00038817019748473919,6.1708733003693842e-08,8.5659399299071758e-07,9.5235603422595191e-10,1.5536386966968454e-10,5.0117965275061672e-07,0.00035969343337477261,0.005911204780081389,0.016928470651254229,0.00041202949618025065,4.5787099867747228e-07,1.8553842551194697e-08,6.1908804732454849e-07,0.00065355134782843938,0.0005692137023477345,2.999583279345238e-06,7.1730570576540816e-09,1.4669699680845493e-06,1.0776137815020362e-06,2.092030926587004e-10,4.0429518650419617e-08,9.6627078821737133e-09,3.9492673452682557e-05,9.8182677738016841e-11,3.3563754366450342e-10
3.895419243148456e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835602827382224,0.085111714188995366,0.0074916993707255875,0.0,0.0002205688999442946,0.033784466636792021,0.013508674318468023,0.0011240080219958952,5.5445604316579186e-11,0.0099412141878588798,5.7250196709937427e-09,0.00038825996300191151,6.172313441331318e-08,8.5765662806040929e-07,9.5386433720592136e-10,1.5558617475542709e-10,5.0166841240037265e-07,0.0003603302014889938,0.0059098887805304305,0.016928587047627043,0.00041224708681067445,4.5811573443604289e-07,1.8528499532072999e-08,6.1902368880852967e-07,0.0006542838165047402,0.00057022141319838554,2.999078264487565e-06,7.1782520706537039e-09,1.4673117912587521e-06,1.0772964352349694e-06,2.0948199613813019e-10,4.0484224479205726e-08,9.6861855772260049e-09,3.9563312290369881e-05,9.8356532440232823e-11,3.360559709621825e-10
3.899915709833989e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835622552466618,0.0850927994419831,0.0074822585927085371,0.0,0.0002211079974539077,0.033822235208089219,0.013526917492804172,0.0011238161338847806,5.5641436134003954e-11,0.0099401543722855649,5.725999349371452e-09,0.00038834971074458891,6.1737455674153326e-08,8.5871740916189169e-07,9.5537282043926944e-10,1.5580834867758469e-10,5.0215659485182199e-07,0.00036096688650888919,0.0059085740811742962,0.016928684508695894,0.00041246448208054066,4.5835972416162113e-07,1.850317777952464e-08,6.18958934214318e-07,0.00065501599873160935,0.00057122899257334059,2.9985686391563566e-06,7.1834426866559275e-09,1.4676531170102684e-06,1.07697961468366e-06,2.0976082650627549e-10,4.0538916320472768e-08,9.7096801758599163e-09,3.9633944292219483e-05,9.8530368776334079e-11,3.3647393278053078e-10
3.904412176519523e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835644086289376,0.085073899674650233,0.0074728297024778453,0.0,0.00022164747994533849,0.033859987526305695,0.013545155400506697,0.0011236224799154133,5.5837667014727565e-11,0.0099390875379212606,5.7269662614597914e-09,0.00038843944059763615,6.1751697112804402e-08,8.597763347348334e-07,9.5688148239512554e-10,1.5603039117663258e-10,5.0264419981983302e-07,0.00036160348736908644,0.0059072606794210664,0.016928763078976724,0.00041268168231093082,4.5860296861791584e-07,1.8477877351177159e-08,6.1889378533001359e-07,0.00065574789445207689,0.00057223643878650306,2.9980544240727593e-06,7.1886289164797943e-09,1.4679939475786848e-06,1.0766633193001894e-06,2.1003958360919001e-10,4.059359414255437e-08,9.7331916185687324e-09,3.9704569342517594e-05,9.8704186467848694e-11,3.3689142893683114e-10
3.908908643205057e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835667424650747,0.085055014860743988,0.007463412684282124,0.0,0.00022218734600030416,0.033897723587148203,0.013563388030088091,0.0011234270679660286,5.6034297002096933e-11,0.0099380137150020288,5.7279204563478737e-09,0.00038852915244643691,6.1765859055054723e-08,8.6083340323924543e-07,9.5839032154570031e-10,1.562523019947662e-10,5.0313122702174385e-07,0.00036224000300874847,0.0059059485726843256,0.016928822802879155,0.00041289868782216205,4.5884546856872209e-07,1.8452598304157065e-08,6.1882824393791828e-07,0.00065647950361030424,0.00057324375015895771,2.9975356399021128e-06,7.1938107709343372e-09,1.4683342852006896e-06,1.0763475485362067e-06,2.103182672936785e-10,4.0648257913937863e-08,9.7567198458562339e-09,3.9775187326038854e-05,9.8877985237490978e-11,3.3730845925284039e-10
3.91340510989059e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835692563361005,0.085036144974059591,0.00745400752239464,0.0,0.00022272759420077938,0.033935443386392435,0.013581615370117338,0.0011232299058940582,5.6231326138308455e-11,0.0099369329336713545,5.7288619830404716e-09,0.00038861884617689063,6.1779941825903895e-08,8.6188861315541154e-07,9.5989933636635617e-10,1.5647408087589584e-10,5.0361767617735715e-07,0.00036287643237156264,0.0059046377583831609,0.016928863724706689,0.0004131154989337915,4.5908722477817251e-07,1.8427340695090525e-08,6.1876231181456107e-07,0.00065721082615157746,0.00057425092501895163,2.9970123072539948e-06,7.1989882608207186e-09,1.4686741321074093e-06,1.0760323018443096e-06,2.1059687740729877e-10,4.0702907603263903e-08,9.7802647982365938e-09,3.9845798128045197e-05,9.9051764809158383e-11,3.3772502355477076e-10
3.917901576576124e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835719498240338,0.085017289988440131,0.0074446142011132524,0.0,0.00022326822312900449,0.033973146919882707,0.013599837409219747,0.0011230310015361347,5.6428754464410271e-11,0.0099358452239803833,5.7297908904575652e-09,0.00038870852167541086,6.1793945749554347e-08,8.6294196298381828e-07,9.6140852533552414e-10,1.5669572756564144e-10,5.0410354700893707e-07,0.00036351277440573358,0.005903328233942161,0.016928885888657083,0.00041333211596462243,4.5932823801138411e-07,1.840210458010023e-08,6.1869599073078896e-07,0.00065794186202230065,0.00057525796170187463,2.9964844466822585e-06,7.2041613969409576e-09,1.4690134905214617e-06,1.0757175786821389e-06,2.1087541379837351e-10,4.075754317932605e-08,9.8038264162338916e-09,3.9916401634284494e-05,9.9225524907930414e-11,3.3814112167326815e-10
3.9223980432616575e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4283574822511888,0.08499844987777673,0.0074352327047603577,0.0,0.00022380923136749325,0.034010834183531548,0.013618054136076713,0.0011228303627081075,5.6626582020304512e-11,0.0099347506158881799,5.7307072274339135e-09,0.00038879817882892258,6.1807871149402969e-08,8.6399345124508641e-07,9.6291788693468054e-10,1.5691724181132717e-10,5.0458883924120096e-07,0.00036414902806396757,0.0059020199967913939,0.01692888933882258,0.00041354853923269991,4.5956850903349536e-07,1.8376890014815676e-08,6.1862928245170395e-07,0.00065867261116999039,0.00057626485855024397,2.9959520786850733e-06,7.2093301900868637e-09,1.4693523626631201e-06,1.075403378506673e-06,2.111538763159672e-10,4.0812164611070037e-08,9.8274046403837177e-09,3.9986997730989522e-05,9.9399265260063823e-11,3.3855675344339088e-10
3.926894509947191e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835778739836644,0.084979624616008387,0.0074258630176828513,0.0,0.00022435061749904124,0.034048505173319497,0.013636265539425528,0.0011226279972050563,5.6824808844749567e-11,0.0099336491392619519,5.7316110427186134e-09,0.00038888781752485996,6.182171834805798e-08,8.6504307647990172e-07,9.6442741964842263e-10,1.5713862336197625e-10,5.0507355260131634e-07,0.00036478519230346174,0.0059007130443664126,0.016928874119190255,0.00041376476905531575,4.5980803860977877e-07,1.8351697054375221e-08,6.1856218873666683e-07,0.00065940307354327198,0.00057727161391368819,2.9954152237049732e-06,7.2144946510408486e-09,1.4696907507480188e-06,1.075089700774953e-06,2.1143226480988572e-10,4.0866771867592946e-08,9.8509994112332482e-09,4.0057586304876556e-05,9.9572985592989079e-11,3.3897191870459136e-10
