Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CH3OO(84),COX(57)
6.137621960797472e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33731337584220134,0.11842767742535548,0.022815622670205812,1.0353147265084509e-29,8.3733216726616181e-15,9.5844219466146627e-15,1.0674022834843913e-12,2.4025737368493265e-16,1.6676654869826007e-16,1.0951514669517443e-09,9.3985226894805219e-33,1.3521990219602068e-12,5.3739985674981661e-22,1.7001211032555055e-17,3.6914864398890416e-27,4.1222381308706641e-29,5.0916281302953044e-14,7.7535591552676194e-26,0.00024228379181402416,1.1890038181122682e-05,2.050564159254242e-09,6.1760230572633832e-12,5.9946413188810094e-17,9.8051576992785775e-09,1.4197737138476254e-13,6.5858610515661354e-13,1.6651051307578237e-09,4.9104676144869482e-17,1.0638763727028999e-13,8.7100746526700923e-19
6.242406758815759e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33730912583347356,0.11842363041796217,0.022815521264203394,1.1654513431913703e-29,8.728367851287891e-15,1.0175021107623228e-14,1.1347872879669001e-12,2.4860696284673249e-16,1.7438347866722628e-16,1.124184698718721e-09,1.0557566008845891e-32,1.3765472108726536e-12,5.7713424924286497e-22,1.7852395674269799e-17,3.941176190679269e-27,4.4610361250985233e-29,5.301412892128426e-14,8.48199292734225e-26,0.0002463307131527639,1.2092849947090992e-05,2.0633552199476204e-09,6.3372516564868804e-12,6.1521200211436335e-17,1.0023669498770879e-08,1.4286307154091858e-13,6.8908705706034353e-13,1.7092327123332289e-09,5.1269261260325169e-17,1.1028235702903976e-13,9.2628790198054382e-19
6.347191556834046e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33730487878959109,0.11841958637016063,0.022815419861206179,1.3093806828036958e-29,9.0932023553035402e-15,1.0791517128110372e-14,1.2051096328784998e-12,2.5705941985104061e-16,1.8220027615687335e-16,1.1533952245717083e-09,1.1834101373906254e-32,1.4009448348397351e-12,6.1898137070488936e-22,1.8731020067056082e-17,4.2030826893163204e-27,4.8210103894274795e-29,5.5166341404455558e-14,9.2637557133441534e-26,0.00025037467476946658,1.2295655697442983e-05,2.0758281720045752e-09,6.5005830235756555e-12,6.3116832907210795e-17,1.0243121511604067e-08,1.4372674345956363e-13,7.2046826534935414e-13,1.7536275200456595e-09,5.3486666501868777e-17,1.1423149899012709e-13,9.8399081652712787e-19
6.451976354852334e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33730063470839988,0.11841554527978447,0.022815318461212312,1.4683029815680681e-29,9.4679762622612851e-15,1.143458139984104e-14,1.2784399722186413e-12,2.6561280703475294e-16,1.9021814111153359e-16,1.1827786248041672e-09,1.3237492493696352e-32,1.4253921160016656e-12,6.6300913269870577e-22,1.9637509345099933e-17,4.4775813438990452e-27,5.2030742835458455e-29,5.737362116341675e-14,1.0101654360785428e-25,0.00025441567883055261,1.2498455435797009e-05,2.0879941486488464e-09,6.6660239686320003e-12,6.4733387380320248e-17,1.0463493530721271e-08,1.4456915810525848e-13,7.5273723075376958e-13,1.798282749685922e-09,5.5757093874670072e-17,1.1823404591098676e-13,1.0441747783579545e-18
6.556761152870621e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33729639358774677,0.11841150714466887,0.022815217064219961,1.6435010341476334e-29,9.8528417254016587e-15,1.2104890000669794e-14,1.3548492113588189e-12,2.7426523153833269e-16,1.9843824365594426e-16,1.2123306343489215e-09,1.4777646657540762e-32,1.4498892715738664e-12,7.0928610345796063e-22,2.0572289411838875e-17,4.7650524360561961e-27,5.6081628562143455e-29,5.9636672784933809e-14,1.0998584946660278e-25,0.00025845372750085189,1.2701249165768534e-05,2.0998638930677784e-09,6.8335811410378639e-12,6.6370938287987326e-17,1.0684766055626081e-08,1.4539105943308003e-13,7.8590131598088685e-13,1.8431918323591667e-09,5.8080739311635193e-17,1.2228899131777204e-13,1.1068985651557144e-18
6.661545950888908e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33729215542547958,0.11840747196265057,0.02281511567022727,1.8363444278013723e-29,1.0247951968621019e-14,1.2803123606356547e-14,1.4344084987920385e-12,2.8301484529992753e-16,2.0686172513853392e-16,1.2420471373595464e-09,1.6465034290531916e-32,1.4744365140187231e-12,7.5788149261843011e-22,2.1535786990337114e-17,5.0658811018483415e-27,6.037232918502221e-29,6.195620298012163e-14,1.1957533626038278e-25,0.00026248882294360487,1.2904036890970143e-05,2.1114477720800333e-09,7.0032610377956839e-12,6.8029558927399273e-17,1.090692026758292e-08,1.4619316533557765e-13,8.199677856834288e-13,1.8883484262023983e-09,6.045779092039337e-17,1.2639534020319934e-13,1.1722211558700821e-18
6.766330748907195e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33728792021944737,0.11840343973156797,0.022815014279232396,2.0482939228568126e-29,1.0653461281879489e-14,1.3529967406276993e-14,1.5171892183339351e-12,2.918598449473075e-16,2.154896991381477e-16,1.2719241619816845e-09,1.8310708750593787e-32,1.4990340512113222e-12,8.088651365060866e-22,2.2528429672849524e-17,5.380457313427703e-27,6.4912631145485471e-29,6.4332920535743127e-14,1.2981577461058054e-25,0.00026652096732046355,1.3106818615011536e-05,2.1227557893242405e-09,7.1750700118129829e-12,6.9709321319171393e-17,1.1129938005889537e-08,1.4697616855500364e-13,8.5494364199142823e-13,1.9337464085952035e-09,6.2888432903986537e-17,1.3055210965338648e-13,1.2402017241174898e-18
6.871115546925483e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33728368796750019,0.11839941044926096,0.022814912891233507,2.2809059822608363e-29,1.1069525017043098e-14,1.4286111022839638e-14,1.6032629817438158e-12,3.0079847159806541e-16,2.2432325243549314e-16,1.3019578753076283e-09,2.0326326362699027e-32,1.5236820865993817e-12,8.6230748397109569e-22,2.3550645969753841e-17,5.7091758614362746e-27,6.9712539899787127e-29,6.6767536268145539e-14,1.407388523104232e-25,0.00027055016279149279,1.330959434149954e-05,2.1337975979854023e-09,7.3490142798565434e-12,7.141029628007507e-17,1.1353801744689534e-08,1.477407375650238e-13,8.9083575763987481e-13,1.9793798683515513e-09,6.5372844872691158e-17,1.3475832940818891e-13,1.3108996319284464e-18
6.97590034494377e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33727945866748943,0.11839538411357117,0.022814811506228751,2.5358374529430311e-29,1.1496299584120499e-14,1.5072248434354411e-14,1.6927016217015153e-12,3.0982901057769362e-16,2.3336344595054232e-16,1.3321445785077445e-09,2.2524166686027532e-32,1.5483808193575708e-12,9.1827958275639822e-22,2.4602865357642741e-17,6.0524363381230599e-27,7.478228058099884e-29,6.9260762979705065e-14,1.5237718224440818e-25,0.0002745764115151715,1.3512364074038087e-05,2.1445825130752373e-09,7.5250999296430503e-12,7.3132553494770674e-17,1.1578494570635565e-08,1.4848751742220012e-13,9.2765096708110369e-13,2.025243098222561e-09,6.7911198621978041e-17,1.3901304235929224e-13,1.3843744238244601e-18
7.080685142962057e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33727523231726725,0.11839136072234163,0.022814710124216302,2.8148504017500652e-29,1.1933942447879008e-14,1.5889077901461318e-14,1.7855771851805774e-12,3.1894979106437627e-16,2.4261131564708522e-16,1.3624807021325343e-09,2.491715301007212e-32,1.5731304445364267e-12,9.7685306638909285e-22,2.5685518326563644e-17,6.4106431211617615e-27,8.0132298639934162e-29,7.1813315417662913e-14,1.6476431013292403e-25,0.00027859971564839361,1.371512781622825e-05,2.1551195232821119e-09,7.7033329269977483e-12,7.4876161588650563e-17,1.1804000161655658e-08,1.49217130584937e-13,9.6539583400574486e-13,2.071330587982325e-09,7.0503663079575841e-17,1.4331530499008854e-13,1.4606858212096345e-18
7.185469940980344e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33727100891468703,0.1183873402734171,0.022814608745194306,3.1198171087637836e-29,1.2382612124843238e-14,1.673730189695405e-14,1.8819619271972515e-12,3.2815918566862627e-16,2.5206787340558437e-16,1.3929628015793628e-09,2.7518873075910368e-32,1.597931153206049e-12,1.0381001415824884e-21,2.6799036426691321e-17,6.7842053581507693e-27,8.5773260466165655e-29,7.4425910235238268e-14,1.7793472210882065e-25,0.00028262007734646964,1.391788557166821e-05,2.1654173024056506e-09,7.8837191228797101e-12,7.6641188193378951e-17,1.2030302766103983e-08,1.4993017770550033e-13,1.0040767867783817e-12,2.1176370173961861e-09,7.3150404289841052e-17,1.4766418776114022e-13,1.5398937170628556e-18
