Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),H2OX(23)
6.768620861216175e-08,0.09977366400000001,0.80000000000000004,0.0,0.27928974959442304,0.095818737867749859,0.097072986151380936,6.3070397997519775e-13,4.4271292034091999e-11,2.1526575863047013e-06,5.4851017482239913e-08,1.0009661090096101e-20,5.7318844790741627e-17,2.8044775699179829e-12,5.5157441676642988e-37,3.0180145196817595e-10,1.4054268921172856e-25,3.8825351685530702e-21,2.5973533670178222e-20,1.9480092397281912e-24,2.1023859661398545e-15,2.934667582017671e-28,0.0041753244951435297,0.0058532565940820945,7.7504947281045673e-11,3.4318206621899125e-10,1.9385731968525557e-05,2.3148545065499193e-15,6.4097038701396756e-09,5.1604320274494814e-06,7.15863388957313e-07,2.6058540880175157e-08,1.9867087936436736e-16,2.6171285370532226e-14,6.1801874145180364e-15
6.788769246025962e-08,0.09977366400000001,0.80000000000000004,0.0,0.2792727278275165,0.0958185131588946,0.097064625448619601,6.3972194859454586e-13,4.4853177267215182e-11,2.1792813590317284e-06,5.5436237292129786e-08,1.0096141902263986e-20,5.7980396841812681e-17,2.8308169556163044e-12,5.6990517497301993e-37,3.0398880461387918e-10,1.4353498611314418e-25,3.9350266991847641e-21,2.6391631794358196e-20,1.9749510118411937e-24,2.1246060282702899e-15,3.003468760772222e-28,0.004175515105605463,0.0058699714876223261,7.7723610373537504e-11,3.456457999770144e-10,1.9468149064073555e-05,2.3261944173640576e-15,6.4716719372353562e-09,5.1879592799490381e-06,7.2178708753027616e-07,2.6388747789259875e-08,2.0089913544089885e-16,2.6501652046931948e-14,6.2451762644696655e-15
6.80891763083575e-08,0.09977366400000001,0.80000000000000004,0.0,0.27925571588176679,0.095818294687113711,0.097056266484636014,6.4884086852563088e-13,4.5440866371146424e-11,2.2061252302453789e-06,5.6025792728307351e-08,1.0183111786634537e-20,5.8648096022502609e-17,2.8573312821896869e-12,5.8880132382958497e-37,3.0618318354760277e-10,1.4658365896247022e-25,3.9880431912014858e-21,2.6814986589245899e-20,2.0021797874699122e-24,2.1469804754298952e-15,3.0737330223634918e-28,0.0041756993850195255,0.0058866828688987852,7.7942231538269359e-11,3.4811669370339552e-10,1.9550495857063835e-05,2.337591269617075e-15,6.5339883137164466e-09,5.2155454623595073e-06,7.2774114553902361e-07,2.672176727592636e-08,2.0314539993581689e-16,2.6834922699073175e-14,6.3106582031488292e-15
6.829066015645537e-08,0.09977366400000001,0.80000000000000004,0.0,0.27923871366295949,0.095818082358633122,0.097047909258457979,6.5806155383194207e-13,4.6034395742763974e-11,2.233189845269594e-06,5.6619700972162938e-08,1.0270572047014955e-20,5.9321982399282735e-17,2.8840210451561081e-12,6.082788356879911e-37,3.083845608846033e-10,1.4968961260197449e-25,4.0415878288241699e-21,2.7243644019216041e-20,2.0296976913119881e-24,2.1695096990357079e-15,3.1454878939171166e-28,0.0041758774271886583,0.0059033907397841815,7.8160810765927068e-11,3.5059470997477721e-10,1.9632770923578299e-05,2.3490452936361587e-15,6.5966530137976941e-09,5.2431904739325135e-06,7.3372561761935401e-07,2.7057608132372672e-08,2.0540976053760394e-16,2.7171109662423288e-14,6.3766352251890137e-15
6.849214400455325e-08,0.09977366400000001,0.80000000000000004,0.0,0.2792217210782581,0.095817876081059267,0.097039553769119158,6.6738482252826658e-13,4.6633801809616087e-11,2.2604758422047851e-06,5.7217979201894452e-08,1.0358523986744984e-20,6.0002096144296071e-17,2.9108867373384591e-12,6.2835408898194755e-37,3.1059290859833697e-10,1.5285376347449448e-25,4.0956637990967181e-21,2.7677650241989672e-20,2.0575068564917971e-24,2.1921940877323971e-15,3.2187613436687063e-28,0.0041760493245353875,0.0059200951021393623,7.837934804730031e-11,3.5307981133876268e-10,1.971497285433632e-05,2.3605567178134626e-15,6.6596660429988872e-09,5.270894214081478e-06,7.3974055825502176e-07,2.7396279055731875e-08,2.0769230505616624e-16,2.7510225235040575e-14,6.4431093209537108e-15
6.869362785265112e-08,0.09977366400000001,0.80000000000000004,0.0,0.27920473803618301,0.095817675763358617,0.09703120001565925,6.7681149658609705e-13,4.723912102868473e-11,2.2879838519095189e-06,5.7820644592365779e-08,1.0446968908700124e-20,6.0688477534687357e-17,2.9379288488541246e-12,6.4904387729057254e-37,3.1280819852302639e-10,1.5607703972671637e-25,4.150274291813978e-21,2.8117051608040621e-20,2.085609424558931e-24,2.2150340273921143e-15,3.2935817866081467e-28,0.0041762151681221521,0.0059367959578134795,7.8597843373284258e-11,3.5557196031842156e-10,1.9797100254732335e-05,2.3721257685994584e-15,6.7230273982403268e-09,5.2986565823814308e-06,7.4578602177806671e-07,2.7737788647735129e-08,2.0999312142227513e-16,2.7852281677451685e-14,6.5100824765032753e-15
6.8895111700749e-08,0.09977366400000001,0.80000000000000004,0.0,0.27918776444659177,0.095817481315837727,0.097022847997123796,6.8634240193900996e-13,4.7850389885157592e-11,2.3157144979833647e-06,5.8427714314966237e-08,1.0535908115294868e-20,6.1381166951931464e-17,2.9651478671047983e-12,6.7036541857281081e-37,3.1503040235622425e-10,1.5936038131280638e-25,4.2054224994503882e-21,2.8561894660000214e-20,2.1140075454866026e-24,2.2380299011146413e-15,3.3699780901740153e-28,0.0041763750476713161,0.0059534933086441673,7.8816296734881228e-11,3.5807111941676458e-10,1.9879151744871016e-05,2.3837526704968097e-15,6.7867370679388835e-09,5.3264774785688127e-06,7.5186206236914254e-07,2.8082145414390722e-08,2.1231229768701111e-16,2.8197291212538579e-14,6.5775566735633693e-15
6.909659554884687e-08,0.09977366400000001,0.80000000000000004,0.0,0.27917080022065899,0.095817292650123509,0.097014497712564013,6.9597836848802224e-13,4.8467644891208669e-11,2.343668396750917e-06,5.9039205537470727e-08,1.0625342908485962e-20,6.2080204881159253e-17,2.9925442767665215e-12,6.9233636457523685e-37,3.1725949166137634e-10,1.6270474009838995e-25,4.2611116170892931e-21,2.9012226132060418e-20,2.1427033776699853e-24,2.2611820892278407e-15,3.4479795799982815e-28,0.0041765290515848848,0.0059701871564577002,7.9034708123202324e-11,3.6057725112118378e-10,1.9961125959600058e-05,2.3954376460546938e-15,6.8507950321046245e-09,5.3543568025412639e-06,7.579687340578449e-07,2.842935776567898e-08,2.1464992202120912e-16,2.8545266025434973e-14,6.6455338894948157e-15
6.929807939694474e-08,0.09977366400000001,0.80000000000000004,0.0,0.27915384527085668,0.095817109679143794,0.097006149161036878,7.057202301069219e-13,4.9090922584787953e-11,2.3718461572469757e-06,5.9655135423901014e-08,1.0715274589775643e-20,6.2785631910481808e-17,3.0201185597799509e-12,7.1497481041580366e-37,3.1949543787038276e-10,1.6611107996487381e-25,4.3173448423529588e-21,2.946809294937564e-20,2.1716990879244868e-24,2.284490969288406e-15,3.527616045701452e-28,0.0041766772669639546,0.0059868775030691608,7.9253077529468885e-11,3.630903179078597e-10,2.0043021548540619e-05,2.4071809158636382e-15,6.9152012624380252e-09,5.3822944543574366e-06,7.6410609072303832e-07,2.8779434015263086e-08,2.1700608271490412e-16,2.8896218263431934e-14,6.714016097264946e-15
6.949956324504262e-08,0.09977366400000001,0.80000000000000004,0.0,0.2791368995109349,0.095816932317108194,0.096997802341604877,7.1556882464757247e-13,4.9720259528419808e-11,2.4002483812028889e-06,6.027552113438764e-08,1.080570446021495e-20,6.3497488730312563e-17,3.0478711953408502e-12,7.3829930434612199e-37,3.2173821228615723e-10,1.6958037691410703e-25,4.3741253753332599e-21,2.9929542227463113e-20,2.2009968514839477e-24,2.3079569160829075e-15,3.608917746738339e-28,0.0041768197796278423,0.006003564350282601,7.9471404945014023e-11,3.6561028224613662e-10,2.0124837176115469e-05,2.4189826985508491e-15,6.9799557224277229e-09,5.4102903342367859e-06,7.702741860931819e-07,2.9132382380215565e-08,2.1938086817678092e-16,2.9250160035893302e-14,6.7830052654203317e-15
6.970104709314049e-08,0.09977366400000001,0.80000000000000004,0.0,0.27911996285590296,0.095816760479489227,0.096989457253336089,7.2552499394519309e-13,5.0355692308010882e-11,2.4288756630340449e-06,6.0900379825033048e-08,1.0896633820407009e-20,6.4215816132687423e-17,3.0758026598908096e-12,7.6232885769487937e-37,3.2398778608518341e-10,1.7311361917337656e-25,4.4314564185230657e-21,3.0396621271602377e-20,2.2305988519987764e-24,2.331580301629125e-15,3.6919154182946059e-28,0.0041769566741329594,0.0060202476998911965,7.9689690361283902e-11,3.6813710660285895e-10,2.0206571521574728e-05,2.4308432107759923e-15,7.0450583674487306e-09,5.4383443425593689e-06,7.7647307374665663e-07,2.9488210980760653e-08,2.2177436693362317e-16,2.9607103414179823e-14,6.8525033580610527e-15
