Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50),CO2X(24),CH4OX(57),HOCOX(184),COX(47)
0.000555836494154092,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12759276139887937,0.037366634870979069,0.0060950882142888577,0.0047280658499030057,0.11487749221931978,0.0011301491967939691,1.1458556484785944e-08,4.1643042006137191e-15,7.143057957975633e-19,3.5311022135135218e-11,2.4312222120589415e-25,9.7723467287000926e-14,2.1822155366025721e-20,3.6582834342831064e-08,1.6293489860085858e-22,6.8972830384124115e-24,2.4609945075271822e-10,1.5011681914932046e-20,0.00091296689829083687,1.5895349431669723e-07,1.4161780704144858e-10,0.00016205862626834407,3.0887922567207936e-11,0.00023304962108252358,0.00051068485954095042,2.9315234954217895e-09,0.0072274269878931261,8.0902995333295756e-06,0.056248528992624794,4.688151031984556e-09,1.2840811959530975e-08,3.1196491670949275e-09,9.5753313139112401e-14,9.6548744865401993e-12
0.000556533412186358,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12756164157863845,0.037334015169743176,0.0060466414649534761,0.004731902968265948,0.11493712540107794,0.0011350932031364452,1.1466977274670354e-08,4.1646943912953264e-15,7.16535908424626e-19,3.5150514904725837e-11,2.4335069036912652e-25,9.7937709851964716e-14,2.1820362757691274e-20,3.6588096066843123e-08,1.6341165691692972e-22,6.909178279459061e-24,2.4513003386892493e-10,1.5044079834634692e-20,0.00091194742196327419,1.5825816255290782e-07,1.4152452595022374e-10,0.00016237498707831734,3.1094278196507948e-11,0.00023409237985941566,0.0005118455649541474,2.9189652187772431e-09,0.0072294151758695632,8.1237095269848476e-06,0.056276127555692348,4.7007542122588022e-09,1.2846824184259287e-08,3.119337155398689e-09,9.5413169759479823e-14,9.6596132269572508e-12
0.000557230330218624,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12753055649233044,0.037301439508358555,0.0059983077025959853,0.0047357250898055854,0.11499662254925221,0.0011400833127273326,1.1475388548546964e-08,4.1650812568554277e-15,7.1877671158199125e-19,3.4989905804366684e-11,2.4357809903054797e-25,9.8153479554815936e-14,2.1818452774127366e-20,3.6593318694607301e-08,1.6389134900998092e-22,6.9210982220147001e-24,2.4415852453120894e-10,1.5076474989448966e-20,0.0009109296580429785,1.5756205259598956e-07,1.4143232287536466e-10,0.00016269375738970753,3.1303146066040676e-11,0.00023514578019131262,0.00051301640477052453,2.9063905398187265e-09,0.0072313949493588341,8.1574343472027375e-06,0.056303674587379504,4.7134367371982501e-09,1.2852791889108462e-08,3.1190224414715435e-09,9.5071808204004335e-14,9.664343124286632e-12
0.00055792724825089,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12749950601129265,0.037268907800834868,0.0059500872582038712,0.0047395321717475982,0.11505598323328252,0.0011451200772211543,1.1483790279647284e-08,4.1654648169078092e-15,7.2102830480485629e-19,3.4829193003616011e-11,2.4380444548193892e-25,9.8370790185629836e-14,2.1816425272685429e-20,3.6598502289296231e-08,1.6437400220473977e-22,6.9330431286751527e-24,2.4318490771107341e-10,1.5108867204970845e-20,0.00090991360207563581,1.5686515541923991e-07,1.4134121197466788e-10,0.00016301495843523917,3.1514565352706894e-11,0.00023620996308442487,0.00051419749200874514,2.8937992856044826e-09,0.007233366283309962,8.1914777197889371e-06,0.056331169966879605,4.7261993418151441e-09,1.2858714967995626e-08,3.118705030353723e-09,9.4729222434322283e-14,9.6690641578815384e-12
0.0005586241662831559,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12746849000717231,0.037236419961440718,0.0059019804698440259,0.0047433241710838382,0.11511520701346929,0.0011502040561036249,1.1492182440385998e-08,4.1658450911474098e-15,7.2329078883124379e-19,3.466837465960257e-11,2.4402972801869482e-25,9.8589655678655161e-14,2.1814280109323187e-20,3.6603646913702892e-08,1.6485964410643729e-22,6.9450132656194316e-24,2.4220916826305312e-10,1.5141256306583494e-20,0.00090889924962246995,1.5616746193454659e-07,1.4125120772403384e-10,0.00016333861166895546,3.1728575970306085e-11,0.00023728507185596983,0.00051538894132824602,2.8811912819963243e-09,0.0072353291521127534,8.2258434231264059e-06,0.056358613569393624,4.739042768568422e-09,1.2864593314094541e-08,3.1183849270482527e-09,9.4385406356137411e-14,9.6737763064115039e-12
0.0005592513925121954,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1274406049753963,0.037207218342587486,0.0058587818214315768,0.004746724039122103,0.11516839099196594,0.0011548204742229408,1.1499727178922195e-08,4.1661845449384927e-15,7.2533642033464144e-19,3.4523546377286809e-11,2.4423157124878769e-25,9.8787975663677054e-14,2.1812248741169331e-20,3.6608243807669686e-08,1.6529930020638602e-22,6.9558081836991362e-24,2.4132917529544361e-10,1.5170403691148564e-20,0.00090798778526307675,1.5553884937833082e-07,1.4117116231113176e-10,0.00016363201411250449,3.192343470955561e-11,0.00023826213172588857,0.00051647020140544451,2.8698296128304751e-09,0.0072370884747096085,8.2570513147715635e-06,0.056383268435914714,4.7506715752868462e-09,1.2869845490122783e-08,3.1180945363579787e-09,9.4074914878461553e-14,9.6780096251680643e-12
0.0005597673403842347,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12741768791338245,0.037183224023685311,0.0058233165947567146,0.004749511518296232,0.11521205578393991,0.0011586471858783655,1.1505927536228364e-08,4.1664618021728163e-15,7.2702585702146423e-19,3.4404346406134824e-11,2.4439695687457005e-25,9.8952070973059854e-14,2.1810506158082233e-20,3.6612001558343943e-08,1.6566280152692316e-22,6.9647035621860276e-24,2.4060399888095585e-10,1.5194377851346235e-20,0.00090723905632675327,1.5502126732387838e-07,1.4110600672717119e-10,0.00016387487637887512,3.2085342275836728e-11,0.00023907264658749517,0.00051736605439901199,2.8604732889530616e-09,0.0072385305002761642,8.2829225449653232e-06,0.056403517613116842,4.7602871944058824e-09,1.2874138577278362e-08,3.117854035757634e-09,9.3818754798231205e-14,9.6814864763741071e-12
0.000560283288256274,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12739478956273964,0.037159253624873573,0.0057879141694628768,0.0047522906680560612,0.11525564488017558,0.0011625006056591191,1.1512122606043191e-08,4.1667372872249759e-15,7.2872141179113582e-19,3.428508588831406e-11,2.4456175692676119e-25,9.9117039027399267e-14,2.1808698874062006e-20,3.6615738039850257e-08,1.6602798160679571e-22,6.9736131638525339e-24,2.3987763684671428e-10,1.5218350051598776e-20,0.00090649125467865365,1.5450323550649415e-07,1.4104147949283022e-10,0.00016411911428852884,3.2248729863548224e-11,0.00023988936337998392,0.0005182677570263768,2.8511075297365687e-09,0.0072399678476637464,8.3089760484416573e-06,0.056423738220795182,4.7699482051607202e-09,1.287840699048185e-08,3.1176120667516347e-09,9.3561911434032328e-14,9.684958425103376e-12
0.0005607992361283133,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12737190987183458,0.037135307111731145,0.005752574693162405,0.0047550614706104947,0.11529915808879759,0.0011663809721356188,1.1518312375960508e-08,4.1670110082107306e-15,7.3042312728761146e-19,3.4165764058056855e-11,2.4472597071871341e-25,9.928288569093575e-14,2.1806826828627791e-20,3.6619453277125643e-08,1.6639485205570072e-22,6.9825371020263007e-24,2.3915008287396319e-10,1.5242320220743335e-20,0.00090574437853966727,1.539847501373788e-07,1.4097758696011322e-10,0.00016436473686957495,3.2413614769983936e-11,0.00024071234369161301,0.00051917535824019465,2.8417322625609222e-09,0.0072414005056587218,8.3352134358629732e-06,0.056443930202399843,4.7796549196651657e-09,1.2882650685286109e-08,3.117368631317333e-09,9.3304382223368235e-14,9.6884254616885871e-12
0.0005613151840003526,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12734904878912914,0.037111384449913375,0.0057172983157420133,0.0047578239080953398,0.11534259521499998,0.0011702885263966763,1.1524496833307985e-08,4.1672829732738749e-15,7.3213104653907436e-19,3.4046380145801374e-11,2.4488959756481112e-25,9.9449616873296577e-14,2.180488996086007e-20,3.6623147294992519e-08,1.6676342457132135e-22,6.9914754912029611e-24,2.3842133060508657e-10,1.5266288287550342e-20,0.00090499842613528728,1.534658074221439e-07,1.4091433558706133e-10,0.00016461175321962114,3.2580014535535179e-11,0.00024154164986482467,0.00052008890752432049,2.8323474146866452e-09,0.0072428284628688359,8.3616363347905244e-06,0.056464093500087617,4.7894076523663751e-09,1.2886869617041331e-08,3.1171237314210276e-09,9.3046164596239552e-14,9.6918875762410399e-12
0.0005617795370851879,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12732848968218638,0.03708987441883544,0.0056856036513408441,0.0047603029348731469,0.11538162341471883,0.0011738287720998327,1.1530058291982344e-08,4.1675262472708189e-15,7.3367351395150366e-19,3.3938880905396363e-11,2.4503635932175703e-25,9.9600436122099509e-14,2.1803091306067651e-20,3.6626453788901621e-08,1.6709660484198748e-22,6.9995324926542779e-24,2.3776442373517439e-10,1.5287857691252669e-20,0.00090432785730150704,1.5299836479656871e-07,1.4085796296739671e-10,0.00016483526718257438,3.2731084225221046e-11,0.00024229348617450141,0.00052091622881202115,2.8238927996935113e-09,0.0072441095956259308,8.3855769151136803e-06,0.056482215894394873,4.7982247191341805e-09,1.2890645446125481e-08,3.1169020710155931e-09,9.2813177998078076e-14,9.6949992626464911e-12
0.0005622438901700233,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12730794556878169,0.03706838365464294,0.0056539603328293383,0.0047627751582880115,0.11542058968127533,0.001177391416615438,1.153561542737105e-08,4.1677681115678143e-15,7.3522107348992814e-19,3.383133018535478e-11,2.4518264459966268e-25,9.9751981027518088e-14,2.1801240050446383e-20,3.6629743133036787e-08,1.6743118198647273e-22,7.0076013782656279e-24,2.3710653637881283e-10,1.530942528228987e-20,0.00090365803397198397,1.525305458335932e-07,1.4080211986691404e-10,0.0001650599242551405,3.2883408496291349e-11,0.00024305054408126057,0.00052174844539021412,2.8154303114680235e-09,0.0072453869028132863,8.4096703026234215e-06,0.056500314962791114,4.8070795497946121e-09,1.289440114789885e-08,3.1166792273976072e-09,9.2579629785264449e-14,9.6981069464870451e-12
