Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),H2OX(23)
4.096895068851945e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302683433,0.11866996586474642,0.022821567689082424,0.0,1.699323339304992e-35,1.7367294878032232e-26,0.0,4.1332530086025116e-34,0.0,4.1679034912468482e-17,6.3070306279721188e-73,4.1659558555309019e-17,4.0646789785938598e-49,6.9706580874202906e-41,0.0,0.0,3.9575482680934765e-34,7.7007740994854471e-57,1.6521580800264893e-10,7.9437230140378666e-12,3.0619207133704671e-15,1.2459650244510918e-22,3.0619400651048974e-15,3.8976963450362095e-35,2.2416989822053546e-43,8.5087657100682655e-27,1.4862277355769088e-31
6.145342630410582e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756294025148,0.11866996578213695,0.022821567687096492,0.0,6.1179953576503054e-35,3.6905502753585532e-26,0.0,1.2270553852004873e-33,0.0,6.2530725171427469e-17,3.580908537437645e-72,6.2489337989719046e-17,1.5377464054187861e-48,2.5987982383354446e-40,0.0,0.0,1.101212045728327e-33,3.5923859500069785e-56,2.4782371112891383e-10,1.1915584569625519e-11,4.5928690012593527e-15,2.5563213374422734e-22,4.5929101327529927e-15,1.1144975333401821e-34,8.4807789959882793e-43,1.808362399824464e-26,4.135380725039749e-31
1.0242237753527855e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756276708583,0.11866996561691805,0.022821567683124631,0.0,4.370596949374855e-34,1.0203286731565396e-25,0.0,5.7477200389142675e-33,0.0,1.0426331940581902e-16,9.6323101630466218e-71,1.0414889657259146e-16,1.2135918450976885e-47,1.9565122394243776e-39,0.0,0.0,4.6842682099387262e-33,4.8139791380380111e-55,4.1303951265526615e-10,1.9859307671136616e-11,7.6547365636056529e-15,6.4918486144060466e-22,7.6548503370997577e-15,5.121816254210244e-34,6.6930429065555837e-42,5.001370094848306e-26,1.7589060178280813e-30
1.3929443364333403e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756261123677,0.11866996546822103,0.022821567679549955,0.0,1.1640567685550863e-33,1.816903146828097e-25,0.0,1.3263354267347151e-32,0.0,1.4184625157946999e-16,4.1837743182192338e-70,1.4164249906620068e-16,3.4057159306032747e-47,5.4561323531808711e-39,0.0,0.0,1.0108913463263276e-32,1.5977189692747189e-54,5.617337302113841e-10,2.7008658454706068e-11,1.0410393934136037e-14,1.093953956753432e-21,1.0410596592420531e-14,1.1529156574532283e-33,1.8782757484707823e-41,8.9080593690495308e-26,3.7955969117215429e-30
1.7616648975138948e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756245538772,0.11866996531952402,0.02282156767597528,0.0,2.529368076882874e-33,2.8362115847911545e-25,0.0,2.553762433229287e-32,0.0,1.7945416083784934e-16,1.2669258903085653e-69,1.7913610131532656e-16,7.7975480212116321e-47,1.2034039368425054e-38,0.0,0.0,1.831122706276234e-32,4.2930693965127577e-54,7.1042794372665165e-10,3.4158009230045768e-11,1.3166026498824024e-14,1.6188248593795131e-21,1.3166342939095995e-14,2.1790855393264091e-33,4.3004010131748457e-41,1.3908915449488688e-25,6.8749012838571649e-30
2.1303854585944494e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756229953866,0.11866996517082701,0.022821567672400605,0.0,4.7079906994261192e-33,4.0659158896505907e-25,0.0,4.3419957679738252e-32,0.0,2.1708566340267616e-16,3.2899119171530612e-69,2.1662970333351202e-16,1.5205615000636441e-46,2.2896990189455885e-38,0.0,0.0,2.9446293690774801e-32,9.4972522870952812e-54,8.5912215342490771e-10,4.130735999762179e-11,1.5921635631962068e-14,2.2085147822227196e-21,1.59220893829074e-14,3.6422586357751462e-33,8.3859999928082375e-41,1.9943964062280172e-25,1.1054891655886601e-29
2.867826580755559e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756198784049,0.11866996487343302,0.022821567665251254,0.0,1.1586495119218146e-32,7.005128522633955e-25,0.0,9.600079814789436e-32,0.0,2.9240247206464061e-16,1.4561965095174004e-68,2.916169068432276e-16,4.0369925144644948e-46,5.9569282648106425e-38,0.0,0.0,5.9154366986514881e-32,2.9881115958815222e-53,1.1565105641167952e-09,5.5606061515094987e-11,2.1432800463588538e-14,3.5093900119448553e-21,2.1433582518368682e-14,7.7758060487533912e-33,2.2264285617310538e-40,3.4374355472131363e-25,2.2205932957208623e-29
3.605267702916668e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756167614244,0.11866996457603904,0.022821567658101904,0.0,2.3482488031514179e-32,1.0722050212050908e-24,0.0,1.7985415682932765e-31,0.0,3.6780648952782853e-16,4.3837278875769195e-68,3.6660410949929345e-16,8.7567082465842941e-46,1.2574324207872334e-37,0.0,0.0,1.0173254815782214e-31,7.3910895318182876e-53,1.4538989606994557e-09,6.9904763003942022e-11,2.6943878684331609e-14,4.978619372157713e-21,2.6945076084129073e-14,1.413945785475607e-32,4.8293831072045459e-40,5.2632905513143968e-25,3.8185781474406405e-29
4.342708825077777e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756136444432,0.11866996427864507,0.022821567650952553,0.0,4.2550110179187586e-32,1.5269431389080527e-24,0.0,3.043825682243206e-31,0.0,4.4330362960040785e-16,1.1353368714916565e-67,4.4159131124380843e-16,1.6923237387510894e-45,2.3438387180257625e-37,0.0,0.0,1.5932846446547498e-31,1.6075817031071017e-52,1.7512873422158928e-09,8.4203464462265905e-11,3.2454864420938474e-14,6.5828749387807093e-21,3.2456570154121245e-14,2.3389421147984086e-32,9.3332775698285451e-40,7.4983673594351697e-25,5.9798900246403789e-29
5.817591069399996e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756074104816,0.11866996368385717,0.022821567636653852,0.0,1.1551667894105983e-31,2.6902369134132309e-24,0.0,7.2383929234189138e-31,0.0,5.9458251618438751e-16,7.0348460585824318e-67,5.915657119468209e-16,5.3250995826007963e-45,6.4980193575224027e-37,0.0,0.0,3.2551657617183358e-31,6.735090312826549e-52,2.3460640592011317e-09,1.1280086728580433e-10,4.3476553239110048e-14,1.0025151963473718e-20,4.3479560014142154e-14,5.3951968008523464e-32,2.9368268459308804e-39,1.3222072438379678e-24,1.2214376156896581e-28
