Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
2.058147886339715e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756233007168,0.11866996519995887,0.022821567673100941,0.0,5.2369065635691599e-39,3.794853547061942e-25,0.0,3.9151213378356807e-32,0.0,2.0970967075844235e-16,2.6746681366247206e-69,2.0928410773490436e-16,1.3245801398981042e-46,2.0145917390307395e-38,0.0,0.0,2.6811343216719657e-32,7.9926479725274398e-54,8.2999085550161321e-10,3.9906701079323289e-11,1.5381776190925839e-14,2.0848660618598482e-21,1.5382199668509072e-14,3.2841713460477719e-33,1.8613352460067961e-25
2.770583694964338e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756202894267,0.11866996491264899,0.022821567666194011,0.0,1.3640955355090887e-38,6.5381177255316627e-25,0.0,8.6562712269611506e-32,0.0,2.824618000203304e-16,1.1838467935609565e-68,2.8172860518148519e-16,3.5166757970525217e-46,5.2510237747098572e-38,0.0,0.0,5.3946554291872723e-32,2.5147200074530843e-53,1.1172953572008639e-09,5.3720559127602616e-11,2.0706077972838863e-14,3.3198096056093832e-21,2.0706807846879537e-14,7.011330608411721e-33,3.2080570552584739e-25
3.4830195035889606e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756172781366,0.1186699646253391,0.022821567659287081,0.0,2.8824625891827312e-38,1.0007243424968662e-24,0.0,1.6217229427480298e-31,0.0,3.5529532435060386e-16,3.5637941978453201e-68,3.5417310183132652e-16,7.6280828067889472e-46,1.110100920371452e-37,0.0,0.0,9.2906650698614178e-32,6.220157633330564e-53,1.4045998457315068e-09,6.7534417149157604e-11,2.6030298917740135e-14,4.718455768676425e-21,2.603141642029158e-14,1.2749342403374335e-32,4.912011948004375e-25
4.195455312213584e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756142668465,0.11866996433802923,0.022821567652380151,0.0,5.3788898785680016e-38,1.4251464356974627e-24,0.0,2.7445814985859712e-31,0.0,4.2821576335952106e-16,9.2296769821478465e-68,4.2661759763038747e-16,1.4742057417588559e-45,2.0721679216151238e-37,0.0,0.0,1.4569811726758601e-31,1.3529012218633728e-52,1.6919043202003456e-09,8.1348275142217849e-11,3.135443354387108e-14,6.2496271093007392e-21,3.1356025457821126e-14,2.1089899081791673e-32,6.997827345798919e-25
5.620326929462829e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756082442679,0.11866996376340953,0.022821567638566295,0.0,1.4953076674439778e-37,2.5108868996218421e-24,0.0,6.5267792144015458e-31,0.0,5.743222750744601e-16,5.7186907722206092e-67,5.7150658662822717e-16,4.6387691458685659e-45,5.7617654917289445e-37,0.0,0.0,2.9843832826277668e-31,5.668090967502283e-52,2.2665132261602449e-09,1.089759910414208e-10,4.2002438983739495e-14,9.5455706947748253e-21,4.2005245122825807e-14,4.8647700901255903e-32,1.2339106021729455e-24
7.045198546712075e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756022216894,0.11866996318878989,0.022821567624752438,0.0,3.2290773655505927e-37,3.9115045014518496e-24,0.0,1.274623308980798e-30,0.0,7.2078185338170758e-16,2.0713313345021521e-66,7.1639557216983269e-16,1.1143001144803895e-44,1.2442722148778617e-36,0.0,0.0,5.1648197352083444e-31,1.6590272407326194e-51,2.8411220749950833e-09,1.3660370682518543e-10,5.2650093777849805e-14,1.305993061721537e-20,5.2654466993232885e-14,9.3453045615966167e-32,1.9237487222294725e-24
9.894941781210567e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675590176534,0.11866996203955077,0.022821567597124722,0.0,1.0304859882483986e-36,7.6580002208620327e-24,0.0,3.5642033524095448e-30,0.0,1.0147608541489908e-15,1.8197098007766645e-65,1.0061735328774456e-15,4.4841898861414831e-44,3.9700385240959213e-36,0.0,0.0,1.1604113834233253e-30,9.7999087912191909e-51,3.9903396011756234e-09,1.9185913804658987e-10,7.394435078924819e-14,2.0330061936444187e-20,7.3952917768916522e-14,2.5704640531341746e-31,3.7728029578283051e-24
1.559442825020755e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755660862298,0.11866995974107322,0.02282156754186929,0.0,4.7137319442946693e-36,1.8932178743388364e-23,0.0,1.4342048608985971e-29,0.0,1.6069580028733589e-15,3.5451196125299421e-64,1.5857294127887552e-15,3.0337738868553849e-43,1.8151589542590121e-35,0.0,0.0,3.2982818698207244e-30,1.1586139734445352e-49,6.2887739675550242e-09,3.0236999910545448e-10,1.1652865473523716e-13,3.518273125977308e-20,1.1654984811386362e-13,1.0228360164228958e-30,9.3609327676821988e-24
2.6993401188201512e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755179056491,0.11866995514412089,0.022821567431358433,0.0,2.7754010627413269e-35,5.6605917313934997e-23,0.0,7.6981140249536753e-29,0.0,2.8083064303853959e-15,1.1988155163557105e-62,2.7448410065893031e-15,3.0237130985834411e-42,1.0680849650125005e-34,0.0,0.0,1.1005253715999987e-29,2.2054476474102611e-48,1.0885639956281688e-08,5.2339171568850603e-10,2.0168042478310192e-13,6.5048607086949495e-20,2.0174382507300456e-13,5.4621812282923735e-30,2.8198117703505003e-23
4.9791347064189447e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756754215445983,0.11866994595022717,0.022821567210336725,0.0,1.8898631124491201e-34,1.9245552427191761e-22,0.0,4.9637860765883596e-28,0.0,5.2787952201245854e-15,5.576145989689389e-61,5.0630635300998225e-15,3.7812555823257907e-41,7.2681651948268929e-34,0.0,0.0,4.016328526950031e-29,5.4255575906439759e-47,2.0079360957572351e-08,9.6543512671619176e-10,3.7191663808900134e-13,1.2475918288433947e-19,3.7213224473176674e-13,3.5170102646429334e-29,9.7317886826964271e-23
9.53872388161653e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756752288229408,0.11866992756248367,0.022821566768293361,0.0,1.3913567182472068e-33,7.0616662727675406e-22,0.0,3.5481280392763945e-27,0.0,1.0490742347980863e-14,3.111856505349487e-59,9.6995059207562617e-15,5.3337641952480278e-40,5.3469189218584836e-33,0.0,0.0,1.5345722404106635e-28,1.520337440424386e-45,3.8466759055495033e-08,1.8495218602179737e-09,7.121199557294165e-13,2.4410599372559558e-19,7.1291094700549267e-13,2.514920846249209e-28,3.6774684390710337e-22
1.8657902232011701e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756748433813949,0.11866989078717224,0.022821565884206804,0.0,1.067027854553422e-32,2.7016590583470497e-21,0.0,2.6765111301982663e-26,0.0,2.1996926817546682e-14,1.95183859849072e-57,1.8972380076639441e-14,7.9978068573565285e-39,4.0959289814833254e-32,0.0,0.0,5.9996212342784592e-28,4.5456666490826862e-44,7.5241379633419963e-08,3.6176949730078683e-09,1.3914517430511223e-12,4.8278524457390406e-19,1.3944758030912672e-12,1.9004408646809937e-27,1.4885339558448694e-21
2.7777080582406873e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756744579422093,0.11866985401209497,0.022821565000120482,0.0,3.3494653169099257e-32,5.987941050467625e-21,0.0,8.3529384282503395e-26,0.0,3.4944094350577816e-14,1.3962163508115737e-56,2.8245240065324185e-14,3.3340942663499166e-38,1.2847009714171278e-31,0.0,0.0,1.3397062595676378e-27,2.4171110942292438e-43,1.1201576605511093e-07,5.3858676135146011e-09,2.0693524702437899e-12,7.2148441554098604e-19,2.0760505945171288e-12,5.9396720239062096e-27,3.4492526538530245e-21
3.6896258932802044e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756740725053841,0.11866981723725184,0.022821564116034396,0.0,7.598558513409418e-32,1.0565053389553486e-20,0.0,1.8876787978835697e-25,0.0,4.9329355898238381e-14,6.3083334290295637e-56,3.7518085886869058e-14,9.3438511663929986e-38,2.9121825942882206e-31,0.0,0.0,2.3727141986491825e-27,8.1609131096346827e-43,1.4878991832197333e-07,7.1540397817405068e-09,2.7458250262550517e-12,9.6020623800963407e-19,2.7576353212720994e-12,1.3442948314812583e-26,6.3429330561758731e-21
4.601543728319721e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756736870709203,0.11866978046264286,0.022821563231948547,0.0,1.444716397767291e-31,1.643303818581687e-20,0.0,3.5782267956656405e-25,0.0,6.5149730244149071e-14,2.1840764143600165e-55,4.6790917541335268e-14,2.113767670153286e-37,5.5326299442818955e-31,0.0,0.0,3.6990114450891233e-27,2.1589262402890395e-42,1.855638364354707e-07,8.9222114776881132e-09,3.4208723921964115e-12,1.1989493401012889e-18,3.4392299833485207e-12,2.552034652786383e-26,1.0265538581834882e-20
