Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),CH2X(27),HX(19),CHX(28),CX(26),OCX(25),CO2X(24)
1.4198014130447318e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33366315900416499,0.11503715558855292,0.022686150490914478,1.1007044544799602e-11,6.7944572933302987e-10,1.5594753691774124e-09,5.4523667562976718e-08,2.4121146224758937e-20,1.5468331865228829e-16,3.7624727381614415e-11,2.7818408884539275e-34,1.41479598648136e-10,1.6903862102530879e-23,2.7249396925226635e-16,7.2309811369005158e-22,5.1696538801256034e-23,6.7570562997048652e-10,6.8507522692759922e-26,0.0036325879887381639,0.00027076405919920679,3.9055699623406172e-11,5.1486545566189861e-09,1.4709911770592843e-13,2.7045549183741135e-15,8.7911872133958252e-07,1.79511894922224e-11,1.5852794621674625e-07,9.2953919874694403e-09,2.6639779646161072e-14
1.4349401595894209e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33363775824455144,0.11501461528484053,0.022684725258927951,1.151231329553095e-11,7.1454489941332971e-10,1.6246790703691217e-09,5.6399210782736134e-08,2.4669703988623979e-20,1.5842504557899363e-16,3.826976276864639e-11,2.9589891233966071e-34,1.4462885605947145e-10,1.7571926913351686e-23,2.8435326338299758e-16,7.5719648985457172e-22,5.4091604337855912e-23,7.0028326173568169e-10,7.1763566436912975e-26,0.0036551246967478149,0.00027361224055329382,3.9335676783049482e-11,5.2848066042183649e-09,1.5360301214573352e-13,2.7239579952423445e-15,8.9313380337027101e-07,1.8407315161199231e-11,1.6003599035332964e-07,9.505620041478294e-09,2.7531165556068742e-14
1.45007890613411e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33361259508138419,0.11499231197325559,0.022683300332948492,1.2034373045338422e-11,7.5113286336213515e-10,1.6919580837763332e-09,5.8314774346702984e-08,2.5226227914211161e-20,1.6223069022093854e-16,3.8926037838724695e-11,3.1462786806429004e-34,1.4782114400727743e-10,1.8263081417209891e-23,2.966115555198064e-16,7.9249623317660132e-22,5.656804937192489e-23,7.2550138566168038e-10,7.5147982444816484e-26,0.0036774243872147124,0.00027645976382639808,3.9615582104642855e-11,5.4232000154770704e-09,1.6035252050151951e-13,2.743356672413138e-15,9.0724045417227218e-07,1.8868864272395932e-11,1.6152775407797301e-07,9.7174900853502138e-09,2.8440115397912928e-14
1.465217652678799e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33358766702202697,0.11497024316459203,0.022681875710899909,1.257355163253307e-11,7.8925948134469756e-10,1.7613584975630562e-09,6.0270583984254767e-08,2.5790777567681368e-20,1.6610136666702193e-16,3.959383517111524e-11,3.344256155391827e-34,1.5105669451823908e-10,1.89781324325871e-23,3.0927846600364554e-16,8.2902512891849633e-22,5.9127579824948571e-23,7.5137027625423395e-10,7.8665208280005032e-26,0.0036994895493523343,0.00027930663290859511,3.9895416958100313e-11,5.5638496726863327e-09,1.6735523243306021e-13,2.7627510484175734e-15,9.2143842568806638e-07,1.9335772527729243e-11,1.6300304271946067e-07,9.9309630210728839e-09,2.9366662617538593e-14
1.4788425245690193e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33356543074331957,0.11495057970056065,0.022680593809218962,1.307372038727025e-11,8.2493119031424446e-10,1.825671231255289e-09,6.206540215415049e-08,2.6305783674092643e-20,1.6964152090270579e-16,4.0204941334944116e-11,3.5320495784431989e-34,1.5400587011592649e-10,1.9642802080936134e-23,3.210361203104531e-16,8.6297525288096308e-22,6.1503612466529087e-23,7.7521722535164811e-10,8.1948056688912494e-26,0.0037191497097927824,0.00028186825893539413,4.0147209188144456e-11,5.692375687196482e-09,1.7388058352459115e-13,2.7802023932857525e-15,9.3429447182447133e-07,1.976051936173385e-11,1.6431656310863989e-07,1.0124426701970444e-08,3.0215624323391264e-14
1.4924673964592397e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33354338112049303,0.11493110241090401,0.022679312150575739,1.3588261149552034e-11,8.6192869457036231e-10,1.8917745294007909e-09,6.38931464976756e-08,2.6827382820995895e-20,1.7323612757683921e-16,4.0825825015026909e-11,3.7294080201530275e-34,1.5699044237950773e-10,2.0328140352455886e-23,3.3313987824757518e-16,8.9796437806743587e-22,6.3949589419739122e-23,7.9960724576639258e-10,8.5345659178036973e-26,0.00373862367528934,0.00028442936097456165,4.0398946389368748e-11,5.8227519746729628e-09,1.8062310550022572e-13,2.7976504148583442e-15,9.4722409929064917e-07,2.0189508243714719e-11,1.6561646026943771e-07,1.0319128245271131e-08,3.1078879989963334e-14
1.50609226834946e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33352151639033412,0.11491180953484821,0.022678030733502275,1.4117413918954641e-11,9.0029094338474691e-10,1.9597032092691791e-09,6.5753962337370962e-08,2.7355618940157435e-20,1.7688605755308932e-16,4.1456701227056316e-11,3.9367944948634135e-34,1.600105775441187e-10,2.1034803313048989e-23,3.4559705090921468e-16,9.3401334373583036e-22,6.6466772247226566e-23,8.2454795609213907e-10,8.8861585247903271e-26,0.0037579132066210253,0.00028698994178777334,4.0650629520064295e-11,5.9549892054260468e-09,1.8758868658351429e-13,2.8150951806322823e-15,9.6022712093098201e-07,2.0622687524018907e-11,1.6690261208800452e-07,1.0515038898108565e-08,3.1956443468174786e-14
1.51971714023968e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33349983480631884,0.11489269932828991,0.022676749556544661,1.4661418896320965e-11,9.4005773171245265e-10,2.0294924741537386e-09,6.7647988931226521e-08,2.7890536136698628e-20,1.8059220075150621e-16,4.2097787863093587e-11,4.154694572924414e-34,1.6306644091550334e-10,2.1763470073588081e-23,3.5841504437277405e-16,9.7114317102163618e-22,6.9056427694668479e-23,8.5004701491036207e-10,9.2499517864329152e-26,0.0037770200478962307,0.00028955000411379049,4.0902259526576548e-11,6.0890979966464425e-09,1.9478335808765854e-13,2.8325367578235413e-15,9.7330334752489174e-07,2.1060007772504007e-11,1.6817490265172859e-07,1.0712129864520429e-08,3.2848325220977382e-14
1.5319795249408784e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33348047654048052,0.11487565489661559,0.022675596701391482,1.5163920659055051e-11,9.7708230375616679e-10,2.0939230196622977e-09,6.9381118279518804e-08,2.837771053232288e-20,1.8397654300924789e-16,4.2683678164633575e-11,4.3602141848918067e-34,1.6584740143898971e-10,2.2438663911505177e-23,3.702659382687835e-16,1.0055016718703861e-21,7.1450132647330789e-23,8.7347991762526188e-10,9.5881111403195267e-26,0.0037940614332419285,0.00029185361914597013,4.1128681869794566e-11,6.2114048157818461e-09,2.0145950245053988e-13,2.8482315182686442e-15,9.8513438362792352e-07,2.1457095873507098e-11,1.6930802195959319e-07,1.0890497081081818e-08,3.3663267092854764e-14
1.5442419096420766e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33346126397169662,0.11485875577959571,0.02267444403852549,1.5678822671080725e-11,1.0153077071008037e-09,2.1599156745521119e-09,7.1141349236726833e-08,2.8870364881304391e-20,1.8740783056684795e-16,4.3278180666857727e-11,4.5750504906724661e-34,1.6865755413957803e-10,2.3132779477882973e-23,3.8242070689669592e-16,1.0407684223497058e-21,7.390450078360039e-23,8.9737695708251915e-10,9.9367461692963988e-26,0.0038109574872879515,0.00029415681836832467,4.1355062596099184e-11,6.3352437996459693e-09,2.0833072290161772e-13,2.8639238094189332e-15,9.9702441989776356e-07,2.1857458318450721e-11,1.7042974894186698e-07,1.1069775987029089e-08,3.4489816017820218e-14
1.556504294343275e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33344219586080015,0.11484200073978922,0.02267329156691553,1.6206300243124798e-11,1.0547647558947736e-09,2.2274969056209709e-09,7.2928770774773549e-08,2.9368531722326848e-20,1.9088675277379333e-16,4.3881460243944847e-11,4.7996090456531638e-34,1.7149701757484716e-10,2.3846363048481143e-23,3.9488494828157426e-16,1.0769591201094041e-21,7.6420465412987748e-23,9.2174379832886493e-10,1.0296150567159415e-25,0.0038277094474788317,0.0002964596037307369,4.1581402372623193e-11,6.4606225664665938e-09,2.1540166797171291e-13,2.8796136757074556e-15,1.0089733140043834e-06,2.2261056901486504e-11,1.7154001186466995e-07,1.1249945567024432e-08,3.5327973060776266e-14
1.568766679044473e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33342327097918434,0.11482538855030335,0.022672139285539381,1.6746528685420576e-11,1.0954848484272471e-09,2.2966934338512148e-09,7.4743467924437898e-08,2.9872243724621152e-20,1.9441401211354528e-16,4.4493683691385008e-11,5.0343132499031772e-34,1.7436590968036078e-10,2.457997814283805e-23,4.0766432381077869e-16,1.1140895792444654e-21,7.8998962672995311e-23,9.4658613192938912e-10,1.066662651596808e-25,0.0038443185407107516,0.0002987619771686338,4.1807701844345941e-11,6.5875486906990183e-09,2.2267705605531888e-13,2.8953011753808795e-15,1.0209809221998302e-06,2.2667854267449955e-11,1.726387429811661e-07,1.1430984818717109e-08,3.6177737332999898e-14
1.5810290637456714e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33340448810871287,0.11480891799470364,0.022670987193383632,1.7299683277612214e-11,1.1374999741342246e-09,2.3675322345562876e-09,7.6585521789022405e-08,3.0381533692203619e-20,1.9799032435469514e-16,4.5115019733893059e-11,5.2796051626235217e-34,1.7726434776664735e-10,2.5334206068913654e-23,4.207645584733858e-16,1.1521757296284403e-21,8.164093139467632e-23,9.7190967379239975e-10,1.1048484955162298e-25,0.0038607859834215389,0.00030106394060310909,4.2033961656296286e-11,6.7160297057667772e-09,2.3016167269369227e-13,2.9109863549891585e-15,1.0330470993035785e-06,2.3077808641637407e-11,1.737258785129567e-07,1.1612872762211554e-08,3.7039106032737623e-14
1.5932914484468697e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33338584604163024,0.11479258786692474,0.022669835289443632,1.7865939239359994e-11,1.1808427205567171e-09,2.440040537500226e-09,7.845500955976665e-08,3.0896434568205929e-20,2.0161641870275839e-16,4.5745639033255407e-11,5.5359463570611248e-34,1.8019244851613469e-10,2.6109646484944986e-23,4.3419144109060025e-16,1.1912336162545526e-21,8.4347312968788407e-23,9.9772016499206316e-10,1.144204585975567e-25,0.0038771129816798145,0.00030336549594104202,4.2260182453484956e-11,6.8460731096114035e-09,2.3786041014263506e-13,2.9266692553046041e-15,1.0451716986738065e-06,2.3490879997880794e-11,1.7480135861846675e-07,1.179558844938856e-08,3.791207431776821e-14
1.604327594677948e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33336918757823863,0.11477800982918338,0.022668798735998738,1.8386916023495711e-11,1.2210137292034747e-09,2.50674814508876e-09,8.0161065202320195e-08,3.1364670026477976e-20,2.0492308095396153e-16,4.6321276206384078e-11,5.77649848337844e-34,1.8285319669714382e-10,2.6826190396859523e-23,4.4655975553076046e-16,1.2272299021446323e-21,8.6838909391226697e-23,1.0213707138928873e-09,1.1806528247370751e-25,0.0038916881886351677,0.00030543654838732109,4.2463748325876662e-11,6.9644541766211912e-09,2.449764487236998e-13,2.94078196656817e-15,1.0561336667618457e-06,2.386527748293976e-11,1.7575927901658055e-07,1.1960723007937956e-08,3.8707657892309094e-14
