Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
1.6317279968237058e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33363805042076633,0.11474046346247688,0.022821561764001696,0.0,3.5051490390500471e-24,1.9698430286213735e-11,0.0,2.3185426982316656e-18,0.0,1.6463609470356082e-09,2.7601241500764901e-35,1.6069640910999707e-09,3.3279054129379425e-26,8.107421042775996e-31,0.0,0.0,2.8900706118041719e-22,1.0130803470436843e-26,0.0039295009211274962,1.1858105221845699e-08
1.6476998685880418e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33361751652290533,0.11471992954780356,0.022821561764366616,0.0,3.6425269601960216e-24,2.0078986005665541e-11,0.0,2.3871550293020056e-18,0.0,1.6624434069257433e-09,2.9203774971314734e-35,1.6222854396884184e-09,3.4523489908236944e-26,8.5087979644524484e-31,0.0,0.0,2.9745607129328028e-22,1.0615903864073733e-26,0.0039500348197183278,1.1857375394014255e-08
1.6636717403523777e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3335972099057537,0.11469962291384696,0.022821561764727487,0.0,3.7838759112444586e-24,2.0463083736744235e-11,0.0,2.4571078241916138e-18,0.0,1.6785266141345074e-09,3.0882079559604592e-35,1.6376004515749214e-09,3.580118393343692e-26,8.9258657451262369e-31,0.0,0.0,3.0606617166441445e-22,1.1119049929774534e-26,0.0039703414375917533,1.1856653644308203e-08
1.6796436121167137e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33357712805232947,0.11467954104362509,0.022821561765084368,0.0,3.9292705436018234e-24,2.0850721469090762e-11,0.0,2.528414115167109e-18,0.0,1.6946105975843476e-09,3.2638930679850183e-35,1.6529091597026722e-09,3.7112668304090382e-26,9.3590773885140862e-31,0.0,0.0,3.1483881639382792e-22,1.1640721409533765e-26,0.0039904232917296412,1.1855939883240582e-08
1.6956154838810497e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33355726847355405,0.11465968144805881,0.022821561765437301,0.0,4.0787861699984629e-24,2.124189721364032e-11,0.0,2.6010869387915792e-18,0.0,1.710695385876447e-09,3.4477176032075444e-35,1.6682115966510092e-09,3.8458477685461991e-26,9.808894429869496e-31,0.0,0.0,3.2377545805688399e-22,1.2181405678273179e-26,0.004010282871211115,1.185523402245237e-08
1.7115873556453856e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33353762870794063,0.1146400416656618,0.02282156176578632,0.0,4.2324987638729833e-24,2.1636609002295061e-11,0.0,2.6751393359899157e-18,0.0,1.7267810072941936e-09,3.6399736716606497e-35,1.6835077946395413e-09,3.9839149283237266e-26,1.0275787012573028e-30,0.0,0.0,3.3287754771403951e-22,1.2741597780379736e-26,0.0040299226375224975,1.1854535974386147e-08
1.7275592274097216e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3335182063212897,0.11462061926223399,0.022821561766131482,0.0,4.3904849587629389e-24,2.2034854887601624e-11,0.0,2.7505843521131606e-18,0.0,1.7428674898066122e-09,3.8409608353513091e-35,1.698797785532227e-09,4.1255222818201198e-26,1.0760233964672828e-30,0.0,0.0,3.4214653492043591e-22,1.3321800465878319e-26,0.0040493450248638273,1.1853845652448558e-08
1.7435310991740575e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33349899890638435,0.11460141183055851,0.022821561766472823,0.0,4.5528220477017153e-24,2.243663294243338e-11,0.0,2.8274350370019066e-18,0.0,1.7589548610717611e-09,4.0509862206952762e-35,1.714081600841404e-09,4.2707240501321973e-26,1.1262722875376152e-30,0.0,0.0,3.5158386773534687e-22,1.3922524226244962e-26,0.0040685524404519315,1.1853162971245267e-08
1.7595029709383935e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33348000408269118,0.11458241699010202,0.022821561766810387,0.0,4.7195879826213986e-24,2.2841941259677338e-11,0.0,2.9057044450487355e-18,0.0,1.7750431484400921e-09,4.2703646314374724e-35,1.7293592717317758e-09,4.4195747009233191e-26,1.1783750171492588e-30,0.0,0.0,3.6119099273148257e-22,1.4544287329866379e-26,0.0040875472648201376,1.1852487846106929e-08
1.7754748427027294e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33346121949606433,0.11456363238671829,0.022821561767144213,0.0,4.8908613737614849e-24,2.3250777951925649e-11,0.0,2.9854056352597228e-18,0.0,1.7911323789577719e-09,4.4994186620540742e-35,1.7446308290243518e-09,4.5721289460108434e-26,1.2323821193829606e-30,0.0,0.0,3.7096935500415559e-22,1.5187615857151478e-26,0.0041063318521146319,1.1851820193202696e-08
1.7914467144670654e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33344264281845171,0.11454505569235521,0.022821561767474345,0.0,5.0667214890832656e-24,2.3663141151171622e-11,0.0,3.066551671315022e-18,0.0,1.8072225793699717e-09,4.7384788116321434e-35,1.7598963032003411e-09,4.7284417389922117e-26,1.2883450273541235e-30,0.0,0.0,3.8092039818030754e-22,1.5853043735300389e-26,0.0041249085303875213,1.185115993001757e-08
1.8074185862314014e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33342427174760558,0.11452668460476492,0.022821561767800824,0.0,5.2472482536897468e-24,2.4079029008510232e-11,0.0,3.1491556216285364e-18,0.0,1.8233137761241154e-09,4.9878835982227564e-35,1.775155724405005e-09,4.8885682729090256e-26,1.3463160808430359e-30,0.0,0.0,3.9104556442740002e-22,1.6541112772736471e-26,0.0041432796018866158,1.1850506974710349e-08
1.8233904579957373e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33340610400679599,0.11450851684721733,0.02282156176812369,0.0,5.4325222492509208e-24,2.4498439693843004e-11,0.0,3.2332305594066939e-18,0.0,1.8394059953731004e-09,5.247979673663605e-35,1.7904091224514637e-09,5.0525639779485481e-26,1.4063485339205442e-30,0.0,0.0,4.0134629446217275e-22,1.7252372693206764e-26,0.004161447343341995,1.1849861246071378e-08
1.8393623297600733e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33338813734452716,0.11449055016821667,0.02282156176844298,0.0,5.6226247134342862e-24,2.4921371395587243e-11,0.0,3.3187895627063374e-18,0.0,1.8554992629784775e-09,5.5191219388672278e-35,1.805656526824459e-09,5.2204845191820127e-26,1.4684965625692158e-30,0.0,0.0,4.1182402755926935e-22,1.798738116955616e-26,0.0041794140062493754,1.184922266437217e-08
1.8553342015244092e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33337036953425775,0.11447278234122142,0.022821561768758731,0.0,5.8176375393404226e-24,2.5347822320389522e-11,0.0,3.4058457144917375e-18,0.0,1.8715936045135979e-09,5.8016736595710018e-35,1.8208979666840762e-09,5.3923857943391874e-26,1.5328152723000632e-30,0.0,0.0,4.2248020155973314e-22,1.8746703857180475e-26,0.0041971818171503122,1.1848591150570876e-08
1.8713060732887452e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33335279837412329,0.11445521116436701,0.022821561769070995,0.0,6.0176432749435188e-24,2.5777790692843396e-11,0.0,3.4944121026907549e-18,0.0,1.8876890452667305e-09,6.0960065825452043e-35,1.836133470869423e-09,5.5683239316185842e-26,1.599360705764887e-30,0.0,0.0,4.3331625287937619e-22,1.9530914427163647e-26,0.004214752977909287,1.1847966625927876e-08
1.887277945053081e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33333542168666247,0.11443783446019203,0.0228215617693798,0.0,6.2227251225366989e-24,2.621127475521129e-11,0.0,3.5845018202501467e-18,0.0,1.9037856102441397e-09,6.402501052255468e-35,1.8513630679022639e-09,5.748355287532797e-26,1.6681898503642943e-30,0.0,0.0,4.443336165170214e-22,2.0340594599104088e-26,0.0042321296659877045,1.1847349013386853e-08
1.903249816817417e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3333182373185461,0.11442065007536716,0.022821561769685188,0.0,6.4329669381820047e-24,2.6648272767150387e-11,0.0,3.676127965190036e-18,0.0,1.9198833241731317e-09,6.721546127976069e-35,1.8665867859906182e-09,5.9325364447883864e-26,1.7393606458514519e-30,0.0,0.0,4.5553372606262205e-22,2.1176334173635164e-26,0.0042493140347148323,1.1846738236720464e-08
1.919221688581753e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33330124314030918,0.11440365588042739,0.022821561769987196,0.0,6.6484532311649252e-24,2.7088783005442721e-11,0.0,3.769303640657562e-18,0.0,1.9359822115050716e-09,7.0535397013505379e-35,1.8818046530323131e-09,6.120924210199756e-26,1.8129319919316245e-30,0.0,0.0,4.6691801370525783e-22,2.2038731064644691e-26,0.0042663082135557338,1.1846134219504029e-08
1.935193560346089e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33328443704608612,0.11438684976950682,0.022821561770285863,0.0,6.869269163453324e-24,2.7532803763729003e-11,0.0,3.8640419549797111e-18,0.0,1.9520822964183618e-09,7.39888861439617e-35,1.8970166966184959e-09,6.3135756126365211e-26,1.8889637558575589e-30,0.0,0.0,4.7848791024101239e-22,2.2928391331198369e-26,0.004283114308376198,1.1845536887194473e-08
1.951165432110425e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33326781695334834,0.114370229660077,0.022821561770581228,0.0,7.0955005491606524e-24,2.7980333352246616e-11,0.0,3.9603560217153478e-18,0.0,1.9681836028213977e-09,7.7580087779491179e-35,1.9122229440371113e-09,6.5105479010038123e-26,1.9675167800207675e-30,0.0,0.0,4.9024484508073127e-22,2.3845929209171765e-26,0.0042997344017047332,1.1844946166452129e-08
1.967137303874761e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33325138080264555,0.11435379349268754,0.022821561770873317,0.0,7.3272338540133153e-24,2.8431370097571276e-11,0.0,4.058258959706465e-18,0.0,1.9842861543554777e-09,8.1313252905467188e-35,1.9274234222763343e-09,6.7118985422549823e-26,2.048652889538751e-30,0.0,0.0,5.0219024625766423e-22,2.4791967142595635e-26,0.0043161705529916336,1.1844361983024966e-08
