Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20)
5.734974624710057e-09,0.09977366400000001,0.80000000000000004,0.0,0.28737324492002975,0.098529812158302796,0.099749903580848842,1.7139095681443997e-52,3.4891045150184729e-22,3.7337522751277666e-17,8.7647239686249193e-31,9.2020719308232135e-29,1.0153868034335079e-19,2.9483373927903348e-14,2.4079974228264687e-44,2.9408800072170858e-14,3.1241390245550235e-30,1.4887448560724068e-34,2.0736119687752992e-31,2.2036763723371177e-46,1.0118976990902741e-19,1.0789802381400978e-33,0.0014701878416677327,0.00050019283830240438
5.817507355502912e-09,0.09977366400000001,0.80000000000000004,0.0,0.28734977496984709,0.098512882114619699,0.099746633627598863,1.8670152752006029e-52,3.6410417897846334e-22,3.8411849343314525e-17,9.1480411627578498e-31,9.6038571591352521e-29,1.0447369391680632e-19,2.9905253945862279e-14,2.585842504888573e-44,2.9828534356765585e-14,3.2605299944528904e-30,1.5760351541942992e-34,2.1643560595964736e-31,2.3661527702757901e-46,1.0410958975575546e-19,1.1423166281310358e-33,0.0014871178853504256,0.0005067327448023658
5.900040086295767e-09,0.09977366400000001,0.80000000000000004,0.0,0.28732643345708708,0.098496055254351136,0.099743376301352896,2.0313439323034099e-52,3.7973046854168951e-22,3.950121227375527e-17,9.5423597590394925e-31,1.0017139183684114e-28,1.0745030627867373e-19,3.0327076867242085e-14,2.7740309246481228e-44,3.0248181513270584e-14,3.4008227361601069e-30,1.6671014942860166e-34,2.2577077861520297e-31,2.5380681374797609e-46,1.0707057582883015e-19,1.2083979286176423e-33,0.0015039447456185486,0.00051324739729428947
5.9825728170886225e-09,0.09977366400000001,0.80000000000000004,0.0,0.28730321995797697,0.098479330949196586,0.099740131704374985,2.2075433788645446e-52,3.9579527816416579e-22,4.0605604329073558e-17,9.9478346376277099e-31,1.0442078598549438e-28,1.1046850946237217e-19,3.0748843124221442e-14,2.9730064138324727e-44,3.0667741988277684e-14,3.5450717112530329e-30,1.762050739236092e-34,2.3537039954619217e-31,2.7198274028091958e-46,1.1007271420369821e-19,1.2773020995109972e-33,0.0015206690507726739,0.00051973659125010001
6.065105547881478e-09,0.09977366400000001,0.80000000000000004,0.0,0.28728013404824432,0.09846270857465772,0.099736899936777826,2.3962890357633675e-52,4.1230456192862947e-22,4.1725018354047735e-17,1.0364620650990775e-30,1.0878835944377709e-28,1.135282955634548e-19,3.1170553146361816e-14,3.1832251524552102e-44,3.108721622564494e-14,3.6933313620514569e-30,1.8609912179285867e-34,2.4523815316989081e-31,2.9118468835196797e-46,1.1311599102183052e-19,1.3491081811658437e-33,0.00153729142531111,0.00052620012644442849
6.147638278674333e-09,0.09977366400000001,0.80000000000000004,0.0,0.28725717530308542,0.098446187510015701,0.099733681096519186,2.5982846727595222e-52,4.2926427006633598e-22,4.2859447251288214e-17,1.0792872624138123e-30,1.1327571708978813e-28,1.1662965673944366e-19,3.1592207360623107e-14,3.4051559379614564e-44,3.1506604666513219e-14,3.8456561118215955e-30,1.9640327243717044e-34,2.5537772362399795e-31,3.1145544418247991e-46,1.1620039249051806e-19,1.4238962940005147e-33,0.0015538124899527139,0.00053263780696173352
6.230171009467188e-09,0.09977366400000001,0.80000000000000004,0.0,0.28723434329713837,0.098429767138308449,0.099730475279399003,2.8142631862106996e-52,4.4668034899511822e-22,4.4008883980768516e-17,1.1232745354850406e-30,1.1788446327917781e-28,1.197725852096609e-19,3.2013806191379287e-14,3.6392803542807808e-44,3.1925907749322851e-14,4.002100364977456e-30,2.0712865168343947e-34,2.6579279477176771e-31,3.328389641421249e-46,1.193259048826655e-19,1.5017476381208686e-33,0.0015702328616595644,0.00053904944120202966
6.312703740260043e-09,0.09977366400000001,0.80000000000000004,0.0,0.28721163760445506,0.098413446846308095,0.099727282579057441,3.0449873870880656e-52,4.6455874135708579e-22,4.5173321559360114e-17,1.1684393613908984e-30,1.2261620185101751e-28,1.2295707325505731e-19,3.2435350060433987e-14,3.8860929407892097e-44,3.2345125909830027e-14,4.1627185072805896e-30,2.1828653169908781e-34,2.764870502071286e-31,3.5538039039773315e-46,1.224925145365817e-19,1.5827444929482041e-33,0.0015865531536594915,0.00054543484188523039
6.3952364710528985e-09,0.09977366400000001,0.80000000000000004,0.0,0.28718905779847725,0.098397226024498685,0.099724103086972965,3.2912507992819753e-52,4.8290538605596817e-22,4.6352753060370735e-17,1.2147972145324763e-30,1.2747253613362327e-28,1.2618311321803777e-19,3.2856839387035885e-14,4.1461013611818229e-44,3.2764259581123228e-14,4.3275649060382392e-30,2.2988833090730373e-34,2.8746417325979074e-31,3.7912606655857311e-46,1.257002078557683e-19,1.6669702168511264e-33,0.0016027739754684749,0.00055179382605412665
6.477769201845754e-09,0.09977366400000001,0.80000000000000004,0.0,0.28716660345201095,0.098381104067053832,0.099720936892462045,3.5538784681906821e-52,5.0172621829410208e-22,4.7547171613086496e-17,1.2623635666566347e-30,1.3245506895033175e-28,1.2945069750228393e-19,3.3278274587894064e-14,4.4198265722573896e-44,3.3183309193639428e-14,4.4966939102999029e-30,2.4194561390306182e-34,2.9872784700034021e-31,4.041235533181416e-46,1.2894897130870481e-19,1.7545092467813238e-33,0.0016188959329128982,0.00055812621507600533
