Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CO2X(24),CHOX(61)
1.937778924367284e-06,0.09977366400000001,0.80000000000000004,0.0,0.20138102268928343,0.094720490130258808,0.055788840023376141,0.00043403043160812258,0.002213224587716734,0.0022833208050932379,0.00050903140192567814,2.7160056451555057e-16,1.6812454698792018e-12,2.3848464152574293e-09,1.2035943056581142e-24,9.5567903196011499e-09,5.9734559165989771e-18,1.4922409739569973e-13,1.3844285173633158e-14,9.530418835074485e-19,1.3411312810875833e-09,6.4958965470271914e-19,0.0029908931615471976,0.083486755053318012,1.0827059194368435e-09,8.3817937023261208e-07,0.00011662450504404188,3.3376638082537322e-14,1.2601128367273393e-08,1.2136792226958726e-06,0.0013443216677426564,2.1859170699881065e-05,8.0352768284937937e-08,3.0470787061966103e-09,4.1005730838576075e-10
1.9414964065845195e-06,0.09977366400000001,0.80000000000000004,0.0,0.20130675370168452,0.094715430421248303,0.055742779054446974,0.00043646856982431937,0.0022236649346350865,0.0022855406322079197,0.00051028399986872205,2.7307864629132008e-16,1.6871752942490048e-12,2.3886712263329517e-09,1.2156774285965371e-24,9.5586160843879915e-09,6.0076655888826167e-18,1.4989934960924387e-13,1.3892684550222169e-14,9.5765122688947394e-19,1.3433303976111074e-09,6.5494368116492763e-19,0.0029896225765802141,0.083559667843637664,1.0835929091363084e-09,8.3902511328085693e-07,0.00011659731713665199,3.3404820655949952e-14,1.2611253434838681e-08,1.2144895414949398e-06,0.0013469603897808555,2.1872405240597904e-05,8.0688651371705791e-08,3.0568357674444651e-09,4.1091795878968838e-10
1.945213888801755e-06,0.09977366400000001,0.80000000000000004,0.0,0.20123265903467299,0.094710365310264985,0.055696790007390216,0.00043891428425267429,0.0022341238200490172,0.0022877477985293391,0.00051153567815533812,2.7456097478985622e-16,1.6931096773602961e-12,2.3924871889068018e-09,1.2278491014648537e-24,9.5604194146687666e-09,6.0419710380321084e-18,1.5057583311713424e-13,1.3941078551104498e-14,9.6227168622070193e-19,1.3455236608063101e-09,6.6032832519992093e-19,0.0029883545501690504,0.083632407831887329,1.0844774945715292e-09,8.3986764578642715e-07,0.00011656998617250424,3.3432902313298327e-14,1.2621324997925e-08,1.215296905642107e-06,0.0013495953017015182,2.1885521707766768e-05,8.1024931949458541e-08,3.0665927802714205e-09,4.1177684435762354e-10
1.9485596227972665e-06,0.09977366400000001,0.80000000000000004,0.0,0.20116612247950519,0.094705802107577661,0.055655461186981635,0.00044112190359397476,0.0022435526142374315,0.0022897234548763731,0.00051266139756304789,2.7589869834496981e-16,1.6984544950388333e-12,2.3959139932801149e-09,1.2388796226547978e-24,9.5620233429911563e-09,6.0729276830712052e-18,1.5118571856812484e-13,1.3984628167519102e-14,9.6643959557848462e-19,1.347492599978146e-09,6.6520075354193467e-19,0.0029872155082917282,0.083697726482674553,1.0852715714469435e-09,8.4062318877172186e-07,0.00011654526723096543,3.3458089780643013e-14,1.2630343811371674e-08,1.2160210140837672e-06,0.001351963460610293,2.1897225990733367e-05,8.1327922583013036e-08,3.075373991954986e-09,4.1254833114078923e-10
1.951570783393227e-06,0.09977366400000001,0.80000000000000004,0.0,0.20110635968138854,0.094701691508868771,0.055618314790241818,0.00044311400582756986,0.0022520512846772815,0.0022914928269572128,0.00051367390070927764,2.7710558582525238e-16,1.7032679492209858e-12,2.3989919947858476e-09,1.2488688954401649e-24,9.5634515174798096e-09,6.1008547606792798e-18,1.5173546434905573e-13,1.4023818492422144e-14,9.7019839950807895e-19,1.3492606023563252e-09,6.6960725391615562e-19,0.0029861921336543566,0.083756394231253792,1.0859845843694858e-09,8.4130096769125449e-07,0.0001165229230463453,3.3480689017396114e-14,1.2638423928592527e-08,1.2166706762946642e-06,0.0013540921584418602,2.1907678724063587e-05,8.1600886711041464e-08,3.0832769574964521e-09,4.1324144501075365e-10
1.9545819439891877e-06,0.09977366400000001,0.80000000000000004,0.0,0.20104671039927458,0.094697577399980845,0.055581215214309268,0.00044511107591608509,0.002260562004091961,0.0022932539604270134,0.00051468579031882056,2.7831525298053154e-16,1.7080843410672655e-12,2.4020641985737363e-09,1.2589169225803097e-24,9.5648652138589115e-09,6.1288443565091549e-18,1.5228601268715491e-13,1.406300445871641e-14,9.7396447894032793e-19,1.3510247793167703e-09,6.7403399429543556e-19,0.0029851704255164048,0.083814949477577963,1.0866960319294303e-09,8.4197665896278569e-07,0.00011650048765361722,3.3503222599640017e-14,1.2646469270410426e-08,1.2173184148499801e-06,0.0013562183476019565,2.1918054881892463e-05,8.1874107897112738e-08,3.091179765943709e-09,4.1393339826527522e-10
1.9575931045851482e-06,0.09977366400000001,0.80000000000000004,0.0,0.20098717437893004,0.094693459791022075,0.055544162350232962,0.00044711311293930457,0.0022690847384278798,0.002295006875696593,0.00051569706339161625,2.7952769780391162e-16,1.7129036547141492e-12,2.4051306070907859e-09,1.2690239001868e-24,9.5662645036028788e-09,6.1568963735972844e-18,1.5283736200167806e-13,1.4102185819917719e-14,9.77737828544379e-19,1.3527851354031951e-09,6.7848101990390109e-19,0.0029841503802613065,0.083873392481014553,1.0874059177143185e-09,8.4265026819272997e-07,0.0001164779618357913,3.3525690693271483e-14,1.2654479934929077e-08,1.217964234182037e-06,0.0013583420255146746,2.192835473032728e-05,8.2147585031000326e-08,3.0990823801002037e-09,4.1462419014277583e-10
1.960604265181109e-06,0.09977366400000001,0.80000000000000004,0.0,0.20092775136682234,0.09468933869206865,0.055507156089417309,0.00044912011595243207,0.002277619453659693,0.0022967515931963702,0.00051670771694297378,2.8074291827298589e-16,1.7177258743325994e-12,2.4081912228384233e-09,1.2791900242817279e-24,9.5676494579085779e-09,6.1850107145171848e-18,1.5338951071278863e-13,1.4141362330493014e-14,9.8151844296721388e-19,1.3545416751929079e-09,6.8294837589531535e-19,0.002983131994281902,0.083931723500193955,1.0881142453019071e-09,8.433218009818965e-07,0.00011645534637156391,3.3548093464014701e-14,1.2662456020177608e-08,1.2186081387147302e-06,0.0013604631896360117,2.1938578535159811e-05,8.242131700536371e-08,3.1069847628901009e-09,4.1531381990250502e-10
1.9636154257770694e-06,0.09977366400000001,0.80000000000000004,0.0,0.20086844111011695,0.094685214113164745,0.055470196323620692,0.00045113208398617698,0.0022861661157907985,0.0022984881333756716,0.00051771774800353769,2.8196091234992723e-16,1.722550984128081e-12,2.4112460483721337e-09,1.2894154907950727e-24,9.5690201476959961e-09,6.2131872813827479e-18,1.5394245724157643e-13,1.4180533745860635e-14,9.8530631683377394e-19,1.3562944032964209e-09,6.8743610735274473e-19,0.0029821152639804144,0.083989942793011835,1.0888210182599244e-09,8.4399126291844233e-07,0.00011643264203536739,3.3570431077480328e-14,1.2670397624124502e-08,1.2192501328630739e-06,0.0013625818374537323,2.194872656186142e-05,8.2695302715334899e-08,3.1148868773679654e-09,4.1600228682196989e-10
1.96662658637303e-06,0.09977366400000001,0.80000000000000004,0.0,0.20080924335667544,0.094681086064322642,0.055433282944954011,0.00045314901604683814,0.0022947246908538456,0.0023002165167020409,0.00051872715361925097,2.8318167798157749e-16,1.7273789683405808e-12,2.4142950863011036e-09,1.2997004955620682e-24,9.5703766436089982e-09,6.2414259758515242e-18,1.5449620001007571e-13,1.4219699822390616e-14,9.8910144474707848e-19,1.3580433243570609e-09,6.9194425928822714e-19,0.0029811001857684197,0.084048050616631356,1.0895262401463432e-09,8.4465865959141302e-07,0.00011640984959738042,3.3592703698974823e-14,1.2678304844600152e-08,1.2198902210337801e-06,0.0013646979664872297,2.1958799075578271e-05,8.2969541059271789e-08,3.1227886867019261e-09,4.1668959020224961e-10
1.9696377469689905e-06,0.09977366400000001,0.80000000000000004,0.0,0.20075015785505321,0.094676954555522941,0.055396415845879246,0.00045517091111638917,0.0023032951449112279,0.0023019367636605615,0.00051973593085132084,2.8440521309953704e-16,1.7322098112446268e-12,2.4173383392878565e-09,1.3100452343205832e-24,9.5717190160160788e-09,6.2697266991280129e-18,1.5505073744128409e-13,1.4258860317404951e-14,9.9290382128834988e-19,1.3597884430505941e-09,6.9647287664244294e-19,0.0029800867560668253,0.084106047227485631,1.0902299145096953e-09,8.4532399659211414e-07,0.00011638696982352565,3.3614911493544559e-14,1.2686177779331196e-08,1.2205284076256029e-06,0.0013668115742873803,2.1968796341126661e-05,8.3244030938899974e-08,3.1306901541700442e-09,4.1737572936785784e-10
