Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),CHOX(53),COX(50)
6.666338748629468e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33528957528958053,0.11652041762708309,0.022757495827591234,9.1770340584464471e-13,1.7406693815053425e-12,9.8730484916940966e-11,7.0213842590041984e-10,1.5631465269057361e-19,1.722679921164104e-27,6.6682105707049224e-10,1.4307192090491645e-37,6.591182372837615e-10,1.0578949270104173e-27,5.0962897452899721e-21,2.0448899588710626e-22,1.6526688663542586e-24,3.2200061846281853e-13,1.2904817479555425e-28,0.0021494718855368262,0.0001281376885214054,6.0148801731819798e-12,3.03123338436325e-07,4.1646354868802785e-16,8.1440801600689292e-13,6.9869048466248668e-08,6.4771705225095395e-11,5.2715838532829158e-09,7.0494457369520714e-16,5.6583476981295758e-15,7.8233534138571446e-13,9.7847972636579732e-18,5.7899812154437704e-16
6.772408462437142e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33526078621632377,0.11649365773095925,0.022756484291577561,9.9410368988796328e-13,1.8538891127646778e-12,1.0430647056085388e-10,7.4836994932905163e-10,1.6383403699087194e-19,1.9143938888067323e-27,6.772680935088694e-10,1.5698665055363e-37,6.6941708246352271e-10,1.1246466129339372e-27,5.4005315423103025e-21,2.233400896421099e-22,1.7893654299053795e-24,3.3853618031485859e-13,1.3941675912234284e-28,0.002176230150534939,0.00013016045116335436,6.0630279973990036e-12,3.0959216829068475e-07,4.1979725590904504e-16,8.4192220061956037e-13,7.1182838685314959e-08,6.7137739972433949e-11,5.5320883104165535e-09,7.3322078074994439e-16,6.032196323299882e-15,8.3235827124524001e-13,1.0488372525627025e-17,6.1708730540638438e-16
6.878478176244815e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.335232194936399,0.1164670952297621,0.022755472973623844,1.0755092649631247e-12,1.9729427912189062e-12,1.1011677336396903e-10,7.9684026815674461e-10,1.7158895047248137e-19,2.1241341251529116e-27,6.877104888833068e-10,1.7200178501424653e-37,6.7971346225750848e-10,1.194440830125032e-27,5.7185995050058485e-21,2.4359005602940712e-22,1.9349545726565803e-24,3.5566833861252969e-13,1.5043411189851826e-28,0.0022027910078325518,0.00013218276701129262,6.1111542180978421e-12,3.1611157119040165e-07,4.2312947049443073e-16,8.7008855344650523e-13,7.2498796432410234e-08,6.9556130354283374e-11,5.8009592590128288e-09,7.6229841940632751e-16,6.4241666359186998e-15,8.8479045745429234e-13,1.1230696079971499e-17,6.5701798956848021e-16
6.984547890052489e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33520379999149869,0.11644072866734126,0.022754461872501415,1.16216066049589e-12,2.0980586944992401e-12,1.1616809392760992e-10,8.4761891723051076e-10,1.7958291842086944e-19,2.3532949702646434e-27,6.9814826253199987e-10,1.8818485020174186e-37,6.9000752690832813e-10,1.2673636776821572e-27,6.0509401866860425e-21,2.6531786112755744e-22,2.0898608904415322e-24,3.7341005784331097e-13,1.6212955639814191e-28,0.0022291559135869912,0.00013420463833447547,6.1592590605406018e-12,3.2268150446148603e-07,4.2646020817928487e-16,8.9891256016587001e-13,7.3816727615354276e-08,7.2027352277212527e-11,6.0783140018912805e-09,7.9219435090123687e-16,6.8348155242791327e-15,9.3971171399810832e-13,1.2013258993984021e-17,6.9884718160010487e-16
7.0906176038601625e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33517559993409735,0.11641455659830996,0.022753450986990931,1.2543057258861688e-12,2.2294714589843009e-12,1.224672439091649e-10,9.0077630702568627e-10,1.8781946174060693e-19,2.6033560329150676e-27,7.0858143368306801e-10,2.0560634290296693e-37,7.0029942615274295e-10,1.3435021795048213e-27,6.3980092881471632e-21,2.8860551409457366e-22,2.2545219152475438e-24,3.9177441482568683e-13,1.745332385457412e-28,0.0022553263131920073,0.00013622606738409186,6.2073427476019005e-12,3.2930192550177206e-07,4.2978948453554776e-16,9.2839956945938322e-13,7.5136438739099303e-08,7.455188099731325e-11,6.3642684390825918e-09,8.2292578800601494e-16,7.2647061191385359e-15,9.9720338558784859e-13,1.2837584168713996e-17,7.4263259909271128e-16
7.196687317667836e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33514759332737198,0.11638857758796489,0.022752440315882232,1.3521997109906447e-12,2.3674221910874779e-12,1.2902114673548582e-10,9.5638370911482404e-10,1.9630209698169849e-19,2.8758860445545359e-27,7.1901002145549188e-10,2.2433981025541657e-37,7.1058930922401768e-10,1.4229442744437752e-27,6.7602717517321379e-21,3.1353812600785833e-22,2.4293882708139342e-24,4.1077459847241703e-13,1.8767613565832506e-28,0.0022813036413576629,0.00013824705639345794,6.2554054997937551e-12,3.3597279177585653e-07,4.3311731497370398e-16,9.5855479105116243e-13,7.6457736954587527e-08,7.7130191120408853e-11,6.6589370325759194e-09,8.5451030136246386e-16,7.7144076308125057e-15,1.0573483586994755e-12,1.3705226327105194e-17,7.884326576220344e-16
7.30275703147551e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33511977874512255,0.11636279021220716,0.022751429857974324,1.456105344457142e-12,2.5121585793731186e-12,1.3583683831351954e-10,1.0145132413608517e-09,2.0503433636571608e-19,3.1725468243518579e-27,7.2943404486004679e-10,2.4446192993669001e-37,7.2087732485424175e-10,1.5057788065578578e-27,7.1382018555541362e-21,3.4020396825741551e-22,2.6149238254550871e-24,4.3042390955399618e-13,2.0159006509429899e-28,0.0023070893221896214,0.00014026760757820914,6.3034475352903004e-12,3.4269406081007713e-07,4.3644371474447175e-16,9.8938329381969123e-13,7.7780430107149586e-08,7.9762756602184196e-11,6.9624327718127515e-09,8.8696582586310066e-16,8.1844951836333368e-15,1.120231072597151e-12,1.4617771987712672e-17,8.3630645849062078e-16
7.4088267452831834e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33509215477169257,0.11633719305746358,0.022750419612075287,1.5662929098769615e-12,2.6639350074983099e-12,1.4292146773816058e-10,1.0752378528417557e-09,2.1401968781173696e-19,3.4950973563567072e-27,7.3985352280022645e-10,2.6605259105384158e-37,7.3116362127662463e-10,1.5920955154764871e-27,7.5322833078832389e-21,3.6869453046285101e-22,2.8116058420619786e-24,4.5073576046228422e-13,2.1630769281028826e-28,0.002332684769267845,0.00014228772313648966,6.3514690699521829e-12,3.4946569018753262e-07,4.3976869894047212e-16,1.0208900039836924e-12,7.9104326784425681e-08,8.2450050748238424e-11,7.2748671399372606e-09,9.203106670754917e-16,8.6755496478751152e-15,1.1859375303395406e-12,1.5576839424013186e-17,8.8631377625654617e-16
7.514896459090856e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33506472000189125,0.11631178472060826,0.02274940957700218,1.6830403197227509e-12,2.8230126679770323e-12,1.5028229799731393e-10,1.1386313085141202e-09,2.2326165496208903e-19,3.8453979797830772e-27,7.502684740731627e-10,2.8919497572197591e-37,7.4144834622776012e-10,1.6819850268667821e-27,7.9430093416953153e-21,3.9910457788520747e-22,3.0199251252372913e-24,4.7172367497428766e-13,2.3186254182686816e-28,0.0023580913857247066,0.00014430740524914174,6.3994703173507602e-12,3.5628763754314116e-07,4.4309228249787979e-16,1.0530797033625791e-12,8.0429236363793392e-08,8.5192546214060243e-11,7.5963500808127348e-09,9.5456350771047877e-16,9.188157469248626e-15,1.2545553097675134e-12,1.658407860933238e-17,9.3851504605431124e-16
7.620966172898529e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33503747304091586,0.11628656380888554,0.022748399751581012,1.8066331870408442e-12,2.9896596767633865e-12,1.5792670667415418e-10,1.2047681736229155e-09,2.3276373720790485e-19,4.2254146933665972e-27,7.6067891737053619e-10,3.1397564132159645e-37,7.5173164694986709e-10,1.7755388430043172e-27,8.3708828093823357e-21,4.3153220830522327e-22,3.2403861655205507e-24,4.9340128801607057e-13,2.4828900060419116e-28,0.0023833105643225093,0.00014632665607989176,6.4474514887920622e-12,3.6315986055873994e-07,4.4641448019805948e-16,1.0859570277121296e-12,8.1754969059284564e-08,8.7990715004927066e-11,7.9269899668132977e-09,9.8974341413411448e-16,9.7229104960698082e-15,1.3261735744718052e-12,1.7641171147421936e-17,9.9297135071393548e-16
