Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
1.5676331920958327e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33342586457091139,0.11482691378145124,0.022672244409108339,1.0730440906513199e-35,2.6272110300471782e-13,1.4449409815622331e-10,2.0020653522813866e-21,6.2553496820157126e-15,1.0823692247071745e-12,2.5819672818389055e-07,9.2358231752908019e-23,6.5597044918912627e-11,8.1202428098315049e-16,6.530796813058774e-17,2.6105336342090581e-21,2.0574936882374508e-29,1.0599938561575533e-12,3.2769033005461341e-18,0.0038427937361184081,0.000298646467003635,2.7021208256715178e-10,9.7650687127027418e-12,2.5814443658102554e-07,1.0299340148975429e-16,1.5531909583837777e-12,4.4358950132164369e-11
1.5815271278611295e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33340458748772889,0.11480824752981673,0.022670938987816067,1.1387165858925059e-35,2.7083807142952016e-13,1.4958500751425634e-10,2.0626884450358827e-21,6.475629406907401e-15,1.1058800830984912e-12,2.6171675834040924e-07,9.7697954266010846e-23,6.659688493008146e-11,8.4079557671912008e-16,6.7655080964683318e-17,2.7175846647721354e-21,2.1873915778914224e-29,1.0828335910823235e-12,3.4201718631550934e-18,0.0038614564653823269,0.00030125730810102937,2.719184988424064e-10,9.9777898918165224e-12,2.6165527992901954e-07,1.053338991901983e-16,1.6118371539782144e-12,4.4968926818644355e-11
1.5954210636264263e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33338349110674409,0.11478976149799447,0.022669633807567348,1.2078211300464232e-35,2.7914425410383415e-13,1.5481389100960461e-10,2.1246318965538619e-21,6.7019050431278786e-15,1.1297088894407243e-12,2.6525804372703927e-07,1.0330120196808881e-22,6.7606163351221238e-11,8.7035253881711132e-16,7.0068226929835271e-17,2.8282028613813341e-21,2.3244326223800037e-29,1.1059770341239177e-12,3.5684965736147472e-18,0.0038799389535745217,0.00030386766710019251,2.7362521463697395e-10,1.019347843414406e-11,2.651870906743973e-07,1.0771044363170645e-16,1.6721908523857709e-12,4.5582572255566527e-11
1.609314999391723e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33336257368723787,0.11477145394816264,0.022668328866910881,1.2805073222379234e-35,2.8764276732272914e-13,1.6018341701661706e-10,2.1879138662106166e-21,6.9342939802798304e-15,1.1538575290931529e-12,2.6882057832634949e-07,1.0917882697066575e-22,6.8624930209152366e-11,9.0071055182841815e-16,7.2548767008767048e-17,2.9424808739466912e-21,2.4689534610342297e-29,1.129425887531881e-12,3.7220149789368248e-18,0.0038982429385227479,0.00030647754690373767,2.7533223622264098e-10,1.0412153382618889e-11,2.6873985732349556e-07,1.1012336080080238e-16,1.7342875979633883e-12,4.6199884729179734e-11
1.6232089351570198e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33334183350529395,0.11475332315927374,0.022667024164409487,1.3569300302633076e-35,2.9633676141189487e-13,1.6569628586987213e-10,2.2525526331818712e-21,7.1729150611956543e-15,1.1783278865515684e-12,2.7240435620731031e-07,1.1534204297564318e-22,6.9653235389297433e-11,9.3188518998372138e-16,7.5098080402944508e-17,3.0605131072869152e-21,2.621304044617663e-29,1.153181851744468e-12,3.8808673098866923e-18,0.0039163701412804437,0.00030908695038595876,2.7703956977384221e-10,1.063383376220876e-11,2.7231356840422652e-07,1.1257297838936499e-16,1.798163394322081e-12,4.6820862541695451e-11
1.6371028709223165e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33332126885363622,0.11473536742689222,0.022665719698640039,1.4372495339011356e-35,3.0522942099019429e-13,1.7135523002230993e-10,2.3185665967014197e-21,7.4178885902921513e-15,1.2031218454562029e-12,2.7600937152394672e-07,1.2180243460156208e-22,7.0691128636075236e-11,9.6389221826553761e-16,7.7717564651027463e-17,3.1823957425272299e-21,2.7818480643204659e-29,1.1772466253974039e-12,4.0451965139625561e-18,0.0039343222662889922,0.00031169588039311222,2.7874722136897395e-10,1.0858538579917092e-11,2.7590821246441092e-07,1.1505962580974238e-16,1.8638547068197809e-12,4.7445504011040015e-11
1.6509968066876133e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33330087804146724,0.11471758506303384,0.022664415468193276,1.5216316710365674e-35,3.1432396523377041e-13,1.7716301420289221e-10,2.3859742763229031e-21,7.6693363419246454e-15,1.2282412885995393e-12,2.7963561851401111e-07,1.2857196688358188e-22,7.1738659553287939e-11,9.9674759348039881e-16,8.0408635747320607e-17,3.3082267586196914e-21,2.9509633915530804e-29,1.201621905332522e-12,4.2151482885606011e-18,0.0039521010015384165,0.00031430433974369472,2.804551969916898e-10,1.1086286824781885e-11,2.7952377807012972e-07,1.1758363420990822e-16,1.9313984650475963e-12,4.8073807470610511e-11
1.66489074245291e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33328065939430984,0.11469997439600645,0.022663111471673675,1.6102479866350891e-35,3.2362364814169965e-13,1.8312243557378839e-10,2.4547943121857387e-21,7.9273815687404751e-15,1.2536880979339944e-12,2.8328309149767365e-07,1.3566299494923531e-22,7.2795877604501861e-11,1.0304674653307674e-15,8.3172728260221648e-17,3.4381059539859489e-21,3.1290425287379586e-29,1.226309386606271e-12,4.390871114325997e-18,0.0039697080187265105,0.00031691233122871967,2.8216350253217973e-10,1.1317097467872107e-11,2.8316025380409655e-07,1.2014533648866335e-16,2.0008320653094536e-12,4.8705771269033968e-11
1.678784678218207e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33326061125384832,0.11468253377025252,0.022661807707699325,1.7032758846017283e-35,3.3313175880318547e-13,1.892363238870837e-10,2.5250454652852167e-21,8.1921490100319605e-15,1.2794641545794852e-12,2.8695178487623126e-07,1.430882738720321e-22,7.3862832113421426e-11,1.0650681774866885e-15,8.6011295450666576e-17,3.5721349682824056e-21,3.3164930713001461e-29,1.2513107624980943e-12,4.5725162886897365e-18,0.0039871449734164297,0.0003195198576119889,2.8387214378843271e-10,1.1550989462281566e-11,2.8681762826404663e-07,1.2274506731087959e-16,2.0721933730950582e-12,4.9341393769929695e-11
1.6926786139835036e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33324073197777265,0.11466526154619296,0.022660504174901789,1.8008987825621178e-35,3.4285162166628414e-13,1.9550754164100622e-10,2.5967466177467831e-21,8.4637649000888352e-15,1.3055713388308757e-12,2.9064169313083267e-07,1.5086096870499541e-22,7.4939572264256896e-11,1.1005662686571839e-15,8.8925809390570118e-17,3.7104173042877784e-21,3.513738181059873e-29,1.2766277245186902e-12,4.7602379595912552e-18,0.0040044135051927427,0.0003221269216303636,2.8558112646748133e-10,1.1787981743120388e-11,2.9049589006114671e-07,1.2538316312278902e-16,2.1455207255461354e-12,4.9980673351675164e-11
