Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(47),CH4OX(57),C2H6X(49),CHOX(50)
1.6997331730724717e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17346894214700251,0.096758923406972397,0.091899171128320509,1.1975210154020741e-07,9.3523388024332753e-06,1.9138542103090728e-13,1.0105325658392239e-06,2.8433444155143295e-09,2.4931688088038569e-29,2.1264033102964578e-10,8.509105553140667e-31,1.5689704068533794e-18,4.4311607007147298e-22,3.4041390273841941e-09,6.728433669992921e-26,8.6036216219721048e-24,7.3967439515216252e-14,2.5487581615814829e-26,0.0032355632109621383,0.016185462060225909,1.8246391145924007e-07,4.5074050952822618e-08,4.0584316783227305e-09,1.36006696219921e-06,1.1584154117156383e-13,9.8562486892103544e-11,6.57034535990704e-09,4.1831885692835514e-06,1.2447221097283971e-10,1.1474816537012045e-09,1.7732909363067141e-10,1.1565600405036942e-11,1.1373283173348496e-14
1.7023227761847478e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1734477350884541,0.096759295876164275,0.09188835735975015,1.2037370315098669e-07,9.3800903627187707e-06,1.915205862559463e-13,1.0141683687199441e-06,2.8547640153127747e-09,2.5026816153845759e-29,2.131946767735052e-10,8.6137066949425297e-31,1.5695190881047527e-18,4.4665707610974906e-22,3.4165086371719079e-09,6.7577850726265752e-26,8.6492034591612407e-24,7.4126643358871128e-14,2.5732987718736275e-26,0.0032351751706008649,0.016207042841289484,1.8267086102871969e-07,4.511738967360014e-08,4.0572530825059324e-09,1.3630646922508022e-06,1.1597428589255382e-13,9.8537574667176558e-11,6.5697100678535235e-09,4.1942549369942471e-06,1.2492378583009247e-10,1.1514883916974143e-09,1.7812368720570138e-10,1.1611404678903688e-11,1.1401449029040411e-14
1.7049123792970238e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17342653577295736,0.096759668191638337,0.09187754750671423,1.209975549989593e-07,9.4078776592735278e-06,1.9165553396539697e-13,1.0178105952617711e-06,2.8662095137416728e-09,2.5122151928024174e-29,2.1374947315398201e-10,8.7194176475989729e-31,1.5700656676369525e-18,4.5022046898097638e-22,3.4289036681951139e-09,6.7872160015974537e-26,8.6949498592089172e-24,7.4285939410927059e-14,2.5980353277546073e-26,0.0032347872651201995,0.016228615732265618,1.8287763200220297e-07,4.5160721192392923e-08,4.0560765662500728e-09,1.3660644970586043e-06,1.1610691956059622e-13,9.851270315098646e-11,6.5690745172085155e-09,4.2053315594698467e-06,1.2537629131490119e-10,1.1555015339747714e-09,1.7892043968157453e-10,1.1657307070506508e-11,1.1429637491322687e-14
1.7075019824093e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17340534419574924,0.096760040353399121,0.091866741566842602,1.2162366170250485e-07,9.4357006704854297e-06,1.917902646609752e-13,1.0214592425872361e-06,2.8776809177698614e-09,2.5217695511517214e-29,2.143047193002795e-10,8.8262482925947203e-31,1.5706101528254035e-18,4.5380635186971137e-22,3.4413241324642549e-09,6.8167265240601875e-26,8.7408611235620766e-24,7.4445327588674365e-14,2.6229690672075603e-26,0.0032343994945274088,0.016250180737925862,1.8308422457096463e-07,4.5204045550500718e-08,4.0549021226826622e-09,1.3690663742940258e-06,1.162394422912574e-13,9.8487872225546575e-11,6.568438710375451e-09,4.216418422959309e-06,1.2582972786098011e-10,1.1595210750780311e-09,1.797193527162602e-10,1.1703307577396066e-11,1.1457848542362779e-14
1.710091585521576e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17338416035207152,0.096760412361452428,0.091855939537766759,1.2225202788170033e-07,9.4635593747560495e-06,1.9192477884315023e-13,1.0251143078137008e-06,2.8891782343244547e-09,2.5313447005101997e-29,2.1486041434265989e-10,8.9342085682515801e-31,1.5711525510244328e-18,4.5741482819303967e-22,3.4537700419783182e-09,6.8463167070141537e-26,8.7869375536079211e-24,7.4604807809614969e-14,2.6481012328015594e-26,0.0032340118588284352,0.016271737863038507,1.8329063892607097e-07,4.5247362788429819e-08,4.0537297449510005e-09,1.3720703216308824e-06,1.1637185420000188e-13,9.8463081770295638e-11,6.5678026497445348e-09,4.2275155137230176e-06,1.2628409590356109e-10,1.1635470095485588e-09,1.8052042796430597e-10,1.1749406196949089e-11,1.1486082144878887e-14
1.712681188633852e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.173362984237172,0.096760784215805945,0.091845141417120454,1.2288265815898505e-07,9.4914537505060707e-06,1.9205907701065651e-13,1.0287757880513476e-06,2.9007014702744811e-09,2.5409406509327931e-29,2.1541655741286085e-10,9.0433084925100212e-31,1.5716928695589944e-18,4.6104600169260658e-22,3.4662414087202247e-09,6.8759866172398981e-26,8.8331794506164383e-24,7.4764379991543987e-14,2.6734330735172128e-26,0.0032336243580274068,0.016293287112367261,1.8349687525829938e-07,4.5290672945475156e-08,4.0525594275055861e-09,1.3750763367457355e-06,1.1650415540208924e-13,9.8438331697382181e-11,6.5671663376538035e-09,4.2386228180372558e-06,1.26739395875895e-10,1.1675793319229819e-09,1.8132366707549476e-10,1.1795602926300426e-11,1.1514338278794484e-14
1.7152707917461282e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17334181584630556,0.096761155916469249,0.09183434720253987,1.2351555715932731e-07,9.5193837761766905e-06,1.9219315966033737e-13,1.0324436804027067e-06,2.9122506324267215e-09,2.5505574124514068e-29,2.159731476442022e-10,9.1535581693467613e-31,1.5722311157224396e-18,4.6469997645897553e-22,3.4787382446556822e-09,6.9057363212871184e-26,8.8795871157641568e-24,7.4924044052570904e-14,2.6989658452467114e-26,0.0032332369921265454,0.016314828490670976,1.8370293375812171e-07,4.5333976062195234e-08,4.0513911632873032e-09,1.378084417318281e-06,1.166363460126438e-13,9.8413621880373485e-11,6.566529776472549e-09,4.249740322195306e-06,1.2719562821169777e-10,1.1716180367326602e-09,1.8212907169450413e-10,1.1841897762326232e-11,1.1542616903448098e-14
1.7178603948584043e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17332065517473186,0.096761527463453165,0.091823556891662994,1.2415072950957405e-07,9.5473494302243494e-06,1.92327027287606e-13,1.0361179819646642e-06,2.9238257275418265e-09,2.5601949950814016e-29,2.1653018417117888e-10,9.2649677673206596e-31,1.5727672967845165e-18,4.6837685684281344e-22,3.4912605617376213e-09,6.9355658855332818e-26,8.926160850141656e-24,7.5083799911037863e-14,2.7247008090506288e-26,0.0032328497611266976,0.016336362002704823,1.839088146157812e-07,4.5377272178591428e-08,4.0502249454178616e-09,1.3810945610306286e-06,1.1676842614662323e-13,9.8388952199901532e-11,6.5658929685445221e-09,4.2608680125030585e-06,1.2765279334126098e-10,1.1756631185051689e-09,1.8293664346222315e-10,1.188829070171069e-11,1.1570917999934443e-14
1.7204499979706803e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17329950221771565,0.096761898856770001,0.09181277048212956,1.2478817983842837e-07,9.5753506911205834e-06,1.9246068038653429e-13,1.0397986898285464e-06,2.9354267623348799e-09,2.5698534088184908e-29,2.1708766612944793e-10,9.3775475192860324e-31,1.5733014199920865e-18,4.7207674745260488e-22,3.503808371906347e-09,6.9654753761826882e-26,8.972900954763305e-24,7.5243647485514298e-14,2.7506392311218735e-26,0.0032324626650273745,0.016357887653220399,1.8411451802129378e-07,4.5420561331900307e-08,4.0490607696674928e-09,1.384106765567124e-06,1.1690039591886061e-13,9.8364322595386146e-11,6.5652559161284429e-09,4.2720058752788578e-06,1.2811089169798949e-10,1.1797145717644546e-09,1.837463840157964e-10,1.1934781740948475e-11,1.1599241529201151e-14
1.7230396010829564e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17327835697052701,0.096762270096433442,0.091801987971581359,1.2542791277665057e-07,9.6033875373536661e-06,1.9259411944965583e-13,1.0434858010795356e-06,2.9470537434704609e-09,2.5795326636431983e-29,2.1764559265595586e-10,9.4913077298859279e-31,1.5738334925664415e-18,4.7579975318343673e-22,3.5163816870880989e-09,6.9954648592515962e-26,9.0198077305262172e-24,7.5403586694823154e-14,2.7767823833692821e-26,0.0032320757038266216,0.016379405446965294,1.8432004416442304e-07,4.5463843564370101e-08,4.0478986270491783e-09,1.3871210286144985e-06,1.1703225544403267e-13,9.8339732899130624e-11,6.564618621597984e-09,4.2831538968548303e-06,1.285699237080697e-10,1.1837723910305184e-09,1.8455829498821594e-10,1.1981370876324668e-11,1.1627587483368863e-14
1.7256292041952325e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17325721942844174,0.096762641182458642,0.091791209357662204,1.2606993295714983e-07,9.6314599474293708e-06,1.9272734496792282e-13,1.0471793127964065e-06,2.9587066775603988e-09,2.5892327695130725e-29,2.1820396288899678e-10,9.6062587790305544e-31,1.57436352170219e-18,4.7954597923023196e-22,3.528980519194531e-09,7.025534400554828e-26,9.0668814782357018e-24,7.5563617458051082e-14,2.8031315436876689e-26,0.0032316888775209777,0.016400915388682942,1.8452539323466941e-07,4.5507118912128154e-08,4.0467385136550297e-09,1.3901373478625109e-06,1.1716400483668502e-13,9.8315183055738591e-11,6.5639810871802406e-09,4.2943120635775163e-06,1.2902988980414221e-10,1.1878365708192069e-09,1.8537237800813583e-10,1.2028058103905517e-11,1.165595580966505e-14
1.7282188073075086e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17323608958674117,0.096763012114862282,0.09178043463801791,1.2671424501495613e-07,9.6595678998707587e-06,1.9286035743071828e-13,1.05087922205164e-06,2.9703855711644954e-09,2.5989537363681306e-29,2.1876277596819499e-10,9.7224111214693842e-31,1.5748915145677151e-18,4.8331553108465036e-22,3.5416048801227562e-09,7.0556840657138953e-26,9.1141224986109346e-24,7.5723739694544336e-14,2.8296879959088487e-26,0.0032313021861055113,0.016422417483112628,1.8473056542127387e-07,4.5550387416159452e-08,4.0455804213925604e-09,1.3931557210031608e-06,1.1729564421118979e-13,9.8290672917515512e-11,6.5633433151985066e-09,4.3054803618076382e-06,1.2949079041082754e-10,1.1919071056422736e-09,1.8618863469992997e-10,1.2074843419541597e-11,1.1684346497792646e-14
