Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),COX(50),CHOX(53)
2.2634671334450853e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755800283381432,0.11866084516564798,0.022821348261510579,1.273785247760561e-25,5.0546528158318788e-19,5.695459490137368e-16,1.2425072177945381e-18,7.0465324215702769e-24,1.4006778218098914e-41,2.3026406903441813e-12,6.9955607744573014e-49,2.301302887629976e-12,3.2205590211333669e-34,4.1218123003794959e-26,3.2852312448596285e-34,9.8146335744055172e-36,2.8352389015170959e-19,1.9697234693021691e-37,9.1206925429013058e-06,4.3886307642635635e-07,1.2235952467569477e-11,6.4108337356956211e-10,8.4721912737000287e-16,8.3697145795227166e-14,1.5715114662166562e-10,1.0784627213425774e-14,1.5782086811486766e-16,9.5301715264347904e-20,2.6768495648129224e-25,5.6181452386756292e-20,6.3233045490012486e-25,2.5147243992761023e-27
2.314548932804328e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755778724175922,0.11866063949276646,0.022821343309559528,1.4517230021758967e-25,5.3131530725733669e-19,5.843455751776588e-16,1.3630475739189212e-18,7.2257060226809913e-24,1.6119130174976051e-41,2.3546054020128725e-12,7.6983479287757385e-49,2.3532315890521905e-12,3.3844754464550967e-34,4.3178287818920114e-26,3.6911600821798382e-34,1.1018699673357565e-35,2.9687555006474049e-19,2.1208571063102744e-37,9.3263615407702562e-06,4.4876697825812351e-07,1.2236958262964705e-11,6.5640683572792357e-10,8.4728876804828282e-16,8.370471463408123e-14,1.6098180649194123e-10,1.1042779225468484e-14,1.6916350867803336e-16,9.778908390357544e-20,2.9787883497897927e-25,5.8988593480573178e-20,7.0027602717875234e-25,2.7609681690212608e-27
2.4167125315228134e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.337557356079695,0.11866022816900879,0.022821333405679628,1.8687113485289418e-25,5.8502486726412177e-19,6.1408643174281683e-16,1.6302004832951134e-18,7.5842006043534679e-24,2.1145814269399925e-41,2.4585344041626598e-12,9.2617872531946264e-49,2.4570880737242044e-12,3.7246467379347702e-34,4.7238431978453481e-26,4.6234352026085307e-34,1.3781121174223843e-35,3.2452773103079522e-19,2.4461012810829174e-37,9.7376775302247699e-06,4.6857473751998955e-07,1.2238967652301394e-11,6.8705750299990567e-10,8.4742789704546202e-16,8.3719720456369535e-14,1.6864406130149933e-10,1.1560520544443446e-14,1.9344909326037978e-16,1.0277782828582832e-19,3.6612093197937198e-25,6.4818166859845945e-20,8.5265811208165621e-25,3.3071919139878461e-27
2.5188761302412987e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755692494702372,0.11865981687458979,0.022821323501829319,2.3787549681655464e-25,6.4142303782435647e-19,6.4401697973839638e-16,1.9347924688395483e-18,7.9428944906758391e-24,2.7415840798583009e-41,2.5624628447421642e-12,1.1052611668981142e-48,2.5609433343072897e-12,4.0812756567271041e-34,5.1485619633521533e-26,5.735433194988366e-34,1.7071751949962114e-35,3.5344896154914921e-19,2.8032364892535522e-37,1.0148964179713929e-05,4.8838243758253546e-07,1.2240975207182655e-11,7.1771315729379778e-10,8.4756689899645893e-16,8.3734788297026701e-14,1.7630756143812453e-10,1.2080178642951843e-14,2.1994803801552912e-16,1.0778524725445877e-19,4.4585295112349272e-25,7.0936189199685283e-20,1.0289532332486418e-24,3.9306279922467842e-27
2.6108233690879357e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755653695274879,0.1186594467346956,0.02282131458838935,2.9299385498225195e-25,6.9448934741808168e-19,6.7111753952647914e-16,2.2436887884162904e-18,8.2658922124973908e-24,3.4314975011623029e-41,2.6559979611375867e-12,1.2876188964917686e-48,2.6544120223757785e-12,4.4163193844484167e-34,5.5468630264775185e-26,6.9103826963213208e-34,2.0544545983033577e-35,3.8056697653421996e-19,3.1531703790867061e-37,1.051909708031519e-05,5.062093170262876e-07,1.2242781069582439e-11,7.453075081272617e-10,8.476919358672244e-16,8.3748398347456305e-14,1.832057755961058e-10,1.2549510162383127e-14,2.4576839809392898e-16,1.1230789160886538e-19,5.2849734496295203e-25,7.6690422352478634e-20,1.2100563697062489e-24,4.5634631877092225e-27
2.7027706079345727e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755614898227887,0.11865907661856256,0.022821305674973355,3.5811273019869524e-25,7.4975055710095066e-19,6.9837338974589048e-16,2.588138257271647e-18,8.5890566364448661e-24,4.2603562601556476e-41,2.7495326226930625e-12,1.4917063894167076e-48,2.7478797191924264e-12,4.7647058756332614e-34,5.9604300220723432e-26,8.2706419210297781e-34,2.4560716298536662e-35,4.0872012894215811e-19,3.5312554861945755e-37,1.088920621876839e-05,5.2403614852395269e-07,1.2244586441059072e-11,7.7290589540830947e-10,8.4781693875565367e-16,8.3762031173244326e-14,1.901049973298171e-10,1.3020394989386051e-14,2.7352838855661654e-16,1.1684566434743451e-19,6.2247957145448499e-25,8.2680892662485381e-20,1.4143223794948327e-24,5.2697151065918862e-27
2.7947178467812096e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755576103561258,0.11865870652618911,0.022821296761581324,4.345756733881231e-25,8.0721478710847261e-19,7.257853087428019e-16,2.970761336588884e-18,8.9123902789973342e-24,5.2496876153711816e-41,2.8430668294255089e-12,1.719189023682544e-48,2.8413464248804463e-12,5.1264410169257046e-34,6.3893176818899227e-26,9.8373464790290949e-34,2.9181605274961664e-35,4.3791183388948784e-19,3.9385912591074919e-37,1.1259291596600481e-05,5.4186293207807024e-07,1.2246391552676011e-11,8.0050831835783857e-10,8.4794192363481258e-16,8.3775733560061028e-14,1.9700522628008457e-10,1.3492833463539026e-14,3.0329743017151999e-16,1.2139856766358378e-19,7.2883911308487642e-25,8.8908838264172919e-20,1.6436685200981523e-24,6.0548380346918914e-27
2.9786123244744835e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755498521368432,0.11865796641271496,0.022821278934869172,6.2752847763561402e-25,9.2878481695865476e-19,7.8108046962649662e-16,3.8614701585802787e-18,9.5595753275244401e-24,7.8084389194300141e-41,3.0301338784922951e-12,2.2513107322972749e-48,3.0282768633633915e-12,5.8899813161634868e-34,7.293274106763354e-26,1.3682578027127157e-33,4.0505566829144358e-35,4.9942456551095368e-19,4.8454150690015865e-37,1.1999391076508615e-05,5.7751635536582084e-07,1.2250001471612852e-11,8.5572526975490724e-10,8.4819187232957354e-16,8.3803272155183163e-14,2.1080870510452243e-10,1.4442372712733488e-14,3.6913996701538049e-16,1.305497769427321e-19,9.8309708078540561e-25,1.020821386775647e-19,2.1856541973695512e-24,7.8844810736887193e-27
3.1625068021677574e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755420948695175,0.11865722639426092,0.022821261108252881,8.8511652124406191e-25,1.0592645114650654e-18,8.3700926065938172e-16,4.9386182772797862e-18,1.020746762953044e-23,1.1331343990513956e-40,3.217199108484358e-12,2.898545320410241e-48,3.2152033388100681e-12,6.7069894562691602e-34,8.2591708905781314e-26,1.8647273123064896e-33,5.5098712675151051e-35,5.6513250690290299e-19,5.8824473381956577e-37,1.2739395532253192e-05,6.1316958690985316e-07,1.2253611170440462e-11,9.1095836098960617e-10,8.4844180578414609e-16,8.3830998050882732e-14,2.2461621109065606e-10,1.5398130630370979e-14,4.4384984376812505e-16,1.3976154463916127e-19,1.3005836985487341e-24,1.1622035186874056e-19,2.8528868520332237e-24,1.0099892059483572e-26
3.3464012798610314e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755343385540271,0.11865648647081481,0.022821243281732451,1.2227981145698468e-24,1.1987190393380332e-18,8.9357792669942884e-16,6.2264768718368706e-18,1.085608748488718e-23,1.6088919855863999e-40,3.4042625195503868e-12,3.6764460597476518e-48,3.402125852205834e-12,7.5775162819216972e-34,9.2874471659587604e-26,2.4960112362729694e-33,7.3621456898394962e-35,6.3506300523555846e-19,7.0585018241683167e-37,1.3479304976046246e-05,6.4882262673047841e-07,1.2257220682023507e-11,9.6620759164843854e-10,8.4869172627159386e-16,8.3858913428392412e-14,2.3842774355242923e-10,1.6360109938096184e-14,5.2797967422047242e-16,1.4903389803840323e-19,1.6914123081577102e-24,1.3133360470274936e-19,3.6634655509887924e-24,1.2751656378992842e-26
3.530295757554305e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755265831902492,0.1186557466423644,0.022821225455307861,1.6584152575417263e-24,1.3472136654122983e-18,9.5079271782375849e-16,7.7507818364974331e-18,1.1505455189732e-23,2.2405019281463223e-40,3.5913241118388077e-12,4.6015596536308245e-48,3.5890444045359797e-12,8.5016143104159048e-34,1.0378542598922939e-25,3.2879137133050113e-33,9.6817438773092537e-35,7.0924341934821565e-19,8.3824007996501963e-37,1.4219119420098219e-05,6.8447547484800454e-07,1.2260830073121166e-11,1.0214729612159443e-09,8.4894163841495938e-16,8.3887020791917359e-14,2.5224330176933418e-10,1.7328313357115121e-14,6.2208085427717976e-16,1.5836686469976078e-19,2.1664998038006464e-24,1.474321226328e-19,4.6367121399536274e-24,1.5893438976944657e-26
3.714190235247579e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755188287780619,0.11865500690889749,0.022821207628979105,2.2123798514369175e-24,1.5048137509154229e-18,1.0086598894014862e-15,9.5387304220440732e-18,1.2155591038448787e-23,3.0663525077520276e-40,3.778383885497933e-12,5.6914277209154402e-48,3.7759589967857335e-12,9.4793377312039983e-34,1.1532897389511366e-25,4.2693591486194371e-33,1.2551849596081042e-34,7.8770111974833984e-19,9.8629753340744505e-37,1.4958838876618003e-05,7.2012813128273608e-07,1.2264439423117157e-11,1.0767544691409844e-09,8.4919154771101005e-16,8.3915320494346774e-14,2.6606288501015616e-10,1.830274360844256e-14,7.2670356524631699e-16,1.6776047226864461e-19,2.7375680829288576e-24,1.6452622968065356e-19,5.7931684452732958e-24,1.9581978261757485e-26
4.081979190634127e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755033228079684,0.11865352772686535,0.022821171976609045,3.7713262371704918e-24,1.8475922267413118e-18,1.1263764230835743e-15,1.4021627753494998e-17,1.345824836991604e-23,5.4900641272398423e-40,4.1524979775236723e-12,8.4405806495277172e-48,4.1497763049846106e-12,1.159588586328971e-33,1.4033148504974552e-25,6.9336416581554111e-33,2.0324342574782968e-34,9.5755791977663531e-19,1.3329521569908558e-36,1.6437992875888624e-05,7.9143286918502012e-07,1.2271658017968268e-11,1.1873658987580666e-09,8.4969135901902845e-16,8.3972497748114617e-14,2.9371412393749874e-10,2.0270295493496579e-14,9.6970825820832851e-16,1.8672972212773009e-19,4.2185626381809193e-24,2.0174299989468086e-19,8.7439552343554127e-24,2.8841610653960676e-26
