Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
1.9544591901764725e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362480572612,0.099999999385089383,0.099999999910320408,3.0418186392755271e-90,5.4569638210049237e-38,5.1983958957782571e-30,6.0675749343644558e-50,4.7485604693533145e-33,1.5322633055359658e-32,1.1374715005361716e-20,3.2263257676068623e-76,1.0114742939189853e-20,2.0758057449492845e-49,1.4455493913513913e-38,1.4328629475744653e-50,1.1612042556327037e-73,5.2689063511933516e-32,3.6868246900050177e-59,6.1490655532552303e-10,1.7935924932627226e-10,4.0647940095100058e-15,5.9984280685806122e-21,4.0647892710545387e-15
2.3557730898876956e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362464263591,0.099999999258828284,0.099999999891906277,8.8895311839914202e-90,1.0594849102045028e-37,7.4084767001267448e-30,1.0170807577412537e-49,8.0032914767288458e-33,2.2146005519185163e-32,1.3986933139095866e-20,7.6252826385486608e-76,1.219162865115365e-20,3.614460972179012e-49,2.8068176696747528e-38,2.4018448035483621e-50,2.230241915246331e-73,8.3617703595160928e-32,7.3092031691029574e-59,7.4116681516640807e-10,2.1618752380050947e-10,4.8994292507458248e-15,8.4644180187668105e-21,4.8994225816324741e-15
3.1584008893101424e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362431645549,0.099999999006306114,0.099999999855078001,5.0991271842163017e-89,2.870520382572191e-37,1.2669904663771437e-29,2.184413398818808e-49,1.7484470734839346e-32,3.8754354997852619e-32,1.9414666522245855e-20,2.9519226697033101e-75,1.634540061400175e-20,8.3739867126009848e-49,7.6057723683526743e-38,5.1585107005587657e-50,5.7581293811145781e-73,1.6691722934622596e-31,1.9985549913876766e-58,9.9368732639671957e-10,2.8984407263931138e-10,6.5687005537858819e-15,1.4239261336618305e-20,6.5686893837904056e-15
3.961028688732589e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362399027508,0.099999998753783931,0.099999999818249724,1.7661931350762837e-88,6.2972551123175453e-37,1.930965210708958e-29,4.0120455109176419e-49,3.2539843952920254e-32,6.0375318247061083e-32,2.5175284801016171e-20,8.3378962080842895e-75,2.0499173459294412e-20,1.6438564449743899e-48,1.6686873833100084e-37,9.4744793800593657e-50,1.2255301198273687e-72,2.8928147461478344e-31,4.4862968636524251e-58,1.2462078237883617e-09,3.635006212985437e-10,8.2379732004489378e-15,2.135617905212161e-20,8.2379565203809142e-15
4.7636564881550354e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362366409477,0.099999998501261775,0.099999999781421448,5.2392245287128444e-88,1.2222204181516342e-36,2.7419695035259023e-29,6.7164965723514755e-49,5.4817421254654359e-32,8.7633120998930779e-32,3.1290649954480521e-20,2.0520033822047545e-74,2.4652947244985061e-20,2.9211702075014566e-48,3.2389390078281446e-37,1.5861063421496844e-49,2.3358834069722115e-72,4.6022658683062499e-31,8.9961614665272347e-58,1.4987283064325007e-09,4.3715716976648554e-10,9.9072472789751221e-15,2.983650511851688e-20,9.9072240801722621e-15
6.368912086999929e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362301173411,0.099999997996217518,0.099999999707764894,4.106902264335939e-87,3.7351634854431812e-36,4.8141735157833716e-29,1.6005485164664288e-48,1.2943910329049605e-31,1.6123804510381427e-31,4.4605402057094712e-20,1.1091955569080269e-73,3.2960497689995383e-20,7.7908331485612527e-48,9.8991794654161325e-37,3.7797088514540321e-49,7.2551895176304627e-72,9.9104161698129313e-31,3.137339247140627e-57,2.0037692266560062e-09,5.8447026611821045e-10,1.3245799811450948e-14,5.0575868783976839e-20,1.3245760880485916e-14
7.974167685844822e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362235937339,0.099999997491173317,0.099999999634108341,1.7344363270349254e-86,8.71807634027871e-36,7.4860516511731727e-29,3.1743156403752194e-48,2.5178351603421611e-31,2.62045272612604e-31,5.9361990156353389e-20,3.8033507931741088e-73,4.1268051957160625e-20,1.6840507597954999e-47,2.3106184003409178e-36,7.4961732224205784e-49,1.7488045518756631e-71,1.8088697434327783e-30,8.2160678491409846e-57,2.5088100869398184e-09,7.3178336169332289e-10,1.6584358163582837e-14,7.6000787259324805e-20,1.6584300256733875e-14
1.1184678883534609e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934362105465233,0.099999996481085096,0.099999999486795249,2.081063539095799e-85,3.2395853721586932e-35,1.4637482984059796e-28,9.4085849989925744e-48,7.0095275797682616e-31,5.5969410372856705e-31,9.3204774156652322e-20,3.1451593716135127e-72,5.7883171968809065e-20,5.8321678030767647e-47,8.586416171438755e-36,2.2218453050230862e-48,7.3483184108023307e-71,4.5565810218852283e-30,4.0665546476033482e-56,3.5188916275185004e-09,1.0264095505137458e-09,2.3261492343296829e-14,1.3855324519998107e-19,2.3261389111653983e-14
1.760570127891418e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361844521089,0.099999994460909389,0.099999999192169065,6.0881910093323411e-84,1.8612602411857629e-34,3.621606644552198e-28,4.3672064589674067e-47,2.8100442833618546e-30,1.6313479793623126e-30,1.7820976478576198e-19,6.4063556664640287e-71,9.1113457903953773e-20,3.4635260240663441e-46,4.9332335429032085e-35,1.0313195017022064e-47,5.6807845813669166e-70,1.5704498090253491e-29,4.0883718146660466e-55,5.5390539886825801e-09,1.6156619188495688e-09,3.661583060810345e-14,2.9931121714740613e-19,3.6615618393295938e-14
3.0447746069673326e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361322633095,0.099999990420560819,0.099999998602916709,3.6011504964213473e-82,1.4186839077280338e-33,1.0883860271466305e-27,3.048078337218249e-46,1.5046760721810153e-29,6.4255452130036129e-30,4.1750194400168152e-19,2.8551386684462883e-69,1.5757421343352964e-19,3.415216545199696e-45,3.7600869744844451e-34,7.1980628308158013e-47,7.3356835367268366e-69,6.6951899208660158e-29,7.5489866832671623e-54,9.5793758308800948e-09,2.794166618335933e-09,6.3324786773997919e-14,7.0728952723545791e-19,6.3324339412325614e-14
5.6131835651191614e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934360278858268,0.09999998233987524,0.099999997424412082,3.1673306838517827e-80,1.2084154726813014e-32,3.7482420202319802e-27,2.9066498220736555e-45,9.6920172609005797e-29,3.2562450264020505e-29,1.17322211999101e-18,2.352164240797325e-67,2.9049645915072653e-19,5.0733224260556034e-44,3.2026138290131753e-33,6.8640782678995988e-46,1.3558036452969078e-67,3.109617658956868e-28,2.1830983751931704e-52,1.7660007994698761e-08,5.1511758687905937e-09,1.1674381765194096e-13,1.6707385734377502e-18,1.1674302963924403e-13
1.075000148142282e-13,0.09977366400000001,0.80000000000000004,0.0,0.28934358191313286,0.099999966178550143,0.099999995067403119,3.4993432473561476e-78,1.0358510041818063e-31,1.4127899939127021e-26,3.4374271854182419e-44,6.9290446162055516e-28,1.9859453045220216e-28,3.7932524522786682e-18,3.0386435094074523e-65,5.5634388937169796e-19,1.019187689430499e-42,2.7450384478372311e-32,8.1175137093459932e-45,3.1799190020393627e-66,1.4568000818871208e-27,8.6626080494010097e-51,3.38212262399952e-08,9.8651937760587013e-09,2.2358635356233855e-13,3.7441378540299014e-18,2.2358584633328473e-13
1.588681939772648e-13,0.09977366400000001,0.80000000000000004,0.0,0.28934356103774528,0.09999995001728651,0.099999992710394586,3.2135740984320757e-77,3.3949755590912026e-31,3.1554874216107333e-26,1.3415215684745722e-43,2.129785340715645e-27,5.7840170997102402e-28,7.8914591752986304e-18,3.015764637445514e-64,8.2219523816887826e-19,5.4369302333646851e-42,8.9964075571557782e-32,3.1680147222912834e-44,1.604451388657619e-65,3.5568479620035979e-27,5.62403858189233e-50,4.9982383042313812e-08,1.457921089232215e-08,3.304348549543685e-13,5.8622469060241333e-18,3.3043606193209295e-13
2.6160455230333795e-13,0.09977366400000001,0.80000000000000004,0.0,0.28934351928715668,0.099999917694943499,0.099999987996378645,1.4759910322074881e-75,1.5993897368181952e-30,8.9820542628598642e-26,9.3369383901686127e-43,9.5231302735210414e-27,2.4479703196514028e-27,2.0522826902334802e-17,2.0271861281642976e-62,1.3539096929653545e-18,6.2182528980739234e-41,4.2377521100245118e-31,2.204926161275969e-43,1.9267189020418693e-64,1.1106210977348577e-26,1.0988294340574841e-48,8.2304512319125101e-08,2.4007242750349631e-08,5.4414975374532631e-13,1.0052912066799178e-17,5.4415886969790054e-13
3.6434091062941113e-13,0.09977366400000001,0.80000000000000004,0.0,0.28934347753681688,0.099999885372846209,0.099999983282364299,1.0978881267891305e-74,4.286579595359576e-30,1.8165790879122468e-25,3.1402767029332781e-42,2.5015243044860067e-26,6.2837709644652648e-27,3.906790583020126e-17,1.6898151869680704e-61,1.885639825556784e-18,2.7936762969785164e-40,1.1356786289530896e-30,7.4157912424347104e-43,8.5126429655104241e-64,2.3602645599169872e-26,6.0465051329200142e-48,1.1462639582674454e-07,3.3435271442817084e-08,7.5788851341527117e-13,1.4233251600801273e-17,7.5791146237726787e-13
