Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52),CH4OX(60),C2H4X(65),C2H4(47),C2H5X(51)
4.849586815997513e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108082877823475,0.11309114087450414,0.022368638918779861,0.0,1.0489888269201358e-08,1.1786499573938356e-07,8.6583899589669294e-07,1.9001009909152867e-12,1.4096518009177994e-24,6.4276682208005588e-07,3.570203827655614e-21,4.9815435812493248e-09,2.5471413086090412e-16,8.2551359918368381e-12,4.5355661702733788e-18,2.2108769930994395e-20,1.954374771929571e-10,2.4822212448725824e-16,0.005577146748525128,0.00090497430904242545,1.8643518495479377e-08,6.4840185843519312e-09,4.4356253272972963e-06,6.4388952554712931e-13,2.1762560675064905e-12,2.1867411186428105e-08,1.2916424397239672e-07,4.3150012582279914e-13,1.5757152381034257e-09,1.1056462371867453e-10,7.0627067501489709e-13,4.6992121308112367e-15,1.4175347044409364e-16,7.4717427294554791e-23,9.8024047695604949e-20,3.5814197288923818e-18
4.8539778610943125e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3310794316344301,0.11309054869910955,0.022368237551150475,0.0,1.0539781374047789e-08,1.183189283876523e-07,8.6747113015608461e-07,1.9058130465833746e-12,1.4156101646921724e-24,6.4377800670439739e-07,3.58651617199187e-21,4.9871526313811828e-09,2.5555418856574543e-16,8.2886939106705703e-12,4.550026783248767e-18,2.2174445431988523e-20,1.9606753420456715e-10,2.4922548990342112e-16,0.0055777362476810725,0.00090577534593626243,1.8658601369015214e-08,6.4993423289915662e-09,4.4421787985129479e-06,6.4680335379258771e-13,2.179838253484264e-12,2.1897668014636874e-08,1.2915160089371978e-07,4.3199564781541261e-13,1.5819702193449441e-09,1.107373624992264e-10,7.075991359077953e-13,4.7135297519255676e-15,1.4232919613053156e-16,7.5019134685502208e-23,9.8421457232842764e-20,3.5921131152994871e-18
4.858368906191112e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107803635098676,0.11308995836236424,0.022367836194107982,0.0,1.0589866346817095e-08,1.187741822535967e-07,8.6910454871435281e-07,1.9115386924168983e-12,1.4215876817567724e-24,6.4478993190288075e-07,3.6028918278822363e-21,4.9927648056977862e-09,2.5639643202085164e-16,8.3223583037722905e-12,4.5645194017252657e-18,2.2240244377672885e-20,1.9669903443309879e-10,2.5023216330793096e-16,0.005578323906119521,0.00090657636015719658,1.8673684674743595e-08,6.5146872063092874e-09,4.4487352156905798e-06,6.497279730347534e-13,2.183425684247206e-12,2.1927938147907215e-08,1.2913898713152133e-07,4.3249163626998293e-13,1.5882440476952779e-09,1.1091022361079411e-10,7.0892863728756605e-13,4.7278818631408303e-15,1.4290674662000908e-16,7.5321835703875306e-23,9.8820180629025448e-20,3.6028316538763913e-18
4.862759951287911e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107664292227984,0.1130893698586463,0.022367434847647562,0.0,1.0640143738009317e-08,1.1923075979783343e-07,8.7073925161985729e-07,1.9172779529259096e-12,1.4275843955708895e-24,6.4580259759030332e-07,3.6193309997681133e-21,4.9983801052912402e-09,2.5724086551755375e-16,8.3561294095775987e-12,4.5790440713726836e-18,2.2306166865478818e-20,1.9733197971351061e-10,2.5124215330510481e-16,0.0055789097294624453,0.00090737735171428531,1.8688768412367791e-08,6.5300532173415537e-09,4.4552945727992515e-06,6.5266341334571929e-13,2.1870174965973076e-12,2.1958221575314815e-08,1.2912640268516047e-07,4.3298761317339175e-13,1.5945367599923664e-09,1.1108320703190594e-10,7.1025917919036448e-13,4.7422685274113347e-15,1.4348612599291923e-16,7.5625532894363447e-23,9.9220221310332527e-20,3.6135753890612115e-18
4.86715099638471e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107525134270149,0.11308878318235104,0.022367033511764396,0.0,1.0690614099071853e-08,1.1968866348202141e-07,8.7237523892103543e-07,1.9230308526508366e-12,1.4336003496607476e-24,6.4681600368145846e-07,3.6358338926249573e-21,5.0039985312465235e-09,2.5808749335302841e-16,8.390007466802186e-12,4.5936008379065131e-18,2.2372212992843644e-20,1.9796637188048012e-10,2.5225546851615186e-16,0.0055794937233146404,0.00090817832061655332,1.8703852581582601e-08,6.5454403649932903e-09,4.4618568638009479e-06,6.5560970458592062e-13,2.1906144961799449e-12,2.1988518283675789e-08,1.2911384755356044e-07,4.3348402337526151e-13,1.6008483930937862e-09,1.1125631274109078e-10,7.1159076165313915e-13,4.7566898077704144e-15,1.4406733833443932e-16,7.5930228876801003e-23,9.9621582709686218e-20,3.6243443653443939e-18
4.8715420414815094e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107386160666097,0.11308819832789077,0.022366632186453683,0.0,1.0741277982401823e-08,1.2014789576885418e-07,8.7401251066817186e-07,1.928797416162493e-12,1.4396355876195726e-24,6.4783015009113499e-07,3.6524007119632631e-21,5.009620084641484e-09,2.5893631983029969e-16,8.4239927144427394e-12,4.6081897470878559e-18,2.2438382857210732e-20,1.9860221276840312e-10,2.5327211757919314e-16,0.0055800758932637836,0.00090897926687299817,1.8718937182089793e-08,6.560848650426968e-09,4.4684220826564706e-06,6.5856687690190795e-13,2.1942159424941102e-12,2.2018828261659792e-08,1.2910132173430584e-07,4.3398045344352355e-13,1.6071789838766378e-09,1.1142954071687817e-10,7.1292338471362988e-13,4.7711457673304491e-15,1.4465038773452664e-16,7.6235926211636037e-23,1.0002426826675915e-19,3.6351386272698654e-18
4.8759330865783086e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107247370858484,0.11308761528969496,0.022366230871710628,0.0,1.0792135941343495e-08,1.2060845912205257e-07,8.7565106691173196e-07,1.9345776680620928e-12,1.4456901531076667e-24,6.4884503673411724e-07,3.6690316638296019e-21,5.0152447665468441e-09,2.5978734925824347e-16,8.4580853917757621e-12,4.6228108447233379e-18,2.2504676556029567e-20,1.9923950421138707e-10,2.5429210914928392e-16,0.005580656244880482,0.00090978019049258504,1.8734022213583452e-08,6.5762780762920861e-09,4.4749902233201854e-06,6.615349602717951e-13,2.1978225267666149e-12,2.2049151495920717e-08,1.2908882522456098e-07,4.3447728780822917e-13,1.6135285692374391e-09,1.1160289093779815e-10,7.1425704841035449e-13,4.7856364692829073e-15,1.4523527828791603e-16,7.6542627523624725e-23,1.0042828142798332e-19,3.6459582194339838e-18
4.880324131675108e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33107108764291654,0.11308703406221005,0.022365829567530474,0.0,1.0843188530190394e-08,1.2107035600635699e-07,8.772909077038884e-07,1.9403716329812681e-12,1.4517640898524872e-24,6.4986066352518504e-07,3.6857269548076893e-21,5.0208725780262016e-09,2.6064058595159115e-16,8.4922857383583496e-12,4.6374641766650408e-18,2.2571094186755814e-20,1.9987824804324977e-10,2.5531545189843549e-16,0.0055812347837183316,0.00091058109148425207,1.874910767576398e-08,6.5917286438387873e-09,4.4815612797447506e-06,6.6451398492025848e-13,2.2014336150239081e-12,2.2079487974741718e-08,1.2907635802017819e-07,4.3497416951011385e-13,1.6198971860920161e-09,1.1177636338238143e-10,7.1559175278260204e-13,4.800161976898389e-15,1.4582201409411706e-16,7.6850335388179646e-23,1.0083362564655892e-19,3.6568031864865868e-18
4.884715176771907e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33106970340411657,0.11308645463989947,0.022365428273908448,0.0,1.0894436304183191e-08,1.2153358888752014e-07,8.7893203309708068e-07,1.9461793355820874e-12,1.4578574416487259e-24,6.5087703037911341e-07,3.7024867920194822e-21,5.0265035201360277e-09,2.6149603423093323e-16,8.5265939940271746e-12,4.6521497888104351e-18,2.2637635846851414e-20,2.0051844609751319e-10,2.563421545156394e-16,0.005581811515313965,0.00091138196985690568,1.8764193568324757e-08,6.6072003554971224e-09,4.4881352458769223e-06,6.6750398093923465e-13,2.205049800151715e-12,2.2109837684600359e-08,1.2906392011660584e-07,4.3547143068760875e-13,1.6262848713753961e-09,1.1194995802915929e-10,7.1692749787042223e-13,4.8147223535266782e-15,1.464105992574112e-16,7.7159052435808645e-23,1.0124030438246391e-19,3.6676735731300475e-18
4.889106221868706e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33106832098666233,0.11308587701724356,0.022365026990839806,0.0,1.0945879819511457e-08,1.2199816023229966e-07,8.8057444314533299e-07,1.95200080055707e-12,1.4639702523583917e-24,6.5189413721067337e-07,3.7193113831262661e-21,5.0321375939256778e-09,2.6235369842272423e-16,8.5610103988991348e-12,4.6668677271023039e-18,2.2704301633784607e-20,2.011601002074018e-10,2.573722257068901e-16,0.0055823864451871041,0.00091218282561942438,1.8779279890964826e-08,6.6226932125717811e-09,4.4947121156613171e-06,6.7050497863490098e-13,2.2086705392324414e-12,2.2140200613412535e-08,1.2905151150800453e-07,4.3596876299317408e-13,1.6326916620416987e-09,1.1212367485666355e-10,7.1826428371461701e-13,4.8293176625967832e-15,1.4700103788684938e-16,7.7468781256152744e-23,1.0164832110246328e-19,3.6785694241202261e-18
