Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52)
2.022829057502225e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727579589541,0.11866996503699156,0.022821567678620203,0.0,1.9440916526404814e-42,1.6995111317846023e-19,0.0,2.4177005884330222e-29,0.0,1.7853096399853811e-11,3.6880734635578637e-57,1.7853075119238172e-11,3.8311734526987169e-39,1.7048686530280526e-51,0.0,0.0,4.5015060795542439e-34,1.7776614464676649e-44,9.7500512848614486e-10,2.8868169834530722e-11,1.1556929140874803e-13,1.155483316077112e-13,1.9085574673763381e-20,1.6468556606838213e-27,2.6984819884029076e-49,4.964583440757494e-38
2.6971054114914853e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727546119404,0.11866996470600032,0.02282156767380884,0.0,4.8577556395747145e-42,2.8904232696062087e-19,0.0,5.2872316085728667e-29,0.0,2.3804136151852412e-11,1.3926140223026757e-56,2.3804099960186624e-11,9.9345023559550151e-39,5.4713790915308517e-51,0.0,0.0,9.4186563785479148e-34,5.339482202397737e-44,1.3000068142542873e-09,3.8490892248698907e-11,1.5409250730935079e-13,1.5405686126726065e-13,3.2458511803949009e-20,3.4457726156141567e-27,9.2238930820588878e-49,1.2873522278684016e-37
3.3713817654807457e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072751264926,0.1186699643750091,0.022821567668997483,0.0,1.030625797728128e-41,4.4159135877122768e-19,0.0,9.919552792356353e-29,0.0,2.9755179978559439e-11,4.2597196096893911e-56,2.9755124687573488e-11,2.1721520225346009e-38,1.429654133410642e-50,0.0,0.0,1.7146303862619969e-33,1.3322812521647194e-43,1.6250084869241678e-09,4.8113613916189338e-11,1.926157868021582e-13,1.9256132940847646e-13,4.9587626865540728e-20,6.2728968234798232e-27,2.586712431285526e-48,2.8147625868508266e-37
4.7199344734592664e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727445708979,0.1186699637130267,0.022821567659374761,0.0,3.775892610877688e-41,8.4916449520284513e-19,0.0,2.7141611731915652e-28,0.0,4.1657280109541204e-11,3.769598757047514e-55,4.1657173794529175e-11,8.3550164488958779e-38,7.9975082400929412e-50,0.0,0.0,4.527129767969496e-33,7.3094827636125629e-43,2.2750117921463884e-09,6.7359053903831514e-11,2.6966254055887057e-13,2.6955782852486248e-13,9.5347909343099149e-20,1.6562293596156722e-26,2.0661185299554961e-47,1.0826792961981947e-36
6.068487181437787e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727378768704,0.11866996305104435,0.022821567649752048,0.0,9.8047114018292573e-41,1.3926275487595034e-18,0.0,5.7217646947488234e-28,0.0,5.3559396784488613e-11,1.5579517956861209e-54,5.3559222440251091e-11,2.2192968020461586e-37,2.6436806640462293e-49,0.0,0.0,9.385873329649674e-33,2.4156455916907251e-42,2.9250150441696307e-09,8.6604488498542152e-11,3.467095525972115e-13,3.4653783725306187e-13,1.5635862509128727e-19,3.4337774187467067e-26,8.3866219697220808e-47,2.8758663713710485e-36
7.417039889416307e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727311828445,0.11866996238906206,0.022821567640129336,0.0,2.0989038859685376e-40,2.0719661883152462e-18,0.0,1.0359565420233131e-27,0.0,6.5461529998270485e-11,4.7632499438394358e-54,6.5461270624787853e-11,4.8128457176226013e-37,6.8094739428518008e-49,0.0,0.0,1.6839522990544606e-32,6.1986039245787191e-42,3.5750182429995066e-09,1.0584991627113378e-10,4.2375682288994792e-13,4.2350136072173853e-13,2.3261489400480213e-19,6.1606587947627024e-26,2.5165979551088067e-46,6.2367163851840458e-36
8.765592597394828e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727244888186,0.1186699617270798,0.022821567630506627,0.0,3.967473147620474e-40,2.8871756302755197e-18,0.0,1.6982834256268298e-27,0.0,7.7363679746816038e-11,1.2201133127118999e-53,7.7363318348155739e-11,9.1728884636206912e-37,1.5056371621222604e-48,0.0,0.0,2.7453539644581967e-32,1.35992572970195e-41,4.2250213886378876e-09,1.2509533574899639e-10,5.0080435142799337e-13,5.0044840300313045e-13,3.2411280886634944e-19,1.0043744094913487e-25,6.2949363183640601e-46,1.1886688711266785e-35
1.146269801335187e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727111007701,0.11866996040311548,0.022821567611261223,0.0,1.1063267349830922e-39,4.9252041381298043e-18,0.0,3.7501316505893339e-27,0.0,1.0116802883494614e-10,5.730218447704221e-53,1.0116741241139417e-10,2.5822671882258087e-36,5.4691211510144789e-48,0.0,0.0,6.0256744225016979e-32,4.8268020405823891e-41,5.5250275203412616e-09,1.6358614436748636e-10,6.549001832347426e-13,6.5429305726750231e-13,5.5282078784545251e-19,2.2044629203941015e-25,2.7891542188521602e-45,3.3462423186403578e-35
1.4159803429308911e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230726977127245,0.11866995907915136,0.022821567592015844,0.0,2.490894860650859e-39,7.5067066089020378e-18,0.0,7.0122862474246406e-27,0.0,1.2497244402016307e-10,1.8793151957582903e-52,1.2497150462998827e-10,5.8436738416844905e-36,1.5019574177417971e-47,0.0,0.0,1.1232521132603297e-31,1.3024142614137575e-40,6.8250334392822835e-09,2.0207690255842151e-10,8.0899704800522053e-13,8.0807182878641194e-13,8.4245485303433066e-19,4.1093603683786002e-25,8.8348786097072591e-45,7.5725737498634496e-35
1.685690884526595e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230726843246821,0.11866995775518745,0.022821567572770495,0.0,4.8985606165795314e-39,1.0631680109069868e-17,0.0,1.1784287882104819e-26,0.0,1.4877692527272205e-10,5.0428104908565112e-52,1.4877559500394795e-10,1.1527661369592791e-35,3.4799165993637966e-47,0.0,0.0,1.884271612137622e-31,2.9775597607894073e-40,8.1250391454621104e-09,2.405675979052491e-10,9.6309494573389992e-13,9.6178474733191125e-13,1.1929862826774959e-18,6.893508837394523e-25,2.310973153655811e-44,1.493826182061843e-34
