Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25)
2.696664193874827e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105013258463748,0.099964874582787966,0.0,0.099965570001933096,0.0,3.0048924919280252e-26,0.0,3.8746005402597695e-22,0.0,2.5452609190823682e-13,4.2371535743588158e-43,3.9462975828273392e-23,8.4324388041071419e-32,0.0,0.0,0.0,0.0,0.0,3.5125416873786881e-05,3.4429998066942527e-05,3.3832200663440817e-13,8.3618155907640776e-14,4.2433291594848368e-17,3.0963833235101435e-17,8.3835281134145674e-30,1.2047011371501761e-25,4.5248522485990017e-28,3.5291298975315598e-34,1.2092309568475317e-46,2.3140692896685092e-32,4.0827327567283784e-27
2.7106354949479116e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105011937285625,0.099964874553966715,0.0,0.099965556818973206,0.0,3.0518353733062038e-26,0.0,3.9052125920873227e-22,0.0,2.5624465030775227e-13,4.3009164761597142e-43,3.9872725760242707e-23,8.5522203003745965e-32,0.0,0.0,0.0,0.0,0.0,3.5125445693301594e-05,3.4443181026830274e-05,3.4007490569609811e-13,8.3651174806514153e-14,4.2598652268286445e-17,3.1294178648567475e-17,8.5240574262007603e-30,1.2152934398902302e-25,4.6007775779047014e-28,3.5568550455786408e-34,1.2291030504966927e-46,2.3595261808120366e-32,4.1040417034380846e-27
2.724606796020996e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105010643311345,0.099964874526850697,0.0,0.099965543906346488,0.0,3.0992646126517057e-26,0.0,3.935848571754048e-22,0.0,2.579638736243784e-13,4.3652036178147254e-43,4.0284589840797727e-23,8.6729393046068788e-32,0.0,0.0,0.0,0.0,0.0,3.5125472807587027e-05,3.445609365354508e-05,3.4182780604151117e-13,8.3683528404007551e-14,4.2762926048747896e-17,3.1625804653950626e-17,8.6661580375904928e-30,1.2258977048903862e-25,4.6775102021051057e-28,3.5845999961357393e-34,1.2491582762493165e-46,2.405597031148634e-32,4.1253506716343954e-27
2.7385780970940803e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105009375976877,0.09996487450134306,0.0,0.099965531258509405,0.0,3.1471827161854084e-26,0.0,3.966508006254662e-22,0.0,2.5968374831588057e-13,4.4300152323761929e-43,4.0698568037126723e-23,8.7945964765483642e-32,0.0,0.0,0.0,0.0,0.0,3.5125498313462325e-05,3.4468741490611894e-05,3.4358070766226033e-13,8.3715230250200649e-14,4.2926117461056814e-17,3.1958702823987995e-17,8.8098387485528428e-30,1.2365136985772853e-25,4.755053234394589e-28,3.6123643315555759e-34,1.2693967854025412e-46,2.4522861965419295e-32,4.1466596611553417e-27
2.7525493981671646e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410500813473008,0.099964874477352431,0.0,0.099965518870032147,0.0,3.1955921901213788e-26,0.0,3.9971904318579912e-22,0.0,2.6140426111583655e-13,4.4953515445217321e-43,4.1114660316408362e-23,8.9171924619621608e-32,0.0,0.0,0.0,0.0,0.0,3.5125522302327941e-05,3.4481129967878498e-05,3.4533361054999039e-13,8.3746293619198572e-14,4.3088231074190119e-17,3.2292864766744824e-17,8.9551083600370375e-30,1.2471411918079648e-25,4.8334097674561701e-28,3.6401476426503531e-34,1.2898187245988088e-46,2.4995980327198408e-32,4.1679686718393628e-27
2.766520699240249e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105006919030494,0.099964874454792546,0.0,0.099965506735596163,0.0,3.2444955406668283e-26,0.0,4.0278953939325532e-22,0.0,2.6312539902801899e-13,4.5612127707836556e-43,4.1532866645811736e-23,9.0407278929134621e-32,0.0,0.0,0.0,0.0,0.0,3.5125544860467298e-05,3.4493264403846531e-05,3.4708651469637869e-13,8.3776731514752654e-14,4.3249271499323263e-17,3.2628282125949813e-17,9.1019756729721363e-30,1.2577799597926829e-25,4.9125828735480882e-28,3.6679495285291407e-34,1.3104242359405671e-46,2.5475368952475746e-32,4.1892777035253338e-27
2.7804920003133333e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105005728349019,0.099964874433581957,0.0,0.099965494849992051,0.0,3.2938952740220794e-26,0.0,4.0586224467750858e-22,0.0,2.6484714932089224e-13,4.6275991197731339e-43,4.1953186992496445e-23,9.1652033880474233e-32,0.0,0.0,0.0,0.0,0.0,3.5125566069331674e-05,3.4505150007954892e-05,3.488394200931357e-13,8.3806556675766966e-14,4.3409243387924043e-17,3.2964946581315646e-17,9.2504494882667596e-30,1.2684297820187907e-25,4.9925756045911638e-28,3.6957695964380972e-34,1.3312134571026883e-46,2.5961071395017396e-32,4.2105867560525995e-27
2.7944633013864177e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105004562167703,0.099964874413643712,0.0,0.09996548320811717,0.0,3.3437938963805286e-26,0.0,4.0893711534420292e-22,0.0,2.6656949952222147e-13,4.6945107923991418e-43,4.2375621323612604e-23,9.2906195528617073e-32,0.0,0.0,0.0,0.0,0.0,3.5125586005809423e-05,3.4516791882816142e-05,3.5059232673200564e-13,8.3835781581692509e-14,4.3568151429893257e-17,3.3302849848844733e-17,9.4005386068087997e-30,1.2790904421756637e-25,5.0733909922569226e-28,3.7236074616034876e-34,1.3521865214426309e-46,2.6453131206455327e-32,4.231895829260995e-27
2.808434602459502e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105003419979501,0.099964874394905298,0.0,0.099965471804973588,0.0,3.3941939139286037e-26,0.0,4.120141085583893e-22,0.0,2.6829243741379177e-13,4.7619479820823505e-43,4.2800169606300896e-23,9.4169769799737515e-32,0.0,0.0,0.0,0.0,0.0,3.512560474247999e-05,3.4528195026407234e-05,3.5234523460476601e-13,8.3864418457811635e-14,4.372600035175125e-17,3.3641983681120786e-17,9.5522518294651546e-30,1.2897617280806731e-25,5.1550320480564571e-28,3.7514627470774606e-34,1.373343558108379e-46,2.6951591936049807e-32,4.2532049229908859e-27
2.8224059035325864e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105002301288003,0.099964874377298146,0.0,0.099965460635665776,0.0,3.4450978328457352e-26,0.0,4.1509318232824847e-22,0.0,2.7001595102623395e-13,4.8299108749639974e-43,4.3226831807692591e-23,9.5442762493828733e-32,0.0,0.0,0.0,0.0,0.0,3.5125622347854037e-05,3.4539364334215042e-05,3.5409814370322957e-13,8.389247928041468e-14,4.388279491486936e-17,3.3982339867586391e-17,9.7055979570814785e-30,1.3004434316062125e-25,5.2375017634299828e-28,3.7793350835865482e-34,1.3946846921441835e-46,2.7456497130461922e-32,4.2745140370831802e-27
2.8363772046056707e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410500120560724,0.099964874360757669,0.0,0.099965449695398639,0.0,3.4965081593043139e-26,0.0,4.181742954890967e-22,0.0,2.7174002863395698e-13,4.8983996501098676e-43,4.365560789490964e-23,9.67251792872729e-32,0.0,0.0,0.0,0.0,0.0,3.5125638886600043e-05,3.4550304601338218e-05,3.5585105401924323e-13,8.3919975781871442e-14,4.4038539913745389e-17,3.4323910234807075e-17,9.8605857904819089e-30,1.3111353486077614e-25,5.3208031098370392e-28,3.8072241093828627e-34,1.416210044594139e-46,2.7967890333535915e-32,4.2958231713793575e-27
