Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),COX(50),H2X(49),CO2X(24),CHOX(53)
1.5052780678803477e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32608111899677095,0.10092338724654018,8.1460107966653409e-05,0.0014814585988504629,0.024994418940414959,0.00030181426719834068,0.011172044590646356,3.6255261812980517e-10,1.2118000527014171e-13,2.3608313192059218e-07,1.0269888878610653e-19,8.3854370741325429e-08,1.2928119941848049e-16,1.0793707890032765e-08,1.2095976917895324e-12,1.5231941343454015e-13,2.0954036157001137e-07,1.3755424625252203e-13,0.0050832844544761871,0.0063396358368739292,2.394904723123616e-09,4.7813055705547262e-05,1.9270290761673508e-13,4.3728632335117525e-09,1.6931440791584042e-07,4.9539980312184799e-07,9.356599849206854e-06,1.1135879400797353e-06,8.976697612456193e-09,4.5583328324119652e-06,1.8280154568767622e-09,4.8665490257146774e-11
1.5068074708807712e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32609644010052746,0.10091819837431047,8.0967775152210132e-05,0.0014826585731338123,0.025004341602940388,0.00030228779946213049,0.011176052595452695,3.6265009082742186e-10,1.2151541276916378e-13,2.3578047950899348e-07,1.027800301688157e-19,8.3915369717895121e-08,1.2918489425462936e-16,1.0795225821603523e-08,1.2109119173050781e-12,1.5256804206800159e-13,2.0919760513321969e-07,1.3773126464521957e-13,0.0050832618733749639,0.0063242867776348152,2.3891054856805172e-09,4.7852769835668685e-05,1.9234533406531428e-13,4.3764793995794254e-09,1.6932224050877469e-07,4.9458795998856108e-07,9.3603659378325044e-06,1.1140807198443784e-06,8.9803399584412475e-09,4.5656991712810826e-06,1.8277558581195913e-09,4.8723227635664199e-11
1.5098662768816181e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32612697865117313,0.10090785756530636,7.9991881983672769e-05,0.0014850512882569598,0.025024110337968402,0.00030323715696778467,0.011184038755582569,3.6284391803142367e-10,1.2218819589675954e-13,2.3517687247368232e-07,1.0294180088652687e-19,8.4037521872837459e-08,1.2899232151798288e-16,1.0798231258401426e-08,1.2135412489197894e-12,1.5306546174628382e-13,2.0851351403189793e-07,1.3808490514312342e-13,0.0050832168836937568,0.0062936920462805419,2.3775477733924395e-09,4.7932287044461599e-05,1.9163323011973674e-13,4.3837230484374409e-09,1.6933797315187596e-07,4.929676910838896e-07,9.3678713072413941e-06,1.1150626547564802e-06,8.9875987143065638e-09,4.5804670450418902e-06,1.8272355244233538e-09,4.8838750118177948e-11
1.5125514870147808e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32615367364058095,0.10089882020881441,7.914473444215248e-05,0.0014871438285826829,0.025041380674448228,0.00030407308885590958,0.01119101682864317,3.6301284899953725e-10,1.2278097450358848e-13,2.3464885278140358e-07,1.0308325248111941e-19,8.4144924352293026e-08,1.2882331622467681e-16,1.0800836382361956e-08,1.2158504170916408e-12,1.5350230502526858e-13,2.0791453977087115e-07,1.383949173397456e-13,0.0050831775764076294,0.0062669474432697526,2.3674463703208049e-09,4.8002190110910493e-05,1.9101143777041784e-13,4.3900944390938944e-09,1.6935185855081082e-07,4.9154907553019848e-07,9.3744306292866076e-06,1.1159206867543161e-06,8.9939424982558922e-09,4.5934699872457419e-06,1.8267775301259376e-09,4.894021572195738e-11
1.5152366971479436e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32618026266514488,0.10088982051520297,7.830642246967985e-05,0.0014892289682821452,0.025058572885620013,0.00030491139066162755,0.011197964492026431,3.6318064366590642e-10,1.2337578502594595e-13,2.3412257400123786e-07,1.0322418185179485e-19,8.4252485788867147e-08,1.2865436104258876e-16,1.0803410651683751e-08,1.2181605094608688e-12,1.5393931289136915e-13,2.0731702822549036e-07,1.3870452254930612e-13,0.0050831384420774988,0.0062403085314775225,2.357386604083756e-09,4.8072184898833091e-05,1.9039275687352135e-13,4.396477514760187e-09,1.6936581360947895e-07,4.9013397445459355e-07,9.3809626151485586e-06,1.1167750184369647e-06,9.0002598348330765e-09,4.6065093038172718e-06,1.8263184399602275e-09,4.9041731039310476e-11
1.5179219072811063e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32620674600535554,0.10088085833669888,7.7476855901522401e-05,0.0014913067238438423,0.025075687264059437,0.0003057520695155686,0.011204881879092771,3.6334730848172958e-10,1.2397263242027084e-13,2.3359803424555558e-07,1.0336459100898951e-19,8.4360206445537863e-08,1.2848546177872408e-16,1.0805954274475585e-08,1.2204715359688703e-12,1.5437648417618091e-13,2.0672098026068889e-07,1.3901372089878832e-13,0.0050830994785220091,0.0062137750321981794,2.3473683475467624e-09,4.8142271575428819e-05,1.8977717949609396e-13,4.4028723047578788e-09,1.693798385078441e-07,4.887223892831272e-07,9.3874673718830486e-06,1.1176256621174142e-06,9.0065508275589944e-09,4.6195851028730641e-06,1.8258582900944026e-09,4.9143296417125464e-11
1.520607117414269e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32623312394231263,0.10087193352591128,7.6655945464763992e-05,0.0014933771118381411,0.025092724101510755,0.00030659513257223531,0.011211769122717482,3.6351284986679559e-10,1.2457152165839832e-13,2.3307523160053726e-07,1.0350448196372825e-19,8.4468086585704787e-08,1.2831662418233825e-16,1.0808467457640119e-08,1.2227835065564865e-12,1.5481381771711557e-13,2.0612639669760941e-07,1.3932251252907635e-13,0.0050830606835810281,0.0061873466660956672,2.3373914735278708e-09,4.8212450308247883e-05,1.8916469770455185e-13,4.4092788384926591e-09,1.6939393342665625e-07,4.8731432134434393e-07,9.3939450062640201e-06,1.1184726300874341e-06,9.0128155796826956e-09,4.6326974929082221e-06,1.8253971163210256e-09,4.9244912202817398e-11
1.5232923275474317e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32625939675770432,0.10086304593583267,7.5843602769869336e-05,0.0014954401489157487,0.025109683688885585,0.00030744058700977062,0.011218626355291512,3.636772742095692e-10,1.2517245772761757e-13,2.3255416412651474e-07,1.036438567274948e-19,8.4576126473149451e-08,1.2814785394527777e-16,1.0810950406878198e-08,1.2250964311633751e-12,1.552513123573748e-13,2.055332783139769e-07,1.3963089759481659e-13,0.0050830220551154257,0.0061610231532239291,2.327455854804244e-09,4.8282721265164791e-05,1.885553035651504e-13,4.415697145457918e-09,1.6940809854767167e-07,4.8590977187010989e-07,9.4003956247829541e-06,1.1193159346173737e-06,9.0190541941808112e-09,4.6458465827927799e-06,1.824934954059869e-09,4.9346578744297146e-11
1.5259775376805945e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32628556473378756,0.10085419541983974,7.503974030232683e-05,0.0014974958518061908,0.025126566316261686,0.00030828844002972217,0.011225453708722286,3.6384058786727666e-10,1.2577544563072961e-13,2.3203482985830914e-07,1.0378271731210414e-19,8.4684326371995639e-08,1.279791567023209e-16,1.0813403326693205e-08,1.227410319727379e-12,1.5568896694592381e-13,2.0494162584446953e-07,1.3993887626427975e-13,0.005082983591006859,0.006134804213047052,2.3175613641185838e-09,4.8353084614351654e-05,1.8794898914486412e-13,4.4221272552873764e-09,1.6942233405517042e-07,4.8450874199645012e-07,9.4068193336484444e-06,1.1201555879559453e-06,9.0252667737570718e-09,4.6590324817681007e-06,1.8244718383606977e-09,4.9448296389940159e-11
1.5286627478137574e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32631162815336856,0.10084538183169443,7.4244271414363358e-05,0.0014995442373163051,0.025143372272881853,0.00030913869885680335,0.011232251314434496,3.6400279716599309e-10,1.2638049038610393e-13,2.3151722680556594e-07,1.0392106572957659e-19,8.4792686546669277e-08,1.2781053803151855e-16,1.0815826420395423e-08,1.2297251821838731e-12,1.5612678033746519e-13,2.0435143998108833e-07,1.4024644871922419e-13,0.0050829452891575522,0.0061086895644591596,2.3077078741854742e-09,4.8423540524251829e-05,1.8734574651138546e-13,4.4285691976992247e-09,1.6943664013438178e-07,4.8311123276435995e-07,9.4132162387855525e-06,1.120991602330055e-06,9.0314534208417127e-09,4.6722552994432014e-06,1.8240078039060725e-09,4.9550065488554523e-11
1.5313479579469203e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32633758729978335,0.10083660502554455,7.3457110316734803e-05,0.0015015853223287513,0.025160101847152821,0.00030999137073865009,0.01123901930337096,3.6416390840072994e-10,1.2698759702773483e-13,2.3100135295308653e-07,1.0405890399201391e-19,8.490120726185838e-08,1.2764200345453412e-16,1.0818219890106442e-08,1.2320410284651186e-12,1.5656475139241276e-13,2.0376272137352519e-07,1.4055361515475972e-13,0.0050829071474900803,0.0060826789258040508,2.2978952576976483e-09,4.8494089163553717e-05,1.8674556773318614e-13,4.4350230024527481e-09,1.694510169703628e-07,4.8171724512061978e-07,9.4195864458351688e-06,1.1218239899446127e-06,9.0376142375908564e-09,4.6855151457910014e-06,1.8235428850141541e-09,4.9651886389349618e-11
1.534033168080083e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32636344245687843,0.10082786485592489,7.2678172070588868e-05,0.0015036191238005309,0.025176755326644287,0.00031084646294557666,0.011245757805993416,3.6432392783552344e-10,1.2759677060529701e-13,2.3048720626115741e-07,1.0419623411147727e-19,8.5009888782473058e-08,1.2747355843698382e-16,1.0820583936763549e-08,1.2343578684996276e-12,1.5700287897686576e-13,2.0317547062952916e-07,1.408603757792123e-13,0.0050828691639471539,0.006056772014894617,2.2881233873321347e-09,4.8564730701163602e-05,1.8614844488090436e-13,4.4414886994644925e-09,1.6946546475129766e-07,4.8032677991863595e-07,9.4259300601537128e-06,1.1226527629823154e-06,9.0437493258861732e-09,4.6988121311445672e-06,1.8230771156414398e-09,4.9753759441905055e-11
1.536718378213246e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3263891939089919,0.10081916117775798,7.1907372579400357e-05,0.0015056456587615227,0.025193332998087913,0.00031170398277032528,0.011252466952283414,3.6448286170352443e-10,1.2820801618420073e-13,2.29974784665876e-07,1.0433305809986685e-19,8.5118731373605123e-08,1.2730520838877674e-16,1.0822918760124185e-08,1.236675712211511e-12,1.5744116196258254e-13,2.0258968831527188e-07,1.4116673081398984e-13,0.0050828313364914106,0.0060309685490320146,2.2783921357563311e-09,4.8635465306179035e-05,1.8555437002752401e-13,4.4479663187765511e-09,1.6947998366765879e-07,4.789398379192376e-07,9.4322471868125688e-06,1.1234779336034888e-06,9.0498587873343077e-09,4.7121463661932819e-06,1.8226105293855136e-09,4.9855684996137945e-11
