Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85)
1.381485840345446e-07,0.09977366400000001,0.80000000000000004,0.0,0.27371564740963039,0.095859634001182956,0.094249111379007725,3.5531662639176246e-28,3.8813571821707412e-06,1.1238378972403146e-06,7.7151170680016628e-18,5.3505499772303665e-10,1.0374075012593821e-09,1.7026329015518097e-05,1.427709544645249e-15,2.8206022499600412e-10,1.8027663420128842e-11,3.473314997233741e-10,5.6583424009057828e-16,5.2893129000394807e-21,1.5978161993934072e-09,1.1451568368003044e-13,0.0041232460729194505,0.011497617908924469,6.1121684753146793e-09,1.0473833201163052e-07,7.0030901864286509e-06,2.6783952395770485e-10,8.4993575251084117e-08
1.3824056796750228e-07,0.09977366400000001,0.80000000000000004,0.0,0.27370863859334171,0.095859718420748613,0.094245551633177466,3.5761120395723465e-28,3.8891540419872868e-06,1.1251573100088964e-06,7.7470334881150604e-18,5.365298417133935e-10,1.0391805904355551e-09,1.704359520828712e-05,1.4341400587490339e-15,2.8227793846660588e-10,1.8077298118314417e-11,3.4801999739896231e-10,5.6778532246879923e-16,5.3167870629910653e-21,1.6002809639564846e-09,1.1491515999275678e-13,0.0041231442946515562,0.011504729376486854,6.1149977116390704e-09,1.0479186151141643e-07,7.0021603771664651e-06,2.6828422545430112e-10,8.5077744134579216e-08
1.3833255190045996e-07,0.09977366400000001,0.80000000000000004,0.0,0.2737016304177638,0.095859802833365024,0.094241992204050676,3.599188229949081e-28,3.8969562443463986e-06,1.1264758473857694e-06,7.7790592205075668e-18,5.380076761706847e-10,1.0409554100387968e-09,1.7060866873230516e-05,1.4405948079931358e-15,2.824954523407527e-10,1.8127033193401396e-11,3.4870916556373541e-10,5.697417057849134e-16,5.3443838739798008e-21,1.6027471195668614e-09,1.1531573602560924e-13,0.0041230425178302964,0.011511840205323476,6.1178271888350545e-09,1.0484532020486279e-07,7.0012272066513249e-06,2.6872908010778809e-10,8.5161934595593272e-08
1.3842453583341764e-07,0.09977366400000001,0.80000000000000004,0.0,0.27369462288272689,0.095859887238983754,0.094238433091580268,3.6223954736520183e-28,3.9047637809093557e-06,1.1277935081440064e-06,7.8111945610006379e-18,5.3948850507312465e-10,1.0427319605088619e-09,1.7078144009905497e-05,1.4470738661890263e-15,2.827127667610877e-10,1.8176868778130324e-11,3.4939900410534561e-10,5.7170340059888967e-16,5.3721037916158315e-21,1.6052146651758727e-09,1.1571741400278528e-13,0.0041229407425045972,0.011518950395536619,6.1206569050715003e-09,1.0489870826690268e-07,7.0002906934017932e-06,2.6917408762594794e-10,8.5246146630192997e-08
1.3851651976637532e-07,0.09977366400000001,0.80000000000000004,0.0,0.27368761598806135,0.095859971637556649,0.094234874295719237,3.6457344119063428e-28,3.9125766433584573e-06,1.1291102910666374e-06,7.8434398060045156e-18,5.4097233240173016e-10,1.0445102422854107e-09,1.7095426617862857e-05,1.4535773073214342e-15,2.8292988187145179e-10,1.8226805005333789e-11,3.5008951291182679e-10,5.7367041748428849e-16,5.3999472758967612e-21,1.6076835997376074e-09,1.1612019615142649e-13,0.0041228389687230447,0.011526059947228514,6.1234868585299015e-09,1.0495202588094391e-07,6.9993508558594585e-06,2.6961924775600315e-10,8.5330380234412926e-08
1.3859930530603722e-07,0.09977366400000001,0.80000000000000004,0.0,0.27368131033024029,0.095860047590208539,0.094231671650106444,3.6668525872676837e-28,3.919612766337721e-06,1.1302946441497318e-06,7.8725547403228208e-18,5.423103439444144e-10,1.0461121765146513e-09,1.7110985642594496e-05,1.4594513130395243e-15,2.8312511518059973e-10,1.8271833768992858e-11,3.5071154382189342e-10,5.7544529180221819e-16,5.4251124425394179e-21,1.6099068275355159e-09,1.164836459949123e-13,0.0041227473736797846,0.011532457997900003,6.1260340179366512e-09,1.0499995165217844e-07,6.9985021749877756e-06,2.7002002213380292e-10,8.5406208916932784e-08
1.3868209084569911e-07,0.09977366400000001,0.80000000000000004,0.0,0.27367500519086035,0.095860123537079983,0.094228469260874873,3.6880784279014805e-28,3.9266531905306143e-06,1.131478284335048e-06,7.9017591547787688e-18,5.4365079034529298e-10,1.0477155137785708e-09,1.7126549098359292e-05,1.4653451831839262e-15,2.8332018727268272e-10,1.831694425768972e-11,3.5133411747503936e-10,5.7722449330088514e-16,5.4503784091884271e-21,1.6121311787815636e-09,1.168479936513928e-13,0.0041226557799613154,0.011538855531526511,6.1285813666463551e-09,1.0504782063901673e-07,6.9976508296725071e-06,2.7042091970085096e-10,8.5482055064670911e-08
1.3876487638536101e-07,0.09977366400000001,0.80000000000000004,0.0,0.27366870056979892,0.095860199478136565,0.094225267127990245,3.7094124067375706e-28,3.9336979099172859e-06,1.1326612107559609e-06,7.931053266681434e-18,5.4499367451234718e-10,1.049320254397485e-09,1.7142116984816446e-05,1.4712589720505056e-15,2.8351509825502776e-10,1.8362136568450398e-11,3.519572337904344e-10,5.790080297166792e-16,5.475745514076254e-21,1.6143566527189799e-09,1.1721324075057751e-13,0.0041225641876023586,0.011545252548182472,6.1311289033380379e-09,1.0509563297047897e-07,6.9967968332202984e-06,2.7082194026121941e-10,8.5557918674669681e-08
1.388476619250229e-07,0.09977366400000001,0.80000000000000004,0.0,0.27366239646693369,0.095860275413344145,0.09422206525141831,3.7308549984482739e-28,3.9407469184916827e-06,1.1338434225522776e-06,7.9604372937281843e-18,5.4633899935539509e-10,1.050926398691645e-09,1.7157689301620941e-05,1.4771927340495626e-15,2.8370984823573196e-10,1.8407410798361251e-11,3.5258089268749949e-10,5.8079590879492774e-16,5.501214096354135e-21,1.6165832485927846e-09,1.1757938892411276e-13,0.0041224725966374194,0.011551649047942293,6.1336766266795038e-09,1.0514338878106201e-07,6.9959401988875776e-06,2.7122308363589476e-10,8.5633799743950516e-08
1.389304474646848e-07,0.09977366400000001,0.80000000000000004,0.0,0.27365609288214265,0.095860351342668806,0.094218863631124777,3.7524066794487491e-28,3.9478002102615691e-06,1.1350249188702329e-06,7.9899114540047091e-18,5.4768676778609264e-10,1.0525339469812398e-09,1.717326604842357e-05,1.4831465237058408e-15,2.839044373236624e-10,1.8452767044568966e-11,3.5320509408590673e-10,5.825881382898956e-16,5.5267844960922111e-21,1.618810965649789e-09,1.1794643980558156e-13,0.0041223810071007883,0.011558045030880341,6.1362245353031751e-09,1.051910882053488e-07,6.9950809398859843e-06,2.7162434962789288e-10,8.5709698269513728e-08
