Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),C2H6X(52),C2H4X(205),C2H4X(65),CH4OX(60),C3H7(36)
4.632610794911818e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43911140232420942,0.10636187976647359,0.01987661917944351,0.0,0.0003643656033943943,0.0017401224800783262,0.0,0.00014006302825810081,0.0,0.0044306550097106684,1.4124582143767738e-10,0.00032667656835282425,5.9546849959843234e-09,6.0970321326046006e-06,0.0,0.0,3.3310031690510951e-05,2.2199476990665789e-06,0.0075784798940379721,0.0054847949283756223,9.6215435966163303e-05,1.2688148360233974e-06,2.1909176741157387e-08,4.3548531091674794e-08,3.5114928421880001e-06,3.4461291396231988e-05,1.6731443196643084e-08,3.81357403613227e-07,2.1240618220941336e-07,6.2117623935241195e-13,6.6995850962410383e-11,1.2622109367343687e-12
4.654300762419811e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43909211665663467,0.10634245797768918,0.019863931220234318,0.0,0.00036865232139053796,0.0017462825400907467,0.0,0.00014151845419255559,0.0,0.0044486011763821883,1.4368938728450573e-10,0.00032648662423532171,6.018038448172832e-09,6.1890798991571159e-06,0.0,0.0,3.3514551302150718e-05,2.2556520139175634e-06,0.0075767527424114309,0.0055055811466014626,9.6306704871168509e-05,1.2748844901135491e-06,2.1983878159964148e-08,4.3721380682542412e-08,3.5679786647061376e-06,3.4582629623923631e-05,1.6926196003515645e-08,3.8531384510974267e-07,2.1600530858607323e-07,6.3113914919708762e-13,6.8004321365716573e-11,1.2877052906877536e-12
4.6759907299278037e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43907287659506644,0.10632304642949121,0.019851252574687814,0.0,0.00037296570176787564,0.0017524116019754813,0.0,0.00014298005390441797,0.0,0.0044665202255950746,1.4615994188356029e-10,0.00032629702476785652,6.0816833716425383e-09,6.2819436370506125e-06,0.0,0.0,3.3718813400678902e-05,2.2917325633125366e-06,0.0075750272471759054,0.0055263215283241109,9.6397125934860039e-05,1.2809417650831457e-06,2.2058342707101051e-08,4.3893945230912988e-08,3.625059812478287e-06,3.4703344429701472e-05,1.7122131187976882e-08,3.8928689665181189e-07,2.1964466652252323e-07,6.4120651521147811e-13,6.9021675647456046e-11,1.313571728030525e-12
4.6976806974357967e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4390536820882886,0.10630364510497524,0.019838583232895196,0.0,0.00037730572046799752,0.0017585097021874368,0.0,0.00014444779882759752,0.0,0.0044844122241694444,1.4865758538940559e-10,0.00032610777023512033,6.1456186911874329e-09,6.3756241823236609e-06,0.0,0.0,3.3922813641801522e-05,2.3281910387938409e-06,0.0075733034057406711,0.0055470161210035562,9.648670463672295e-05,1.2869865851636265e-06,2.213257108247206e-08,4.4066225495479117e-08,3.6827389627432142e-06,3.4823436640455355e-05,1.7319247385745369e-08,3.9327647904453082e-07,2.2332445222678904e-07,6.5137879988524476e-13,7.0047922125270451e-11,1.3398134599555592e-12
4.7193706649437896e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43903453308436063,0.10628425398736947,0.019825923184961909,0.0,0.00038167235261940872,0.0017645768779266967,0.0,0.00014592166043497442,0.0,0.0045022772387932099,1.5118241686181246e-10,0.00032591886087528037,6.2098433314020735e-09,6.4701223302084061e-06,0.0,0.0,3.4126547751222077e-05,2.36502912529627e-06,0.0075715812155127621,0.0055676649728539388,9.6575446413444326e-05,1.2930188758765367e-06,2.2206563983950071e-08,4.4238222233420496e-08,3.7410187822830034e-06,3.4942907097384821e-05,1.7517543197465309e-08,3.9728251321896011e-07,2.2704486115285615e-07,6.6165646383661644e-13,7.1083068671853932e-11,1.3664337027090195e-12
4.7410606324517825e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43901542953062517,0.10626487306003383,0.01981327242100767,0.0,0.00038606557254518476,0.001770613167130422,0.0,0.00014740161024025982,0.0,0.0045201153360191074,1.5373453426829568e-10,0.00032573029688213133,6.274356216769918e-09,6.5654388353726058e-06,0.0,0.0,3.4330011523943771e-05,2.4022485011475783e-06,0.0075698606738970296,0.0055882681328363101,9.6663356659462441e-05,1.2990385640227834e-06,2.2280322107366871e-08,4.4409936200373067e-08,3.7999019274238292e-06,3.5061756655834853e-05,1.7717017189070563e-08,4.0130492023712124e-07,2.3080608800017132e-07,6.7203996581322571e-13,7.2127122717701171e-11,1.3934356774848236e-12
4.7627505999597755e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43899637137371395,0.1062455023064587,0.019800630931166498,0.0,0.00039048535377061484,0.0017766186084648241,0.0,0.00014888761979980648,0.0,0.0045379265822618519,1.563140344867676e-10,0.00032554207840714298,6.3391562717496892e-09,6.6615744121636796e-06,0.0,0.0,3.4533200823576176e-05,2.4398508380694934e-06,0.0075681417782961944,0.0056088256506514099,9.6750440727503924e-05,1.3050455776719509e-06,2.2353846146503854e-08,4.458136815039899e-08,3.8593910440375481e-06,3.5179986185132969e-05,1.7917667892147578e-08,4.0534362129685583e-07,2.3460832671321812e-07,6.8252976269308022e-13,7.3180091253876109e-11,1.4208226103199246e-12
4.784440567467768e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43897735855955566,0.106226141710264,0.019787998705586712,0.0,0.00039493166903083009,0.0017825932413172087,0.0,0.00015037966071437128,0.0,0.0045557110437953879,1.5892101330830558e-10,0.00032535420556141254,6.404242420859835e-09,6.7585297348546938e-06,0.0,0.0,3.4736111581646105e-05,2.477837801179236e-06,0.0075664245261109226,0.0056293375767324291,9.6836703929109792e-05,1.3110398461516622e-06,2.2427136793083116e-08,4.4752518835958153e-08,3.919488767544067e-06,3.5297596568428112e-05,1.8119493804297283e-08,4.0939853773655003e-07,2.3845177048116626e-07,6.9312630948567114e-13,7.4241980834800432e-11,1.4485977319903648e-12
4.806130534975762e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43895839103338152,0.10620679125519795,0.019775375734430986,0.0,0.00039940449027841987,0.0017885371057880816,0.0,0.00015187770463082965,0.0,0.0045734687867502342,1.6155556544002845e-10,0.00032516667841752105,6.4696135887610725e-09,6.8563054378922129e-06,0.0,0.0,3.4938739796912983e-05,2.5162110489915287e-06,0.0075647089147398705,0.005649803962237806,9.6922151535149329e-05,1.3170213000369857e-06,2.2500194736759196e-08,4.4923389007879888e-08,3.9801977229145106e-06,3.5414588702530717e-05,1.832249338949588e-08,4.1346959103972734e-07,2.4233661173759076e-07,7.0383005933321049e-13,7.5312797581060726e-11,1.4767642779081167e-12
4.827820502483755e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43893946873973305,0.10618745092513597,0.019762762007876369,0.0,0.00040390378869103148,0.0017944502426833304,0.0,0.00015338172324384392,0.0,0.0045911998771109401,1.6421778450808051e-10,0.000324979497011304,6.5352687003370901e-09,6.9549021161459342e-06,0.0,0.0,3.5141081534688392e-05,2.5549722334210826e-06,0.007562994941579743,0.0056702248590440154,9.7006788776324136e-05,1.3229898711398999e-06,2.2573020665111333e-08,4.5093979415336508e-08,4.0415205246751214e-06,3.553096349775444e-05,1.8526665078454604e-08,4.1755670283951134e-07,2.4626304216026192e-07,7.1464146351199945e-13,7.6392547182234155e-11,1.5053254880187085e-12
4.849510469991749e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43892059162246855,0.10616812070407973,0.019750157516114263,0.0,0.00040842953467895565,0.0018003326935064575,0.0,0.00015489168829748546,0.0,0.0046089043807136174,1.6690776306071863e-10,0.0003247926613435373,6.6012066807734171e-09,7.0543203251600311e-06,0.0,0.0,3.5343132926160195e-05,2.5941229997855459e-06,0.0075612826040253487,0.0056906003197383813,9.709062084366075e-05,1.3289454924988045e-06,2.2645615263636083e-08,4.5264290805817125e-08,4.1034597769119177e-06,3.5646721877759138e-05,1.8732007268978261e-08,4.2165979492296175e-07,2.5023125267100275e-07,7.2556097143391649e-13,7.7481234899731088e-11,1.5342846066996165e-12
4.871200437499742e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43890175962477002,0.10614880057615574,0.019737562249350506,0.0,0.000412981697892695,0.0018061845004508799,0.0,0.0001564075715868125,0.0,0.0046265823632435825,1.6962559257150046e-10,0.00032460617138154271,6.6674264556345241e-09,7.1545605814061456e-06,0.0,0.0,3.5544890167720931e-05,2.6336649868089234e-06,0.0075595718994696595,0.0057109303976118839,9.7173652888993601e-05,1.3348880983680798e-06,2.271797921574067e-08,4.5434323925102725e-08,4.1660180732760711e-06,3.5761864779395153e-05,1.8938518326322706e-08,4.2577878923528642e-07,2.5424143343561268e-07,7.3658903064803571e-13,7.8578865569654407e-11,1.5636448826594544e-12
4.892890405007736e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43888297268914961,0.10612949052561449,0.019724976197805361,0.0,0.00041756024723051599,0.0018120057063922891,0.0,0.00015792934495940347,0.0,0.0046442338902330715,1.7237136344256984e-10,0.00032442002706072032,6.7339269509391304e-09,7.2556233625379501e-06,0.0,0.0,3.574634952030077e-05,2.6735998266254243e-06,0.007557862825303855,0.0057312151466519948,9.7255890025437712e-05,1.3408176242077011e-06,2.2790113202736569e-08,4.5604079517242024e-08,4.2291979969899842e-06,3.5876393152548996e-05,1.9146196583550982e-08,4.2991360788393073e-07,2.5829377386385666e-07,7.4772608684235491e-13,7.9685443605674528e-11,1.5934095688379129e-12
4.914580372515729e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43886423075745684,0.10611019053682919,0.019712399351713535,0.0,0.00042216515084598485,0.0018177963548810629,0.0,0.00015945698031684773,0.0,0.0046618590270590572,1.7514516500803738e-10,0.00032423422828600583,6.8007070932338265e-09,7.3575091076472005e-06,0.0,0.0,3.5947507308704675e-05,2.7139291447837602e-06,0.0075561553789173777,0.0057514546215355136,9.7337337327851897e-05,1.3467340066729034e-06,2.2862017903833688e-08,4.5773558324528195e-08,4.2930021208540636e-06,3.5990307959990116e-05,1.9355040341888507e-08,4.3406417314254829e-07,2.6238846260951796e-07,7.5897258384564624e-13,8.0800973001919377e-11,1.6235819223064846e-12
4.936270340023723e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43884553377088537,0.10609090059429468,0.019699831701324205,0.0,0.00042679637615548335,0.0018235564901347393,0.0,0.00016099044961619371,0.0,0.0046794578389411368,1.7794708553745306e-10,0.00032404877493326265,6.8677658096649657e-09,7.4602182175212434e-06,0.0,0.0,3.6148359920954267e-05,2.7546545602518635e-06,0.0075544495576979811,0.0057716488776214216,9.7417999833292526e-05,1.3526371836038943e-06,2.2933693996134959e-08,4.594276108747649e-08,4.3574330072541734e-06,3.6103610177219064e-05,1.9565047871076773e-08,4.3823040745485407e-07,2.6652568757051218e-07,7.7032896362941881e-13,8.1925457335878849e-11,1.6541652041699676e-12
4.957960307531716e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43882688166997924,0.1060716206826262,0.019687273236901039,0.0,0.00043145388984570807,0.0018292861570305364,0.0,0.00016252972487135612,0.0,0.0046970303909395165,1.8077721223936711e-10,0.00032386366685060747,6.9351020280489211e-09,7.5637510549018631e-06,0.0,0.0,3.6348903807633957e-05,2.7957776854220217e-06,0.0075527453590317857,0.0057917979709437529,9.7497882541458457e-05,1.3585270940156261e-06,2.3005142154631362e-08,4.6111688544802628e-08,4.4224932081697364e-06,3.6216300792316693e-05,1.9776217409725967e-08,4.4241223343836316e-07,2.7070563588906274e-07,7.8179566630998974e-13,8.3058899771322256e-11,1.6851626794687017e-12
4.97965027503971e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43880827439464071,0.10605235078655847,0.019674723948722224,0.0,0.00043613765788115002,0.0018349854010979334,0.0,0.0001640747781544821,0.0,0.0047145767479530518,1.8363563126497817e-10,0.0003236789038596747,7.0027146769406885e-09,7.6681079447454495e-06,0.0,0.0,3.6549135481241621e-05,2.8373001261164151e-06,0.0075510427803033228,0.0058119019582044667,9.7576990415126677e-05,1.3644036780876063e-06,2.3076363052197341e-08,4.6280341433401991e-08,4.4881852651824796e-06,3.6328380805794546e-05,1.9988547165666266e-08,4.4660957388801752e-07,2.7492849395193488e-07,7.9337313015066482e-13,8.4201303061229253e-11,1.7165776170816104e-12
