Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
3.5446706526894086e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756170175517,0.11866996460047652,0.022821567658689382,0.0,3.2215464535408802e-32,1.0364645189188364e-24,0.0,1.7089949981713913e-31,0.0,3.6527267812490477e-16,3.9940237374980419e-68,3.6044213879671896e-16,8.1811440704563939e-46,1.4117263262239063e-36,0.0,0.0,2.6695527463391786e-29,6.7893700083355529e-53,1.4294619468582524e-09,6.872980936038259e-11,2.6487359628426812e-14,8.2352837564954469e-21,2.6492181930915671e-14,5.6363924601913677e-29,5.1247315084086625e-25,4.5119545860250448e-40
4.2697169236490134e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756139529603,0.11866996430808112,0.022821567651660195,0.0,6.0925049179259988e-32,1.4760445583055176e-24,0.0,2.8921726650527697e-31,0.0,4.4104803468104194e-16,1.035969201844557e-67,4.3416893752722108e-16,1.5810456823530827e-45,2.7880178166921522e-36,0.0,0.0,4.4141176407645299e-29,1.4766729172827584e-52,1.7218518496869843e-09,8.2788179392909519e-11,3.1904169910670586e-14,1.1721190689139776e-20,3.1911037284418173e-14,9.3190352246072174e-29,7.309434415616369e-25,8.7195697338031579e-40
5.719809465568222e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756078237787,0.11866996372329038,0.022821567637601826,0.0,1.8445318987284552e-31,2.6005615149574673e-24,0.0,6.8771543302073036e-31,0.0,5.937418629814439e-16,6.4454098881569858e-67,5.8162253229507594e-16,4.9745578388239795e-45,8.8853875008769427e-36,0.0,0.0,1.0171360366849082e-28,6.1861770811469275e-52,2.3066316108317494e-09,1.1090491936625207e-10,4.2736649246317053e-14,2.0624333085350479e-20,4.2748747948767352e-14,2.1469255806503929e-28,1.2922068405369499e-24,2.7435001983867472e-39
7.169902007487432e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756016945977,0.11866996313849969,0.022821567623543457,0.0,4.3341815622131703e-31,4.051201251740904e-24,0.0,1.3429394640369253e-30,0.0,7.4795495531419852e-16,2.3414623893893484e-66,7.2907612348325942e-16,1.1948803531906404e-44,2.1407218599742757e-35,0.0,0.0,1.9520247298437097e-28,1.810562030154393e-51,2.8914113128112725e-09,1.3902165921770045e-10,5.3567611825218766e-14,3.2088147412178179e-20,5.3586458562825001e-14,4.1194530915181143e-28,2.019785017857124e-24,6.5898392604172705e-39
1.007008709132585e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755894362372,0.11866996196891849,0.022821567595426716,0.0,1.6975323858951357e-30,7.9315006745682113e-24,0.0,3.7545520205938535e-30,0.0,1.0609408643622751e-15,2.0730604444824878e-65,1.0239832951134701e-15,4.8076526606936594e-44,8.5129985838020132e-35,0.0,0.0,5.3569047674035311e-28,1.0693279553592924e-50,4.0609705391565717e-09,1.9525513855472208e-10,7.5224984785496312e-14,6.2652175828772298e-20,7.5261879690692727e-14,1.1299858022167492e-27,3.9827129083963331e-24,2.6514485102521647e-38
1.5870457259002687e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755649195236,0.11866995962975681,0.02282156753919324,0.0,1.121679637458524e-29,1.9608329766773054e-23,0.0,1.5102186142774197e-29,0.0,1.7051451957078216e-15,4.0986958389995085e-64,1.6137975953876858e-15,3.2514016626517565e-43,5.5592857707717059e-34,0.0,0.0,2.120809864832129e-27,1.2637644276702921e-49,6.4000882813661588e-09,3.0772209576553661e-10,1.1852152830128566e-13,1.5400490827504525e-19,1.1861272186744298e-13,4.4691425452205745e-27,9.9942841881130619e-24,1.793164225081963e-37
2.7471197594356357e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755158861262,0.11866995495143629,0.022821567426726287,0.0,1.0953346036003243e-28,5.8627566758698647e-23,0.0,8.0997846112186572e-29,0.0,3.0664297413911089e-15,1.4251377321346231e-62,2.7934260239846374e-15,3.2381683990042711e-42,5.2719740356395909e-33,0.0,0.0,1.120507463150052e-26,2.4038042317174258e-48,1.1078320923752117e-08,5.3265600433655647e-10,2.0504185988805344e-13,4.550632934325978e-19,2.0531440845562715e-13,2.3561984316361431e-26,3.0801289467639707e-23,1.7858601416537171e-36
5.06726782650637e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675417819447,0.11866994559480661,0.022821567201792386,0.0,1.3329920804424613e-27,1.99328997329787e-22,0.0,5.2146330051125072e-28,0.0,6.0800495790845205e-15,6.9796017444168721e-61,5.1526821933700843e-15,4.0433589146350396e-41,6.247259623881247e-32,0.0,0.0,7.0613463548263414e-26,5.9048038654346123e-47,2.0434774840356069e-08,9.8252379809562985e-10,3.7779195406646534e-13,1.5110725363085626e-18,3.787178100916246e-13,1.4784313982801068e-25,1.1105996173454595e-22,2.229910379842357e-35
7.387415893577104e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756753197529243,0.11866993623819208,0.022821566976858502,0.0,5.2284241202151848e-27,4.2358166478912213e-22,0.0,1.5499053674137031e-27,0.0,9.481145828788584e-15,4.7545707735922431e-60,7.5119374456765871e-15,1.6072907216494101e-40,2.510254562237881e-31,0.0,0.0,2.0703350764468525e-25,3.0067750578319975e-46,2.9791213599394895e-08,1.4323915607028467e-09,5.5015521416415705e-13,3.1478211017451927e-18,5.5212127411516121e-13,4.3214545610057203e-25,2.4741924966524278e-22,8.8641662515676224e-35
1.2027712027718574e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756751236203458,0.11866991752500851,0.022821566526990786,0.0,3.583622456454848e-26,1.1227447244406781e-21,0.0,6.6927213585113503e-27,0.0,1.7441316051785881e-14,1.1686425888110117e-58,1.2230445199053268e-14,1.1450554494490222e-39,1.7277898194176861e-30,0.0,0.0,8.6454144725115223e-25,3.573876070987547e-45,4.8504045644849392e-08,2.3321269926276843e-09,8.9372568359747497e-13,7.9929855422641204e-18,8.9892855992395244e-13,1.7905765180356711e-24,7.2284948575673691e-22,6.3148772990886213e-34
1.6028242891540378e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375674954529389,0.11866990139189104,0.022821566139147119,0.0,1.0077359286553194e-25,1.9937851687201795e-21,0.0,1.5343759530847975e-26,0.0,2.5540234012673375e-14,5.5375338513754474e-58,1.6298401572814109e-14,3.2844046337112463e-39,4.9266688320627282e-30,0.0,0.0,1.9411454117470604e-24,1.2387028170991616e-44,6.4636860049668867e-08,3.1078143190045126e-09,1.1886933593823976e-12,1.3743389440123478e-17,1.1979214457972454e-12,4.0000567466545986e-24,1.373718916070863e-21,1.8113084725558256e-33
