Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135)
1.0622977401499205e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574733192424,0.099999997271232072,0.099999999830346117,0.0,1.7596298392408556e-50,8.3387275487555152e-47,0.0,1.2363180420847467e-40,0.0,5.9680543067650888e-25,0.0,1.4520459012384981e-38,1.9124850831003759e-75,1.5843458999510122e-45,0.0,0.0,5.8788591285083205e-42,4.0906174269981949e-106,2.7287679399629773e-09,3.3930780204429645e-10,8.9750631550421194e-21,8.7731722526163415e-27,8.9756511873005435e-21,1.0269618625950984e-53,1.5200851555718532e-58,1.4521238066634013e-46
1.573478607997752e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574585563124,0.099999995958214974,0.099999999748708171,0.0,7.3021534642131764e-50,2.5763503982240659e-46,0.0,3.8195888419386448e-40,0.0,1.3093012191942271e-24,0.0,3.1856364909231201e-38,1.43361354749552e-74,6.7615152336937673e-45,0.0,0.0,1.8161522709000296e-41,5.221519659192394e-105,4.0417850481448564e-09,5.0258373294116578e-10,1.3293471294377478e-20,1.9246548535907277e-26,1.3294761349048134e-20,5.5453354756192748e-53,8.0411648455385176e-58,6.1973803081591933e-46
2.0846594758455835e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574437938645,0.099999994645246087,0.099999999667070211,0.0,2.0452526074903233e-49,5.7949197094518013e-46,0.0,8.5909254437004109e-40,0.0,2.2981297002986182e-24,0.0,5.5916500354440547e-38,6.5584347181298554e-74,1.9384702224692819e-44,0.0,0.0,4.0847827293819197e-41,4.363177938342166e-104,5.3547539245289673e-09,6.658596612055765e-10,1.7611607041390101e-20,3.3781391050532801e-26,1.7613871389699352e-20,1.9058724304038179e-52,2.7110165177697798e-57,1.7767805187198435e-45
2.595840343693415e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574290318989,0.09999999333232544,0.09999999958543225,0.0,4.6285721268825326e-49,1.0957727894367367e-45,0.0,1.6244020068990986e-39,0.0,3.563273715734537e-24,0.0,8.6700864692638789e-38,2.2403890458201158e-73,4.463110199422012e-44,0.0,0.0,7.7236462116900626e-41,2.6953621705165231e-103,6.6676745708593438e-09,8.2913558683760921e-10,2.1929470413242128e-20,5.237715313742701e-26,2.1932981309804727e-20,5.1208438986722754e-52,7.1701706215284242e-57,4.0909377839620654e-45
3.6182020793890776e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573995094142,0.099999990706628822,0.09999999942215633,0.0,1.6208967018480327e-48,2.8851946104357864e-45,0.0,4.2766959157757168e-39,0.0,6.9224447484081995e-24,0.0,1.6844227800615335e-37,1.550700845070158e-72,1.6007759491311663e-43,0.0,0.0,2.0334989748910711e-40,5.8993878179701717e-102,9.2933711798226695e-09,1.1556874302048379e-09,3.0564380095080159e-20,1.0174940964025852e-25,3.0571200790418931e-20,2.3836404516782342e-51,3.2586375295277833e-56,1.4673646199711553e-44
4.6405638150847406e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957369988859,0.099999988081125132,0.099999999258880409,0.0,4.1851739367281776e-48,6.0013866743830898e-45,0.0,8.8950004489065895e-39,0.0,1.1386676747959519e-23,0.0,2.7708060042624766e-37,6.2540260332101046e-72,4.1941852670058038e-43,0.0,0.0,4.2295215214557815e-40,4.0779477148475786e-101,1.191887488901626e-08,1.4822392630434966e-09,3.9198200477492374e-20,1.6735893519012368e-25,3.9209419795305151e-20,7.5474658279910851e-51,1.0166425340524121e-55,3.8448148236851645e-44
5.6629255507804036e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957340470232,0.099999985455814316,0.099999999095604489,0.0,9.0372580480329476e-48,1.0839664485641804e-44,0.0,1.6064650572205597e-38,0.0,1.6955824900862229e-23,0.0,4.1261582740816054e-37,1.943243329565269e-71,9.1364569733853896e-43,0.0,0.0,7.6388354091558482e-40,2.0549693372154567e-100,1.4544185713158204e-08,1.8087910853542636e-09,4.78309317053256e-20,2.4920111667012291e-25,4.7847638329109791e-20,1.9294333720805144e-50,2.5722613953111862e-55,8.3757918583972644e-44
7.70764902217173e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289572814387657,0.099999980205771249,0.099999998769052689,0.0,3.1028434118963855e-47,2.7221171146427142e-44,0.0,4.0334441168134892e-38,0.0,3.1408306185335936e-23,0.0,7.6437697799993188e-37,1.3501150774589437e-70,3.1618692840768103e-42,0.0,0.0,1.9180321153170484e-39,5.2759691552542088e-99,1.9794228763561819e-08,2.4618946983947633e-09,6.5093127260866199e-20,4.6156550278221591e-25,6.5124074001548757e-20,9.3468990513803167e-50,1.2298858113805272e-54,2.8989562796113049e-43
9.752372493563056e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289572224150131,0.099999974956499565,0.099999998442500904,0.0,7.9289743413477674e-47,5.5092124482029185e-44,0.0,8.1615953913945046e-38,0.0,5.0278767176885062e-23,0.0,1.2237256954445842e-36,5.4544829561422784e-70,8.1027061210381303e-42,0.0,0.0,3.8813090169647402e-39,3.9000399707767968e-98,2.5043500445024346e-08,3.1149982693315934e-09,8.235096788338498e-20,7.3880685794973506e-25,8.2400507843703925e-20,3.0184112163056163e-49,3.9513989062357927e-54,7.4297227651476783e-43
1.1797095964954381e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289571633989736,0.09999996970799914,0.099999998115949146,0.0,1.6902421053576489e-46,9.7495069016792733e-44,0.0,1.4440630971180365e-37,0.0,7.3566094009209617e-23,0.0,1.7906619458613699e-36,1.6661861312071887e-69,1.7291907120202814e-41,0.0,0.0,6.8677130815825955e-39,1.9279723353214425e-97,3.0292000870780559e-08,3.7681017981699733e-09,9.9604454687004622e-20,1.080889723126171e-24,9.9676939891290715e-20,7.7146117755282005e-49,1.0075427397914749e-53,1.5857273816416289e-42
