Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),HOCOX(206),CH4OX(60),C2H4X(210),C2H4X(65)
2.3889244210670516e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43686285721716139,0.086692611846800979,0.011699262872288663,0.0,0.0067458476910519831,0.03971918036680213,0.015215606719550134,5.8366745527316324e-05,6.0778573048531326e-11,0.0022391311706360414,7.8217264954001928e-11,0.00050447119601205093,3.6380885592903634e-09,9.7592575698059221e-05,1.3958362816318114e-09,8.542949885229073e-11,0.00014402669041499916,2.1495509935667026e-05,0.0061450046247965538,3.0948327830739854e-06,0.0004618076976927753,9.9205973017591316e-08,6.5171673490818479e-09,2.9769457999067503e-09,3.9447780626915542e-10,3.0079435902862499e-05,0.0079793160953143122,3.7980020849516557e-05,2.988244413397566e-07,0.00078427788286211067,3.4016659334865108e-05,4.6505300223159123e-08,9.1873835071957565e-10,6.7185675223262993e-12,1.0669144500118309e-09,2.4090871439291142e-06,5.9839813642082569e-12
2.395176857259266e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43684154010672976,0.086641714466771824,0.0116779693934857,0.0,0.0067550748033351161,0.03982103196805245,0.015249849565660941,5.8269284638615806e-05,6.122425169529632e-11,0.0022373040556015506,7.8084043997633499e-11,0.00050469506822773931,3.6351339998530953e-09,9.7174961004939134e-05,1.3995987782006122e-09,8.5593715836277122e-11,0.00014349354245738334,2.1544272053872542e-05,0.0061410953985554005,3.0809515347563822e-06,0.00046232712011074715,9.8862810210105545e-08,6.4999973565760754e-09,2.9744155060948404e-09,3.965128396349442e-10,3.0199800303592971e-05,0.0080018548060659094,3.8061542236391666e-05,2.9921849124574557e-07,0.00078625249520892625,3.4093828679386416e-05,4.6607686736217786e-08,9.2179091410099842e-10,6.7100258254295675e-12,1.0622971104213725e-09,2.4145225427012812e-06,5.9972632465292702e-12
2.4014292934514803e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43682021438475771,0.086590857520996836,0.011656716585580922,0.0,0.0067642739226532406,0.039922815853863966,0.015284035107582875,5.8172118711386903e-05,6.1671696746626341e-11,0.002235480946465218,7.795144508955847e-11,0.00050491845142830688,3.6321953642234849e-09,9.6758965300530763e-05,1.403357438873023e-09,8.5757408974709205e-11,0.00014296279787565026,2.1592945454580195e-05,0.0061371892827470249,3.0671519132376956e-06,0.00046284549868304883,9.8521136466589637e-08,6.4828809584080504e-09,2.9718910094549731e-09,3.9855289134558704e-10,3.032033007268527e-05,0.0080244015247513279,3.814291485022917e-05,2.9961125579008525e-07,0.00078822555706762503,3.4170857619928951e-05,4.6709886985257762e-08,9.2484253709351131e-10,6.7014587994345071e-12,1.0576978930899351e-09,2.4199471815023264e-06,6.0105189905727489e-12
2.4076817296436946e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43679888002178546,0.086540040925996958,0.011635504369723451,0.0,0.0067734451467306098,0.040024532132138607,0.015318163420091745,5.8075246624102924e-05,6.2120907832681533e-11,0.0022336618298353828,7.7819464707636609e-11,0.00050514134806797968,3.6292725695046581e-09,9.6344587349710966e-05,1.4071122612541943e-09,8.5920579500504762e-11,0.0001424344435553653,2.1641530454842305e-05,0.0061332862707308708,3.0534332748498367e-06,0.00046336283746202376,9.8180943075255703e-08,6.4658179531138806e-09,2.9693722914335471e-09,4.0059796157181812e-10,3.0441025149861088e-05,0.0080469562817326503,3.8224138890374271e-05,3.0000273943652099e-07,0.00079019707059548657,3.424774665826498e-05,4.681190121510548e-08,9.2789320728585768e-10,6.6928668018108144e-12,1.0531167821233657e-09,2.4253610978453947e-06,6.0237486869969951e-12
2.413934165835909e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43677753698883731,0.086489264598724261,0.011614332667201513,0.0,0.0067825885728685148,0.040126180910455639,0.015352234578104244,5.7978667254627805e-05,6.2571884567023533e-11,0.0022318466923150044,7.7688099342700411e-11,0.00050536376058540346,3.6263655330841651e-09,9.5931825817999799e-05,1.4108632430222456e-09,8.6083228644710376e-11,0.00014190846647821074,2.1690027370177723e-05,0.0061293863559064255,3.0397949826932167e-06,0.00046387914047290696,9.7842221399680349e-08,6.4488081399589269e-09,2.9668593334773998e-09,4.0264805047672492e-10,3.05618854742676e-05,0.0080695191068744336,3.8305214556469942e-05,3.0039294662960562e-07,0.00079216703794350162,3.4324496293740037e-05,4.6913729671017743e-08,9.3094291235604244e-10,6.6842501874384587e-12,1.0485537605444214e-09,2.4307643290634798e-06,6.0369524260222371e-12
2.4201866020281232e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43675618525741883,0.086438528456558431,0.011593201399442444,0.0,0.0067917042979481453,0.040227762296070127,0.015386248656674192,5.7882379480383768e-05,6.3024626546706738e-11,0.0022300355205030894,7.755734549878832e-11,0.00050558569140373897,3.6234741726382779e-09,9.5520679273614184e-05,1.4146103819274208e-09,8.6245357636478117e-11,0.00014138485372089025,2.1738436514576873e-05,0.0061254895317128834,3.0262364065467552e-06,0.00046439441171408641,9.7504962877023677e-08,6.4318513189397649e-09,2.9643521170356435e-09,4.0470315821556837e-10,3.068291098447138e-05,0.0080920900295474614,3.8386142048439432e-05,3.0078188179483223e-07,0.00079413546125634829,3.4401107023280786e-05,4.7015372598670533e-08,9.3399164007066528e-10,6.6756093085858876e-12,1.0440088103154512e-09,2.4361569123100166e-06,6.0501302974321595e-12
2.4264390382203375e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43673482479951281,0.086387832417303273,0.011572110488012674,0.0,0.0068007924184334224,0.040329276395911502,0.015420205730988996,5.7786382178511194e-05,6.3479133352369022e-11,0.0022282283009960485,7.7427199693361262e-11,0.00050580714293076026,3.6205984061360601e-09,9.5111146189472926e-05,1.4183536757912685e-09,8.6406967703043565e-11,0.00014086359245404399,2.1786758200507038e-05,0.0061215957916288125,3.0127569227815603e-06,0.00046490865515736644,9.7169159015694616e-08,6.4149472907861952e-09,2.9618506235614393e-09,4.0676328493571783e-10,3.080410161845526e-05,0.0081146690786323937,3.8466921566460466e-05,3.011695493387624e-07,0.00079610234267237065,3.4477579341403256e-05,4.7116830244148674e-08,9.3703937828369415e-10,6.6669445145931866e-12,1.0394819123605599e-09,2.4415388845594761e-06,6.0632823905754839e-12
2.432691474412552e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43671345558757657,0.086337176399183493,0.011551059854617692,0.0,0.0068098530303737793,0.040430723316582096,0.015454105876365993,5.7690674226025933e-05,6.3935404548322076e-11,0.0022264250203890491,7.7297658457513842e-11,0.00050602811755895069,3.6177381518432948e-09,9.4703224945185571e-05,1.4220931225058122e-09,8.6568060069703844e-11,0.00014034466994118259,2.1834992738917497e-05,0.0061177051291718297,2.9993559142737144e-06,0.00046542187474818512,9.6834801397249796e-08,6.3980958569621033e-09,2.9593548345137119e-09,4.0882843077647802e-10,3.0925457313613498e-05,0.0081372562825234637,3.8547553310987491e-05,3.0155595364915403e-07,0.00079806768432355752,3.4553913740221073e-05,4.7218102853934392e-08,9.4008611493635235e-10,6.6582561522426322e-12,1.0349730465875013e-09,2.4469102826079728e-06,6.07640879436755e-12
2.438943910604766e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43669207759453754,0.086286560320841019,0.011530049421102036,0.0,0.0068188862294069454,0.040532103164355945,0.015487949168248945,5.7595254499970645e-05,6.4393439682641397e-11,0.0022246256652773072,7.7168718336172133e-11,0.00050624861766559981,3.6148933283259943e-09,9.4296913829001287e-05,1.4258287200327281e-09,8.672863595979651e-11,0.00013982807353763515,2.188314043924471e-05,0.0061138175378982708,2.9860327703131773e-06,0.0004659340744058544,9.6501881675688589e-08,6.3812968196665273e-09,2.9568647313588123e-09,4.1089859586874369e-10,3.1046978006741951e-05,0.0081598516691321014,3.8628037482750258e-05,3.0194109909508737e-07,0.00080003148833552023,3.4630110709453993e-05,4.7319190674896519e-08,9.4313183805738986e-10,6.6495445662076587e-12,1.030482191909181e-09,2.4522711430738802e-06,6.0895095972918888e-12
2.4451963467969805e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43667069079379078,0.086235984101331958,0.011509079109449262,0.0,0.006827892110761658,0.040633416045177354,0.015521735682204598,5.7500121877562596e-05,6.4853238287255809e-11,0.0022228302222573669,7.7040375888284577e-11,0.00050646864561289901,3.6120638544541199e-09,9.3892211039735426e-05,1.4295604664025555e-09,8.6888696594678618e-11,0.00013931379068952992,2.1931201609417915e-05,0.0061099330114028766,2.9727868865241243e-06,0.00046644525802382898,9.6170391571741981e-08,6.3645499818362163e-09,2.9543802955721969e-09,4.1297378033507345e-10,3.1168663634038534e-05,0.0081824552658905873,3.8708374282690855e-05,3.0232499002709231e-07,0.00080199375682747577,3.4706170736436114e-05,4.7420093954281119e-08,9.4617653576057841e-10,6.6408100979466177e-12,1.0260093262650136e-09,2.4576215023984518e-06,6.1025848874018628e-12
