Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),HOCXO(25),C3H7X(36),C3H7(49),C3H7X(37),C3H7(50)
5.897631063507817e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949485195348,0.099964874149898297,0.0,0.099964932705323986,0.0,1.6978480383466707e-23,0.0,8.1241360887277648e-19,0.0,2.2336646893186437e-12,2.7929706432139096e-36,1.3971107528332606e-21,2.2026269473347415e-27,0.0,0.0,0.0,0.0,0.0,3.5125844666364677e-05,3.5067294675917044e-05,5.5025797011412184e-12,3.1668911466494358e-12,2.3611433508561757e-15,3.2433318171439287e-14,5.3485358036150881e-27,2.6360517629809318e-22,8.5594181752950536e-24,3.8957291233017415e-29,8.6310133420524093e-40,4.8991455136183643e-25,1.4965867877768565e-46,4.6067385995777654e-45,1.0536430657735725e-46,3.2550831235583835e-45
5.92383503587431e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949463934475,0.099964874149922653,0.0,0.099964932492698944,0.0,1.7206916073748215e-23,0.0,8.2066479314623064e-19,0.0,2.2502850705209483e-12,2.8430743654735979e-36,1.4095825623603261e-21,2.2364078449862336e-27,0.0,0.0,0.0,0.0,0.0,3.512584461787158e-05,3.5067507300968562e-05,5.5272404357858455e-12,3.1741603007020538e-12,2.3669778630452978e-15,3.2686489461392789e-14,5.4230398836619602e-27,2.6640003485345281e-22,8.6688818169587116e-24,3.9355301244557358e-29,8.79187305009634e-40,4.9211755189491288e-25,1.5236366769267658e-46,4.7138632196539939e-45,1.0726698454597298e-46,3.3307133101664445e-45
5.950039008240803e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949443483845,0.099964874149945135,0.0,0.099964932288178085,0.0,1.7437398767959988e-23,0.0,8.289537548004976e-19,0.0,2.2669433672060352e-12,2.8938042794043818e-36,1.4221099530738546e-21,2.2705328447321065e-27,0.0,0.0,0.0,0.0,0.0,3.5125844571218618e-05,3.5067711821799449e-05,5.5519023858135463e-12,3.1813909468996957e-12,2.3727814599505156e-15,3.2940283921449916e-14,5.498235987676699e-27,2.6920850199957888e-22,8.7791976668259492e-24,3.9755149100628711e-29,8.9548336316428329e-40,4.9432066147365803e-25,1.55102749163356e-46,4.8229187150570983e-45,1.0919361845808594e-46,3.4077054712883563e-45
5.976242980607295e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949423812569,0.099964874149965882,0.0,0.099964932091452602,0.0,1.7669937693281181e-23,0.0,8.3728037931370118e-19,0.0,2.2836393775428087e-12,2.9451644589353226e-36,1.4346929260302553e-21,2.3050035283953668e-27,0.0,0.0,0.0,0.0,0.0,3.5125844526336443e-05,3.5067908547302728e-05,5.5765655447865914e-12,3.1885832902126629e-12,2.3785543061287183e-15,3.3194698249670004e-14,5.5741273534476657e-27,2.7203053855883663e-22,8.8903678145804838e-24,4.0156829279271535e-29,9.1199096336625582e-40,4.96523879519599e-25,1.5787614760032385e-46,4.9339293464318275e-45,1.1114436577517976e-46,3.4860767020256887e-45
6.002446952973788e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949404890952,0.099964874149984909,0.0,0.099964931902225315,0.0,1.7904542077635047e-23,0.0,8.456445518712579e-19,0.0,2.3003729007744808e-12,2.9971589715888059e-36,1.4473314822713366e-21,2.3398214730181027e-27,0.0,0.0,0.0,0.0,0.0,3.5125844483158268e-05,3.506809777459789e-05,5.6012299063014614e-12,3.1957375345201885e-12,2.3842965652608329e-15,3.3449729161687863e-14,5.650717219044865e-27,2.748661052149423e-22,9.0023943388340899e-24,4.0560336243753198e-29,9.2871155847527182e-40,4.9872720545736528e-25,1.6068408707424525e-46,5.0469195334186742e-45,1.1311938371914892e-46,3.5658442093548362e-45
6.028650925340281e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949386690411,0.099964874150002297,0.0,0.099964931720210398,0.0,1.8141221149682351e-23,0.0,8.5404615737700412e-19,0.0,2.3171437372128569e-12,3.0497918783430486e-36,1.4600256228243825e-21,2.3749882508490065e-27,0.0,0.0,0.0,0.0,0.0,3.5125844441619731e-05,3.5068279789479756e-05,5.6258954639886718e-12,3.2028538826162441e-12,2.3900084001564882e-15,3.3705373390620181e-14,5.7280088228175017e-27,2.7771516251738332e-22,9.1152793071855277e-24,4.0965664443115336e-29,9.4564659945914208e-40,5.0093063871466965e-25,1.6352679130813521e-46,5.1619138544092099e-45,1.1511882926689853e-46,3.6470253119541135e-45
6.054854897706773e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494936918347,0.099964874150018118,0.0,0.099964931545133057,0.0,1.8379984138814847e-23,0.0,8.6248508046416193e-19,0.0,2.3339516882326437e-12,3.1030672334966522e-36,1.4727753487022315e-21,2.4105054293313501e-27,0.0,0.0,0.0,0.0,0.0,3.512584440165896e-05,3.5068454866849973e-05,5.6505622115125933e-12,3.2099325362153199e-12,2.3956899727586554e-15,3.3961627686972563e-14,5.8060054033915456e-27,2.8057767088577518e-22,9.2290247762791346e-24,4.1372808312712959e-29,9.6279753533996359e-40,5.0313417872229275e-25,1.6640448366975716e-46,5.2789370462959769e-45,1.1714285914502344e-46,3.7296374400270121e-45
6.081058870073266e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949352343691,0.099964874150032385,0.0,0.099964931376728766,0.0,1.8620840275148845e-23,0.0,8.7096120550614479e-19,0.0,2.3507965562657971e-12,3.1569890845352129e-36,1.4855806609033514e-21,2.4463745710914341e-27,0.0,0.0,0.0,0.0,0.0,3.5125844363216315e-05,3.5068623271132395e-05,5.675230142571273e-12,3.2169736959581749e-12,2.401341444148262e-15,3.4218488818546857e-14,5.8847101996673127e-27,2.8345359061415737e-22,9.3436327918631513e-24,4.1781762274745785e-29,9.801658131410755e-40,5.0533782491406506e-25,1.6931738716413493e-46,5.3980140042170374e-45,1.1919162982456754e-46,3.8136981351217323e-45
6.107262842439759e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949336145637,0.099964874150045235,0.0,0.099964931214743244,0.0,1.8863798789518723e-23,0.0,8.7947441662720833e-19,0.0,2.3676781447958873e-12,3.2115614719999439e-36,1.498441560411918e-21,2.4825972339274865e-27,0.0,0.0,0.0,0.0,0.0,3.5125844326234355e-05,3.5068785256672238e-05,5.6998992508962594e-12,3.2239775614175485e-12,2.4069629745487824e-15,3.4475953570349184e-14,5.964126450817072e-27,2.8634288187522698e-22,9.4591053888477004e-24,4.2192520738781841e-29,9.977528778347612e-40,5.0754157672685068e-25,1.7226572442617674e-46,5.5191697812952449e-45,1.2126529751586116e-46,3.8992250499469926e-45
6.133466814806251e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949320564864,0.099964874150056671,0.0,0.099964931058931783,0.0,1.9108868913470581e-23,0.0,8.8802459771294454e-19,0.0,2.3845962583525043e-12,3.2667884293583351e-36,1.5113580481978912e-21,2.5191749707990107e-27,0.0,0.0,0.0,0.0,0.0,3.512584429065786e-05,3.5068941068120407e-05,5.7245695302524186e-12,3.2309443311038542e-12,2.4125547233308083e-15,3.4734018744498331e-14,6.0442573962826611e-27,2.8924550472451374e-22,9.5754445913624636e-24,4.2605078102273502e-29,1.0155601722907047e-39,5.0974543360053068e-25,1.7524971771341167e-46,5.6424295883723278e-45,1.2336401816343735e-46,3.9862359481841969e-45
6.159670787172744e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494930557783,0.099964874150066732,0.0,0.099964930909059113,0.0,1.9356059879255909e-23,0.0,8.9661163242062292e-19,0.0,2.4015507025056953e-12,3.3226739828767897e-36,1.5243301252170888e-21,2.5561093298165753e-27,0.0,0.0,0.0,0.0,0.0,3.5125844256433603e-05,3.5069090940802888e-05,5.7492409744377692e-12,3.2378742024708323e-12,2.4181168490165813e-15,3.4992681160134656e-14,6.1251062757731175e-27,2.921614191044931e-22,9.6926524128140718e-24,4.3019428751066013e-29,1.0335891372251833e-39,5.1194939497798568e-25,1.7826958889883637e-46,5.767818793737853e-45,1.2548794744102551e-46,4.0747487042960218e-45
6.185874759539237e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949291161915,0.099964874150075517,0.0,0.099964930764898832,0.0,1.9605380919825271e-23,0.0,9.0523540418938121e-19,0.0,2.4185412838604128e-12,3.3792221514952759e-36,1.5373577924112654e-21,2.5934018542320434e-27,0.0,0.0,0.0,0.0,0.0,3.5125844223510381e-05,3.5069235101076179e-05,5.773913577283296e-12,3.2447673719211746e-12,2.423649509284522e-15,3.5251937653329502e-14,6.2066763292623428e-27,2.9509058484864247e-22,9.8107308559431672e-24,4.3435567059898596e-29,1.0518412111510034e-39,5.1415346030508084e-25,1.813255594638726e-46,5.8953629228531628e-45,1.2763724074662272e-46,4.1647813033314663e-45
6.212078731905729e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949277295337,0.099964874150083025,0.0,0.099964930626233239,0.0,1.9856841268822076e-23,0.0,9.1389579625026772e-19,0.0,2.4355678100510222e-12,3.4364369467039258e-36,1.550441050708183e-21,2.6310540824292251e-27,0.0,0.0,0.0,0.0,0.0,3.5125844191838904e-05,3.5069373766669212e-05,5.7985873326527857e-12,3.2516240348121244e-12,2.4291528609737134e-15,3.551178507699507e-14,6.288970796986757e-27,2.9803296168543828e-22,9.9296819128811556e-24,4.3853487392898133e-29,1.0703178303281683e-39,5.1635762903064724e-25,1.8441785049143396e-46,6.0250876580703487e-45,1.2981205319764165e-46,4.2563518407274196e-45
6.238282704272222e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949263957176,0.099964874150089353,0.0,0.099964930492852905,0.0,2.0110450160576358e-23,0.0,9.225926916361314e-19,0.0,2.4526300897358093e-12,3.4943223724216223e-36,1.5635799010216905e-21,2.6690675479149607e-27,0.0,0.0,0.0,0.0,0.0,3.5125844161371732e-05,3.5069507147012163e-05,5.8232622344426488e-12,3.2584443854610387e-12,2.4346270600883733e-15,3.5772220300794764e-14,6.3719929194429952e-27,3.0098850924229502e-22,1.0049507565206699e-23,4.4273184104065858e-29,1.0890204287152745e-39,5.1856190060646821e-25,1.875466826591012e-46,6.1570188383463488e-45,1.320125396261346e-46,4.3494785221068083e-45
6.264486676638715e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949251127278,0.099964874150094488,0.0,0.099964930364556351,0.0,2.0366216830098659e-23,0.0,9.3132597319137105e-19,0.0,2.4697279325915351e-12,3.552882424876512e-36,1.5767743442517939e-21,2.7074437793106121e-27,0.0,0.0,0.0,0.0,0.0,3.5125844132063186e-05,3.5069635443552743e-05,5.8479382765817471e-12,3.2652286171509298e-12,2.4400722618023048e-15,3.6033240211054083e-14,6.455745937385609e-27,3.0395718704944838e-22,1.0170209784001862e-23,4.4694651537756585e-29,1.1079504379216354e-39,5.2076627448726066e-25,1.9071227623240619e-46,6.2911824589522425e-45,1.3423885457409336e-46,4.4441796630733703e-45
6.290690649005207e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949238786283,0.099964874150098554,0.0,0.099964930241149857,0.0,2.0624150513073853e-23,0.0,9.400955235815394e-19,0.0,2.4868611493080182e-12,3.6121210924884573e-36,1.5900243812847326e-21,2.7461843003439714e-27,0.0,0.0,0.0,0.0,0.0,3.5125844103869342e-05,3.5069758850060493e-05,5.8726154530312242e-12,3.2719769221359685e-12,2.4454886204633115e-15,3.629484171067186e-14,6.5402330918247774e-27,3.0693895454378229e-22,1.0291790529907971e-23,4.5117884029151111e-29,1.1271092871601213e-39,5.2297075013066096e-25,1.9391485105822245e-46,6.4276046711778123e-45,1.3649115228882421e-46,4.5404736890031153e-45
